FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57256 => 65.254.227.240:443,192.168.0.123,57256,65.254.227.240,443,6,1679307904.325493,tribuna-news,4.045571,79,79,12270,0,3032.946399902510671546735924,19.52752775813352429113220359,155.31645569620252
192.168.0.123:57257 => 65.254.227.240:443,192.168.0.123,57257,65.254.227.240,443,6,1679307904.325642,tribuna-news,4.045463,98,98,14299,0,3534.576882794379778037767247,24.22466847428835710523121828,145.90816326530611
65.254.227.240:443 => 192.168.0.123:57256,65.254.227.240,443,192.168.0.123,57256,6,1679307904.436277,tribuna-news,3.934720,495,495,703947,0,178906.5041476903057905009759,125.8031067013662979830839297,1422.1151515151514
65.254.227.240:443 => 192.168.0.123:57257,65.254.227.240,443,192.168.0.123,57257,6,1679307904.436283,tribuna-news,3.934720,304,304,420766,0,106936.7070592062459336369551,77.26089785296031229668184776,1384.0986842105262
192.168.0.123:57259 => 65.254.227.240:443,192.168.0.123,57259,65.254.227.240,443,6,1679307906.408693,tribuna-news,1.955028,58,58,9437,0,4827.040840335790587142485939,29.66709428202562827744666573,162.70689655172413
192.168.0.123:57260 => 65.254.227.240:443,192.168.0.123,57260,65.254.227.240,443,6,1679307906.409125,tribuna-news,1.955862,72,72,11944,0,6106.770314061012484520891556,36.81241314571273433401743068,165.88888888888889
192.168.0.123:57261 => 65.254.227.240:443,192.168.0.123,57261,65.254.227.240,443,6,1679307906.409315,tribuna-news,1.954451,73,73,11935,0,6106.574173514710780674470734,37.35064220080216899784133754,163.4931506849315
192.168.0.123:57262 => 65.254.227.240:443,192.168.0.123,57262,65.254.227.240,443,6,1679307906.409998,tribuna-news,1.955024,60,60,8444,0,4319.128563127613778654379690,30.69016032539753987674831613,140.73333333333332
65.254.227.240:443 => 192.168.0.123:57260,65.254.227.240,443,192.168.0.123,57260,6,1679307906.527788,tribuna-news,1.837140,331,331,464230,0,252691.6838128830682473845216,180.1713532991497653962136800,1402.5075528700906
65.254.227.240:443 => 192.168.0.123:57262,65.254.227.240,443,192.168.0.123,57262,6,1679307906.527794,tribuna-news,1.837139,265,265,372139,0,202564.4221803576103931166885,144.2460260219830943657502236,1404.2981132075472
65.254.227.240:443 => 192.168.0.123:57261,65.254.227.240,443,192.168.0.123,57261,6,1679307906.527794,tribuna-news,1.835753,452,452,639493,0,348354.5989030114617816231269,246.2204882683018902869830527,1414.8075221238937
65.254.227.240:443 => 192.168.0.123:57259,65.254.227.240,443,192.168.0.123,57259,6,1679307906.531720,tribuna-news,1.831827,274,274,382650,0,208889.8132847697954009849183,149.5774437214867997905915788,1396.5328467153286
