FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56858 => 65.254.227.240:443,192.168.0.123,56858,65.254.227.240,443,6,1679316044.142405,tribuna-news,4.494843,58,58,6389,0,1421.406709867285687175280649,12.90367650216036466679703829,110.15517241379311
192.168.0.123:56859 => 65.254.227.240:443,192.168.0.123,56859,65.254.227.240,443,6,1679316044.143298,tribuna-news,4.752413,56,56,5281,0,1111.224971398739966412851745,11.78348767247291007747011886,94.30357142857143
65.254.227.240:443 => 192.168.0.123:56858,65.254.227.240,443,192.168.0.123,56858,6,1679316044.255640,tribuna-news,4.026176,52,52,63523,0,15777.50202673703285698389738,12.91548109173568169896199272,1221.5961538461538
65.254.227.240:443 => 192.168.0.123:56859,65.254.227.240,443,192.168.0.123,56859,6,1679316044.265109,tribuna-news,4.630475,49,49,63189,0,13646.33217974397874948034489,10.58206771443534410616621405,1289.5714285714287
192.168.0.123:56861 => 65.254.227.240:443,192.168.0.123,56861,65.254.227.240,443,6,1679316046.512226,tribuna-news,2.433839,6,6,1914,0,786.4119196051998509350865033,2.465241127289027745878014117,319.0
192.168.0.123:56862 => 65.254.227.240:443,192.168.0.123,56862,65.254.227.240,443,6,1679316046.513150,tribuna-news,2.363109,6,6,2432,0,1029.152696722834198507136150,2.539028034678044897632737212,405.3333333333333
192.168.0.123:56863 => 65.254.227.240:443,192.168.0.123,56863,65.254.227.240,443,6,1679316046.513747,tribuna-news,2.141082,14,14,2950,0,1377.808042849363079041344516,6.538750033861384103925024824,210.71428571428572
192.168.0.123:56864 => 65.254.227.240:443,192.168.0.123,56864,65.254.227.240,443,6,1679316046.513887,tribuna-news,2.443453,24,24,4436,0,1815.463608262569404854523496,9.822165599256462064136285822,184.83333333333334
65.254.227.240:443 => 192.168.0.123:56864,65.254.227.240,443,192.168.0.123,56864,6,1679316046.668301,tribuna-news,2.288882,17,17,17000,0,7427.206819748680797000456992,7.427206819748680797000456992,1000.0
65.254.227.240:443 => 192.168.0.123:56862,65.254.227.240,443,192.168.0.123,56862,6,1679316046.668306,tribuna-news,0.000000,1,1,52,0,0,0,52.0
65.254.227.240:443 => 192.168.0.123:56863,65.254.227.240,443,192.168.0.123,56863,6,1679316046.668306,tribuna-news,1.986371,10,10,7668,0,3860.306055615995199285531253,5.034306280146055293799597356,766.8
65.254.227.240:443 => 192.168.0.123:56861,65.254.227.240,443,192.168.0.123,56861,6,1679316047.639316,tribuna-news,0.000000,1,1,52,0,0,0,52.0
