FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51084 => 65.254.227.240:443,192.168.0.123,51084,65.254.227.240,443,6,1679309627.496293,tribuna-news,3.825155,94,94,14957,0,3910.168346119307583614258769,24.57416758275154863005551409,159.11702127659575
192.168.0.123:51085 => 65.254.227.240:443,192.168.0.123,51085,65.254.227.240,443,6,1679309627.496586,tribuna-news,4.433576,88,88,12921,0,2914.351755783593198808365978,19.84853761388098455964214891,146.82954545454547
192.168.0.123:51086 => 65.254.227.240:443,192.168.0.123,51086,65.254.227.240,443,6,1679309627.544013,tribuna-news,3.777382,65,65,10204,0,2701.341828811594908854862971,17.20768511101074765538672022,156.98461538461538
65.254.227.240:443 => 192.168.0.123:51084,65.254.227.240,443,192.168.0.123,51084,6,1679309627.605159,tribuna-news,3.716146,371,371,521170,0,140244.7589518818690116050338,99.83461360237191972543597587,1404.7708894878706
65.254.227.240:443 => 192.168.0.123:51085,65.254.227.240,443,192.168.0.123,51085,6,1679309627.619119,tribuna-news,4.310885,497,497,702329,0,162919.9108767689233185297219,115.2895519133542184493439282,1413.1368209255534
65.254.227.240:443 => 192.168.0.123:51086,65.254.227.240,443,192.168.0.123,51086,6,1679309627.652668,tribuna-news,3.668630,246,246,343231,0,93558.35829723902383178461715,67.05500418412322856216080662,1395.2479674796748
192.168.0.123:51087 => 65.254.227.240:443,192.168.0.123,51087,65.254.227.240,443,6,1679309629.366119,tribuna-news,1.971588,56,56,8347,0,4233.643134366814973513736136,28.40350012274369695899954757,149.05357142857142
192.168.0.123:51088 => 65.254.227.240:443,192.168.0.123,51088,65.254.227.240,443,6,1679309629.367085,tribuna-news,1.973830,50,50,7422,0,3760.202246394066358298333696,25.33146218266010750672550321,148.44
192.168.0.123:51089 => 65.254.227.240:443,192.168.0.123,51089,65.254.227.240,443,6,1679309629.367271,tribuna-news,1.955255,76,76,12165,0,6221.694868444269417544003212,38.86961035772827585148740190,160.06578947368422
65.254.227.240:443 => 192.168.0.123:51087,65.254.227.240,443,192.168.0.123,51087,6,1679309629.479422,tribuna-news,1.858162,284,284,398278,0,214339.7615493159369312255874,152.8392034709567841770523776,1402.387323943662
65.254.227.240:443 => 192.168.0.123:51089,65.254.227.240,443,192.168.0.123,51089,6,1679309629.491178,tribuna-news,1.831284,445,445,631038,0,344587.7318864796503436932775,242.9989013173270776133030158,1418.0629213483146
65.254.227.240:443 => 192.168.0.123:51088,65.254.227.240,443,192.168.0.123,51088,6,1679309629.501963,tribuna-news,1.838873,221,221,307618,0,167286.1584242087408972778435,120.1823073154045983599737448,1391.9366515837105
