FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50430 => 173.231.244.176:443,192.168.0.123,50430,173.231.244.176,443,6,1679355943.653031,bulevardionline,3.647120,74,74,6974,0,1912.193730943868038342582641,20.28998223255609905898352673,94.24324324324324
192.168.0.123:50431 => 173.231.244.176:443,192.168.0.123,50431,173.231.244.176,443,6,1679355943.654664,bulevardionline,3.665636,13,13,1662,0,453.4001739398019879769840759,3.546451420708439135800717802,127.84615384615384
173.231.244.176:443 => 192.168.0.123:50430,173.231.244.176,443,192.168.0.123,50430,6,1679355943.756483,bulevardionline,3.543586,198,198,278958,0,78721.95002463606075879067137,55.87560172096853300583081658,1408.878787878788
173.231.244.176:443 => 192.168.0.123:50431,173.231.244.176,443,192.168.0.123,50431,6,1679355943.768601,bulevardionline,3.551538,10,10,6573,0,1850.747478979529432037613000,2.815681544164809724688289975,657.3
192.168.0.123:50440 => 173.231.244.176:443,192.168.0.123,50440,173.231.244.176,443,6,1679355944.706183,bulevardionline,2.601368,99,99,7691,0,2956.521338003696516602034007,38.05689929298738202361219174,77.68686868686869
192.168.0.123:50441 => 173.231.244.176:443,192.168.0.123,50441,173.231.244.176,443,6,1679355944.706230,bulevardionline,0.535980,10,10,1412,0,2634.426657711108623456099108,18.65741259002201574685622598,141.2
192.168.0.123:50442 => 173.231.244.176:443,192.168.0.123,50442,173.231.244.176,443,6,1679355944.706261,bulevardionline,0.536787,10,10,1412,0,2630.466088038644751083763206,18.62936322973544441277452695,141.2
192.168.0.123:50443 => 173.231.244.176:443,192.168.0.123,50443,173.231.244.176,443,6,1679355944.706292,bulevardionline,0.535892,10,10,1412,0,2634.859262687257880319168788,18.66047636464063654616975062,141.2
192.168.0.123:50444 => 173.231.244.176:443,192.168.0.123,50444,173.231.244.176,443,6,1679355944.706321,bulevardionline,0.535877,10,10,1412,0,2634.933016345168760741737376,18.66099869932839065681117122,141.2
192.168.0.123:50445 => 173.231.244.176:443,192.168.0.123,50445,173.231.244.176,443,6,1679355944.706355,bulevardionline,0.536704,11,11,1452,0,2705.401860243262580491295016,20.49546863820653470069162891,132.0
173.231.244.176:443 => 192.168.0.123:50440,173.231.244.176,443,192.168.0.123,50440,6,1679355944.809805,bulevardionline,2.497646,683,683,986087,0,394806.5498473362518147087297,273.4574875702961908933451738,1443.7584187408493
173.231.244.176:443 => 192.168.0.123:50441,173.231.244.176,443,192.168.0.123,50441,6,1679355944.820322,bulevardionline,0.421833,8,8,5640,0,13370.21996856575943560603367,18.96485101924221196539862932,705.0
173.231.244.176:443 => 192.168.0.123:50445,173.231.244.176,443,192.168.0.123,50445,6,1679355944.821832,bulevardionline,0.421197,9,9,5692,0,13513.86643304676908904859246,21.36767355892848239659826637,632.4444444444445
173.231.244.176:443 => 192.168.0.123:50442,173.231.244.176,443,192.168.0.123,50442,6,1679355944.821835,bulevardionline,0.421193,8,8,5640,0,13390.53593008430814377256982,18.99366798593518885641499265,705.0
173.231.244.176:443 => 192.168.0.123:50443,173.231.244.176,443,192.168.0.123,50443,6,1679355944.825988,bulevardionline,0.416163,8,8,5640,0,13552.38211950605892402736428,19.22323704894476443124448834,705.0
173.231.244.176:443 => 192.168.0.123:50444,173.231.244.176,443,192.168.0.123,50444,6,1679355944.828304,bulevardionline,0.413850,8,8,5640,0,13628.12613265675969554186299,19.33067536547058112842817446,705.0
