FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61685 => 173.231.244.176:443,192.168.0.123,61685,173.231.244.176,443,6,1679355216.578123,bulevardionline,3.673851,72,72,7139,0,1943.192579122016652281216631,19.59796409816293584034845180,99.15277777777777
192.168.0.123:61686 => 173.231.244.176:443,192.168.0.123,61686,173.231.244.176,443,6,1679355216.578626,bulevardionline,3.673399,13,13,1662,0,452.4420026248169610761041749,3.538956699231420273158456242,127.84615384615384
173.231.244.176:443 => 192.168.0.123:61685,173.231.244.176,443,192.168.0.123,61685,6,1679355216.685214,bulevardionline,3.566629,213,213,296609,0,83162.28012501440435772826386,59.72025685878738719390214121,1392.530516431925
173.231.244.176:443 => 192.168.0.123:61686,173.231.244.176,443,192.168.0.123,61686,6,1679355216.694102,bulevardionline,3.557748,10,10,6573,0,1847.517024814573713483922976,2.810766810915219402835726420,657.3
192.168.0.123:61696 => 173.231.244.176:443,192.168.0.123,61696,173.231.244.176,443,6,1679355217.675962,bulevardionline,0.520363,9,9,1360,0,2613.560149357275594152543513,17.29561863545255907895065560,151.11111111111111
192.168.0.123:61697 => 173.231.244.176:443,192.168.0.123,61697,173.231.244.176,443,6,1679355217.676012,bulevardionline,0.516060,10,10,1412,0,2736.115955509049335348602876,19.37759175289694996705809402,141.2
192.168.0.123:61698 => 173.231.244.176:443,192.168.0.123,61698,173.231.244.176,443,6,1679355217.676044,bulevardionline,2.567791,93,93,7319,0,2850.309857772692559480113452,36.21790091171750348840696147,78.6989247311828
192.168.0.123:61699 => 173.231.244.176:443,192.168.0.123,61699,173.231.244.176,443,6,1679355217.676073,bulevardionline,0.502939,10,10,1412,0,2807.497529521472782981633956,19.88312697961382990780194020,141.2
192.168.0.123:61700 => 173.231.244.176:443,192.168.0.123,61700,173.231.244.176,443,6,1679355217.676100,bulevardionline,0.502900,10,10,1412,0,2807.715251541061841320342016,19.88466892026247762974746470,141.2
192.168.0.123:61701 => 173.231.244.176:443,192.168.0.123,61701,173.231.244.176,443,6,1679355217.676127,bulevardionline,0.503889,10,10,1412,0,2802.204453758665102830186807,19.84564060735598514752256945,141.2
173.231.244.176:443 => 192.168.0.123:61698,173.231.244.176,443,192.168.0.123,61698,6,1679355217.780873,bulevardionline,2.462820,654,654,944424,0,383472.6045752430141057811777,265.5492484225400151046361488,1444.073394495413
173.231.244.176:443 => 192.168.0.123:61699,173.231.244.176,443,192.168.0.123,61699,6,1679355217.787368,bulevardionline,0.391512,8,8,5640,0,14405.68871452216024029914792,20.43360101350661026992786939,705.0
173.231.244.176:443 => 192.168.0.123:61701,173.231.244.176,443,192.168.0.123,61701,6,1679355217.788634,bulevardionline,0.391355,8,8,5640,0,14411.46784888400557039005507,20.44179836721135541899298591,705.0
173.231.244.176:443 => 192.168.0.123:61700,173.231.244.176,443,192.168.0.123,61700,6,1679355217.789272,bulevardionline,0.389608,8,8,5640,0,14476.08878667789162440196300,20.53345927188353421900987659,705.0
173.231.244.176:443 => 192.168.0.123:61697,173.231.244.176,443,192.168.0.123,61697,6,1679355217.789276,bulevardionline,0.402744,8,8,5640,0,14003.93301948632381860437399,19.86373477941322527461613333,705.0
173.231.244.176:443 => 192.168.0.123:61696,173.231.244.176,443,192.168.0.123,61696,6,1679355217.790449,bulevardionline,0.405850,8,8,5640,0,13896.75988665763213009732660,19.71171615128742146113095971,705.0
