FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49701 => 173.231.244.176:443,192.168.0.123,49701,173.231.244.176,443,6,1679407677.269063,bulevardionline,3.618443,13,13,1662,0,459.3135776907360430992004019,3.592705481335480481522024805,127.84615384615384
192.168.0.123:49702 => 173.231.244.176:443,192.168.0.123,49702,173.231.244.176,443,6,1679407677.269444,bulevardionline,3.604271,69,69,7199,0,1997.352585307819528553763022,19.14395449176823829284756890,104.33333333333333
173.231.244.176:443 => 192.168.0.123:49701,173.231.244.176,443,192.168.0.123,49701,6,1679407677.377387,bulevardionline,3.509993,10,10,6573,0,1872.653307285798005864968961,2.849008530786243733249610469,657.3
173.231.244.176:443 => 192.168.0.123:49702,173.231.244.176,443,192.168.0.123,49702,6,1679407677.377392,bulevardionline,3.496162,229,229,311158,0,88999.88044032284545166957366,65.50039729280279346323196694,1358.7685589519651
192.168.0.123:49715 => 173.231.244.176:443,192.168.0.123,49715,173.231.244.176,443,6,1679407678.309324,bulevardionline,0.523726,10,10,1412,0,2696.066263656950390089474267,19.09395370861862882499627668,141.2
192.168.0.123:49716 => 173.231.244.176:443,192.168.0.123,49716,173.231.244.176,443,6,1679407678.309364,bulevardionline,2.568517,90,90,7334,0,2855.344153844416836641532838,35.03967464494103017422115563,81.4888888888889
192.168.0.123:49717 => 173.231.244.176:443,192.168.0.123,49717,173.231.244.176,443,6,1679407678.309394,bulevardionline,0.733955,10,10,1412,0,1923.823667663548855175044792,13.62481351036507687801023223,141.2
192.168.0.123:49718 => 173.231.244.176:443,192.168.0.123,49718,173.231.244.176,443,6,1679407678.309423,bulevardionline,0.522997,10,10,1412,0,2699.824281974848804104038838,19.12056856922697453331472265,141.2
192.168.0.123:49719 => 173.231.244.176:443,192.168.0.123,49719,173.231.244.176,443,6,1679407678.309452,bulevardionline,0.523027,10,10,1412,0,2699.669424331822257741952136,19.11947184370978936077869785,141.2
192.168.0.123:49720 => 173.231.244.176:443,192.168.0.123,49720,173.231.244.176,443,6,1679407678.309485,bulevardionline,0.523576,10,10,1412,0,2696.838663345913487249224563,19.09942396137332498051858756,141.2
173.231.244.176:443 => 192.168.0.123:49716,173.231.244.176,443,192.168.0.123,49716,6,1679407678.415493,bulevardionline,2.462322,705,705,1015339,0,412350.2125229762801128365827,286.3151123208093823634764259,1440.1971631205674
173.231.244.176:443 => 192.168.0.123:49717,173.231.244.176,443,192.168.0.123,49717,6,1679407678.424636,bulevardionline,0.618616,9,9,5692,0,9201.184579771619227436729732,14.54860527370776054935533514,632.4444444444445
173.231.244.176:443 => 192.168.0.123:49718,173.231.244.176,443,192.168.0.123,49718,6,1679407678.424643,bulevardionline,0.407685,8,8,5640,0,13834.21023584385003127414548,19.62299324233170217202006451,705.0
173.231.244.176:443 => 192.168.0.123:49715,173.231.244.176,443,192.168.0.123,49715,6,1679407678.425967,bulevardionline,0.406368,8,8,5640,0,13879.04559414127096621781243,19.68658949523584534215292543,705.0
173.231.244.176:443 => 192.168.0.123:49719,173.231.244.176,443,192.168.0.123,49719,6,1679407678.425973,bulevardionline,0.406361,8,8,5640,0,13879.28467544867740752680498,19.68692861765769845039263118,705.0
173.231.244.176:443 => 192.168.0.123:49720,173.231.244.176,443,192.168.0.123,49720,6,1679407678.425974,bulevardionline,0.406362,8,8,5640,0,13879.25052047189451769604441,19.68688017088211988325680059,705.0
