FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50153 => 144.91.119.216:443,192.168.0.123,50153,144.91.119.216,443,6,1679355898.179569,gazetaolle,1.675971,80,80,15896,0,9484.650987397753302413943917,47.73352283541898994672342183,198.7
192.168.0.123:50154 => 144.91.119.216:443,192.168.0.123,50154,144.91.119.216,443,6,1679355898.180097,gazetaolle,1.675572,89,89,16450,0,9817.542904751332679228347096,53.11618957585827406998923353,184.8314606741573
144.91.119.216:443 => 192.168.0.123:50154,144.91.119.216,443,192.168.0.123,50154,6,1679355898.222303,gazetaolle,1.632508,346,346,480920,0,294589.6742925608940354350484,211.9438312094029554525919628,1389.942196531792
144.91.119.216:443 => 192.168.0.123:50153,144.91.119.216,443,192.168.0.123,50153,6,1679355898.222309,gazetaolle,1.632501,180,180,243990,0,149457.7951253934913362993346,110.2602693658380607423823936,1355.5
192.168.0.123:50156 => 144.91.119.216:443,192.168.0.123,50156,144.91.119.216,443,6,1679355898.326632,gazetaolle,1.528961,78,78,14156,0,9258.574940760424889843495027,51.01503570071440671148577367,181.48717948717947
192.168.0.123:50157 => 144.91.119.216:443,192.168.0.123,50157,144.91.119.216,443,6,1679355898.326941,gazetaolle,1.528700,75,75,14548,0,9516.582717341532020671158501,49.06129390985804932295414404,193.97333333333333
192.168.0.123:50158 => 144.91.119.216:443,192.168.0.123,50158,144.91.119.216,443,6,1679355898.328372,gazetaolle,1.527330,99,99,15970,0,10456.15551321587345236458395,64.81899785900885859637406454,161.31313131313132
192.168.0.123:50159 => 144.91.119.216:443,192.168.0.123,50159,144.91.119.216,443,6,1679355898.328915,gazetaolle,1.526478,90,90,14527,0,9516.678261986088237105284190,58.95925129612087432639055394,161.4111111111111
144.91.119.216:443 => 192.168.0.123:50157,144.91.119.216,443,192.168.0.123,50157,6,1679355898.366704,gazetaolle,1.488107,231,231,316763,0,212863.0535304248955216257971,155.2307730559697656149725793,1371.2683982683982
144.91.119.216:443 => 192.168.0.123:50156,144.91.119.216,443,192.168.0.123,50156,6,1679355898.366709,gazetaolle,1.488101,343,343,478784,0,321741.6022165162176492052623,230.4951075229436711621052603,1395.871720116618
144.91.119.216:443 => 192.168.0.123:50158,144.91.119.216,443,192.168.0.123,50158,6,1679355898.368448,gazetaolle,1.486351,543,543,762144,0,512761.7904519188267105145420,365.3242067317881173424043177,1403.5801104972375
144.91.119.216:443 => 192.168.0.123:50159,144.91.119.216,443,192.168.0.123,50159,6,1679355898.380292,gazetaolle,1.474515,337,337,470433,0,319042.5326293730480869980977,228.5497265202456400918268041,1395.9436201780416
