FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49220 => 144.91.119.216:443,192.168.0.123,49220,144.91.119.216,443,6,1679407626.005970,gazetaolle,1.158980,90,90,17716,0,15285.85480336157655869816563,77.65448929230875424942621961,196.84444444444443
192.168.0.123:49221 => 144.91.119.216:443,192.168.0.123,49221,144.91.119.216,443,6,1679407626.006218,gazetaolle,1.156873,84,84,15747,0,13611.69289973921078631794501,72.60952585115220080337253960,187.46428571428572
144.91.119.216:443 => 192.168.0.123:49221,144.91.119.216,443,192.168.0.123,49221,6,1679407626.049520,gazetaolle,1.113302,366,366,512116,0,459997.3771716928560264869730,328.7517672653062690985913975,1399.224043715847
144.91.119.216:443 => 192.168.0.123:49220,144.91.119.216,443,192.168.0.123,49220,6,1679407626.049525,gazetaolle,1.115395,207,207,278162,0,249384.2988358384249525952689,185.5844790410572039501701191,1343.7777777777778
192.168.0.123:49223 => 144.91.119.216:443,192.168.0.123,49223,144.91.119.216,443,6,1679407626.170574,gazetaolle,0.993791,127,127,15995,0,16094.93344173976218339671017,127.7934696530759485646378363,125.94488188976378
192.168.0.123:49224 => 144.91.119.216:443,192.168.0.123,49224,144.91.119.216,443,6,1679407626.172033,gazetaolle,0.992933,74,74,13961,0,14060.36459660420189479048435,74.52668004789849869024395402,188.66216216216216
192.168.0.123:49225 => 144.91.119.216:443,192.168.0.123,49225,144.91.119.216,443,6,1679407626.172953,gazetaolle,0.986753,89,89,14715,0,14912.54650353229227577722084,90.19481065677023530711333029,165.3370786516854
192.168.0.123:49226 => 144.91.119.216:443,192.168.0.123,49226,144.91.119.216,443,6,1679407626.173536,gazetaolle,0.990817,84,84,14929,0,15067.36359993823279172642375,84.77852115981054019057000435,177.72619047619048
144.91.119.216:443 => 192.168.0.123:49223,144.91.119.216,443,192.168.0.123,49223,6,1679407626.212296,gazetaolle,0.952010,837,837,1202552,0,1263171.605340280039075219798,879.1924454575056984695538912,1436.7407407407406
144.91.119.216:443 => 192.168.0.123:49224,144.91.119.216,443,192.168.0.123,49224,6,1679407626.212301,gazetaolle,0.952623,199,199,270040,0,283469.9561106544771646286096,208.8969088506156160411831333,1356.9849246231156
144.91.119.216:443 => 192.168.0.123:49225,144.91.119.216,443,192.168.0.123,49225,6,1679407626.217539,gazetaolle,0.946767,327,327,454259,0,479800.2042741244677940823877,345.3859291673664164467075849,1389.17125382263
144.91.119.216:443 => 192.168.0.123:49226,144.91.119.216,443,192.168.0.123,49226,6,1679407626.218657,gazetaolle,0.945644,213,213,290911,0,307632.6820664013095837334134,225.2433262411647512171599460,1365.7793427230047
