FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61436 => 144.91.119.216:443,192.168.0.123,61436,144.91.119.216,443,6,1679355171.675825,gazetaolle,1.162428,90,90,17224,0,14817.26180030074980988069799,77.42415014091195325645975493,191.37777777777777
192.168.0.123:61437 => 144.91.119.216:443,192.168.0.123,61437,144.91.119.216,443,6,1679355171.676118,gazetaolle,1.144019,90,90,15938,0,13931.58680056887167083763469,78.67002208879397982026522287,177.0888888888889
144.91.119.216:443 => 192.168.0.123:61436,144.91.119.216,443,192.168.0.123,61436,6,1679355171.713028,gazetaolle,1.125134,316,316,438217,0,389479.8308468146905168628803,280.8554358858589288031470029,1386.762658227848
144.91.119.216:443 => 192.168.0.123:61437,144.91.119.216,443,192.168.0.123,61437,6,1679355171.720604,gazetaolle,1.099497,379,379,532487,0,484300.5483416507730353061445,344.7030778619677907261229453,1404.9788918205804
192.168.0.123:61439 => 144.91.119.216:443,192.168.0.123,61439,144.91.119.216,443,6,1679355171.808306,gazetaolle,1.010735,95,95,14079,0,13929.46716993079293781258193,93.99100654474219256283793477,148.2
192.168.0.123:61440 => 144.91.119.216:443,192.168.0.123,61440,144.91.119.216,443,6,1679355171.808485,gazetaolle,0.956875,81,81,15930,0,16647.94252122795558458523841,84.65055519268451992161985630,196.66666666666666
192.168.0.123:61441 => 144.91.119.216:443,192.168.0.123,61441,144.91.119.216,443,6,1679355171.808984,gazetaolle,1.010042,81,81,14822,0,14674.63729231061678623265171,80.19468497349615164517911136,182.98765432098764
192.168.0.123:61442 => 144.91.119.216:443,192.168.0.123,61442,144.91.119.216,443,6,1679355171.809135,gazetaolle,1.012026,99,99,14853,0,14676.50040611604840191852778,97.82357370265190815255734536,150.03030303030303
144.91.119.216:443 => 192.168.0.123:61440,144.91.119.216,443,192.168.0.123,61440,6,1679355171.850751,gazetaolle,0.914575,233,233,317232,0,346862.7504578629418035699642,254.7631413498072875379274526,1361.510729613734
144.91.119.216:443 => 192.168.0.123:61441,144.91.119.216,443,192.168.0.123,61441,6,1679355171.850756,gazetaolle,0.968179,218,218,299816,0,309670.0093681023860257245819,225.1649746586116823438640995,1375.302752293578
144.91.119.216:443 => 192.168.0.123:61439,144.91.119.216,443,192.168.0.123,61439,6,1679355171.850756,gazetaolle,0.968180,476,476,670915,0,692965.1511082649920469334215,491.6441157635976781177053854,1409.485294117647
144.91.119.216:443 => 192.168.0.123:61442,144.91.119.216,443,192.168.0.123,61442,6,1679355171.861574,gazetaolle,0.959558,316,316,439604,0,458131.7648333920409188397158,329.3182902961571890391200949,1391.1518987341772
