FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61727 => 95.217.115.180:443,192.168.0.123,61727,95.217.115.180,443,6,1679355290.172501,kohajone,2.325735,259,259,32653,0,14039.86266707083997101991413,111.3626444973309512906672514,126.07335907335907
192.168.0.123:61728 => 95.217.115.180:443,192.168.0.123,61728,95.217.115.180,443,6,1679355290.172722,kohajone,2.334012,171,171,28890,0,12377.82839162780654084040699,73.26440481025804494578434044,168.94736842105263
95.217.115.180:443 => 192.168.0.123:61727,95.217.115.180,443,192.168.0.123,61727,6,1679355290.227071,kohajone,2.270990,1502,1502,2168600,0,954913.9362128410957335787476,661.3855631244523313620931840,1443.8082556591212
95.217.115.180:443 => 192.168.0.123:61728,95.217.115.180,443,192.168.0.123,61728,6,1679355290.235757,kohajone,2.270783,876,876,1247580,0,549405.2051649144810402403048,385.7700185354567125084167003,1424.1780821917807
192.168.0.123:61730 => 95.217.115.180:443,192.168.0.123,61730,95.217.115.180,443,6,1679355290.403058,kohajone,2.095118,171,171,27911,0,13321.92267929539052215674726,81.61831457703098345773364555,163.22222222222223
192.168.0.123:61731 => 95.217.115.180:443,192.168.0.123,61731,95.217.115.180,443,6,1679355290.403521,kohajone,2.103200,158,158,25851,0,12291.27044503613541270445036,75.12362114872575123621148726,163.6139240506329
192.168.0.123:61732 => 95.217.115.180:443,192.168.0.123,61732,95.217.115.180,443,6,1679355290.403572,kohajone,2.094654,177,177,27571,0,13162.55572519375515001522925,84.50082925390064421140675262,155.7683615819209
192.168.0.123:61733 => 95.217.115.180:443,192.168.0.123,61733,95.217.115.180,443,6,1679355290.404216,kohajone,2.102450,170,170,26692,0,12695.66458179742681157696973,80.85804656472210991937977122,157.01176470588234
95.217.115.180:443 => 192.168.0.123:61730,95.217.115.180,443,192.168.0.123,61730,6,1679355290.462631,kohajone,2.035436,588,588,831632,0,408576.8356263719419328340464,288.8815958841250719747513555,1414.3401360544217
95.217.115.180:443 => 192.168.0.123:61731,95.217.115.180,443,192.168.0.123,61731,6,1679355290.465681,kohajone,2.040858,639,639,905915,0,443889.2857807843563834426501,313.1036064243568146338451769,1417.7073552425666
95.217.115.180:443 => 192.168.0.123:61733,95.217.115.180,443,192.168.0.123,61733,6,1679355290.466401,kohajone,2.040134,965,965,1376531,0,674725.7778165551870612420557,473.0081455433809739948454366,1426.456994818653
95.217.115.180:443 => 192.168.0.123:61732,95.217.115.180,443,192.168.0.123,61732,6,1679355290.468469,kohajone,2.029598,1062,1062,1522993,0,750391.4568303673929517076781,523.2563295785667900736993237,1434.0800376647835
192.168.0.123:61738 => 95.217.115.180:443,192.168.0.123,61738,95.217.115.180,443,6,1679355290.766069,kohajone,0.265421,10,10,1796,0,6766.608520049280200134880058,37.67599398691135968894699364,179.6
95.217.115.180:443 => 192.168.0.123:61738,95.217.115.180,443,192.168.0.123,61738,6,1679355290.820819,kohajone,0.210527,10,10,6067,0,28818.15634099189177635172686,47.49984562550171711941936189,606.7
