FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59805 => 138.201.56.69:443,192.168.0.123,59805,138.201.56.69,443,6,1679404150.506588,telesport,2.233432,53,53,7384,0,3306.122595180869621282403046,23.73029490040440004441594819,139.32075471698113
192.168.0.123:59806 => 138.201.56.69:443,192.168.0.123,59806,138.201.56.69,443,6,1679404150.506809,telesport,2.249382,57,57,6724,0,2989.265496034021789095849438,25.34029346727234413718968143,117.96491228070175
138.201.56.69:443 => 192.168.0.123:59805,138.201.56.69,443,192.168.0.123,59805,6,1679404150.545593,telesport,2.194339,275,275,390268,0,177852.1914799855446218656279,125.3224775205654185611247852,1419.1563636363637
138.201.56.69:443 => 192.168.0.123:59806,138.201.56.69,443,192.168.0.123,59806,6,1679404150.553868,telesport,2.202145,302,302,429574,0,195070.7151436440379720681427,137.1390167314141439369342164,1422.430463576159
192.168.0.123:59812 => 138.201.56.69:443,192.168.0.123,59812,138.201.56.69,443,6,1679404151.223656,telesport,1.532542,30,30,5392,0,3518.337507226555618051577053,19.57531995860472339420387826,179.73333333333332
192.168.0.123:59813 => 138.201.56.69:443,192.168.0.123,59813,138.201.56.69,443,6,1679404151.223720,telesport,1.532460,45,45,6098,0,3979.222948722968299335708599,29.36455111389530558709525860,135.51111111111112
192.168.0.123:59814 => 138.201.56.69:443,192.168.0.123,59814,138.201.56.69,443,6,1679404151.223775,telesport,1.532353,74,74,6914,0,4512.015181880415282901524649,48.29174478726507534491073532,93.43243243243244
138.201.56.69:443 => 192.168.0.123:59813,138.201.56.69,443,192.168.0.123,59813,6,1679404151.269987,telesport,1.486025,162,162,224945,0,151373.6309954408573207045642,109.0156625897949226964553086,1388.5493827160494
138.201.56.69:443 => 192.168.0.123:59812,138.201.56.69,443,192.168.0.123,59812,6,1679404151.269993,telesport,1.486020,64,64,83268,0,56034.23910849113740057334356,43.06806099514138436898561258,1301.0625
138.201.56.69:443 => 192.168.0.123:59814,138.201.56.69,443,192.168.0.123,59814,6,1679404151.269994,telesport,1.486012,524,524,754088,0,507457.5440844353881395305018,352.6216477390492135998901759,1439.0992366412213
192.168.0.123:59822 => 138.201.56.69:443,192.168.0.123,59822,138.201.56.69,443,6,1679404151.485830,telesport,1.266461,8,8,1121,0,885.1437193881217029186054683,6.316815124982135257224659899,140.125
138.201.56.69:443 => 192.168.0.123:59822,138.201.56.69,443,192.168.0.123,59822,6,1679404151.535226,telesport,1.216967,5,5,815,0,669.6976992802598591416201097,4.108574842210183184917914783,163.0
