FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:65337 => 51.178.75.191:443,192.168.0.123,65337,51.178.75.191,443,6,1679355708.983019,balkanweb,3.038771,33,33,6968,0,2293.032281800767481327154958,10.85965345858572429445983261,211.15151515151516
192.168.0.123:65338 => 51.178.75.191:443,192.168.0.123,65338,51.178.75.191,443,6,1679355708.983234,balkanweb,3.037374,47,47,9177,0,3021.359898385908353729241114,15.47389290880872753898597934,195.25531914893617
51.178.75.191:443 => 192.168.0.123:65338,51.178.75.191,443,192.168.0.123,65338,6,1679355709.007067,balkanweb,3.013509,101,101,132764,0,44056.28123227772009308749368,33.51574526573506168390404674,1314.4950495049504
51.178.75.191:443 => 192.168.0.123:65337,51.178.75.191,443,192.168.0.123,65337,6,1679355709.008860,balkanweb,3.012872,52,52,63196,0,20975.33516193187098555796595,17.25927951801470490614934853,1215.3076923076924
192.168.0.123:65340 => 51.178.75.191:443,192.168.0.123,65340,51.178.75.191,443,6,1679355709.096060,balkanweb,2.923616,37,37,8348,0,2855.368146842813830544093342,12.65556078500049254074406488,225.6216216216216
192.168.0.123:65341 => 51.178.75.191:443,192.168.0.123,65341,51.178.75.191,443,6,1679355709.096258,balkanweb,2.924371,21,21,4958,0,1695.407320069854337907194402,7.181031408121609741034909729,236.0952380952381
192.168.0.123:65342 => 51.178.75.191:443,192.168.0.123,65342,51.178.75.191,443,6,1679355709.096376,balkanweb,2.925454,12,12,2578,0,881.2307423052968872523717686,4.101927427332646488374112189,214.83333333333334
192.168.0.123:65343 => 51.178.75.191:443,192.168.0.123,65343,51.178.75.191,443,6,1679355709.096484,balkanweb,2.867604,30,30,8733,0,3045.399573999757288663288236,10.46169554792084262680621174,291.1
51.178.75.191:443 => 192.168.0.123:65340,51.178.75.191,443,192.168.0.123,65340,6,1679355709.122583,balkanweb,2.897054,96,96,130122,0,44915.28290463346558262289899,33.13711101001224002037932327,1355.4375
51.178.75.191:443 => 192.168.0.123:65341,51.178.75.191,443,192.168.0.123,65341,6,1679355709.122584,balkanweb,2.897995,33,33,37537,0,12952.74836568041007662194034,11.38718320770049637766800840,1137.4848484848485
51.178.75.191:443 => 192.168.0.123:65343,51.178.75.191,443,192.168.0.123,65343,6,1679355709.140650,balkanweb,2.882751,45,45,46808,0,16237.26780426058303335945422,15.61008911279538191123687061,1040.1777777777777
51.178.75.191:443 => 192.168.0.123:65342,51.178.75.191,443,192.168.0.123,65342,6,1679355709.143832,balkanweb,2.877905,12,12,7124,0,2475.411801292954423443442365,4.169699833733219129887887196,593.6666666666666
192.168.0.123:65355 => 51.178.75.191:443,192.168.0.123,65355,51.178.75.191,443,6,1679355709.395819,balkanweb,2.585636,10,10,1790,0,692.2861531940304048984466491,3.867520408905197792728752230,179.0
192.168.0.123:65356 => 51.178.75.191:443,192.168.0.123,65356,51.178.75.191,443,6,1679355709.395853,balkanweb,2.580317,11,11,1839,0,712.7031291116556609129808469,4.263042099090925649832946882,167.1818181818182
192.168.0.123:65357 => 51.178.75.191:443,192.168.0.123,65357,51.178.75.191,443,6,1679355709.395881,balkanweb,2.585616,12,12,1897,0,733.6742965699469681499495671,4.641060389477787884975959307,158.08333333333334
192.168.0.123:65363 => 51.178.75.191:443,192.168.0.123,65363,51.178.75.191,443,6,1679355709.584854,balkanweb,2.391352,9,9,1090,0,455.8090987859587379858757724,3.763561366122595084287047662,121.11111111111111
51.178.75.191:443 => 192.168.0.123:65356,51.178.75.191,443,192.168.0.123,65356,6,1679355709.621929,balkanweb,2.354120,12,12,9101,0,3865.988139941889113554109391,5.097446179464088491665675497,758.4166666666666
51.178.75.191:443 => 192.168.0.123:65355,51.178.75.191,443,192.168.0.123,65355,6,1679355709.624248,balkanweb,2.357140,13,13,10457,0,4436.308407646554723096634057,5.515158200191757808191282656,804.3846153846154
51.178.75.191:443 => 192.168.0.123:65357,51.178.75.191,443,192.168.0.123,65357,6,1679355709.624253,balkanweb,2.357142,12,12,8814,0,3739.274087008758912275968100,5.090910942149433508884912322,734.5
51.178.75.191:443 => 192.168.0.123:65363,51.178.75.191,443,192.168.0.123,65363,6,1679355709.681422,balkanweb,2.294634,8,8,5123,0,2232.600057351194133792142886,3.486394780169735129872563555,640.375
