FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49507 => 188.40.137.224:443,192.168.0.123,49507,188.40.137.224,443,6,1679407658.845359,shqiperia,2.138904,62,62,11313,0,5289.157437640960043087487797,28.98680819709533480698525974,182.46774193548387
192.168.0.123:49508 => 188.40.137.224:443,192.168.0.123,49508,188.40.137.224,443,6,1679407658.846445,shqiperia,3.220034,57,57,6628,0,2058.363358896210412685083449,17.70167644192576848567437487,116.28070175438596
188.40.137.224:443 => 192.168.0.123:49507,188.40.137.224,443,192.168.0.123,49507,6,1679407658.886407,shqiperia,2.097545,158,158,212598,0,101355.6324178980665492277877,75.32615510036733419306856349,1345.5569620253164
188.40.137.224:443 => 192.168.0.123:49508,188.40.137.224,443,192.168.0.123,49508,6,1679407658.892894,shqiperia,3.173312,139,139,191227,0,60261.01435976040175060000403,43.80281548111247806707944255,1375.7338129496402
192.168.0.123:49510 => 188.40.137.224:443,192.168.0.123,49510,188.40.137.224,443,6,1679407659.072499,shqiperia,1.914872,38,38,5971,0,3118.224090174173521781090329,19.84466846870182445615163833,157.1315789473684
192.168.0.123:49511 => 188.40.137.224:443,192.168.0.123,49511,188.40.137.224,443,6,1679407659.072555,shqiperia,1.914787,29,29,4030,0,2104.672739056615696680622962,15.14528770040740823914095928,138.9655172413793
192.168.0.123:49512 => 188.40.137.224:443,192.168.0.123,49512,188.40.137.224,443,6,1679407659.082271,shqiperia,1.905095,45,45,8858,0,4649.636894748030938089701563,23.62086930048107837141979796,196.84444444444443
192.168.0.123:49513 => 188.40.137.224:443,192.168.0.123,49513,188.40.137.224,443,6,1679407659.082771,shqiperia,1.904534,20,20,2264,0,1188.742233008179428668640203,10.50125647533727410484664490,113.2
188.40.137.224:443 => 192.168.0.123:49511,188.40.137.224,443,192.168.0.123,49511,6,1679407659.123205,shqiperia,1.864032,52,52,63426,0,34026.23989287737549569964464,27.89651679799488420799642925,1219.7307692307693
188.40.137.224:443 => 192.168.0.123:49510,188.40.137.224,443,192.168.0.123,49510,6,1679407659.123815,shqiperia,1.863423,88,88,111442,0,59804.99328386523081447422298,47.22491887241919843213269344,1266.3863636363637
188.40.137.224:443 => 192.168.0.123:49512,188.40.137.224,443,192.168.0.123,49512,6,1679407659.127035,shqiperia,1.860203,115,115,155209,0,83436.59267295021027274980204,61.82120983570072728621553669,1349.6434782608696
188.40.137.224:443 => 192.168.0.123:49513,188.40.137.224,443,192.168.0.123,49513,6,1679407659.127039,shqiperia,1.860191,18,18,15893,0,8543.746314222571768167892437,9.676425700371628504814828155,882.9444444444445
