FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64561 => 65.254.227.240:443,192.168.0.123,64561,65.254.227.240,443,6,1679355571.317160,tribuna-news,4.055172,103,103,15183,0,3744.107524908931113156236036,25.39966245574786963413635722,147.40776699029126
192.168.0.123:64562 => 65.254.227.240:443,192.168.0.123,64562,65.254.227.240,443,6,1679355571.318528,tribuna-news,4.045302,81,81,12377,0,3059.598516995764469500670160,20.02322694325417484281766850,152.80246913580248
65.254.227.240:443 => 192.168.0.123:64561,65.254.227.240,443,192.168.0.123,64561,6,1679355571.435669,tribuna-news,3.936521,480,480,676684,0,171898.9940609995475700497978,121.9350792235072542481038460,1409.7583333333334
65.254.227.240:443 => 192.168.0.123:64562,65.254.227.240,443,192.168.0.123,64562,6,1679355571.440087,tribuna-news,3.923665,478,478,679529,0,173187.3133919435018025239158,121.8248754671971230979199295,1421.6087866108787
192.168.0.123:64564 => 65.254.227.240:443,192.168.0.123,64564,65.254.227.240,443,6,1679355573.192425,tribuna-news,2.179998,65,65,11674,0,5355.050784450260963542168387,29.81654111609276705758445650,179.6
192.168.0.123:64565 => 65.254.227.240:443,192.168.0.123,64565,65.254.227.240,443,6,1679355573.193601,tribuna-news,2.178786,54,54,8279,0,3799.822469944271718287156242,24.78444418130096301334780011,153.3148148148148
192.168.0.123:64566 => 65.254.227.240:443,192.168.0.123,64566,65.254.227.240,443,6,1679355573.193990,tribuna-news,2.759362,62,62,10521,0,3812.837895136629409261996070,22.46896202817897760424329972,169.69354838709677
192.168.0.123:64567 => 65.254.227.240:443,192.168.0.123,64567,65.254.227.240,443,6,1679355573.194529,tribuna-news,2.170716,58,58,9918,0,4568.999353208802994035147850,26.71929446320937423412367164,171.0
65.254.227.240:443 => 192.168.0.123:64567,65.254.227.240,443,192.168.0.123,64567,6,1679355573.309180,tribuna-news,2.055978,236,236,325447,0,158293.0362095314249471541038,114.7872204858223191104184967,1379.0127118644068
65.254.227.240:443 => 192.168.0.123:64566,65.254.227.240,443,192.168.0.123,64566,6,1679355573.318472,tribuna-news,2.634773,354,354,497605,0,188860.6722476661177262709159,134.3569256250918010773603646,1405.6638418079096
65.254.227.240:443 => 192.168.0.123:64565,65.254.227.240,443,192.168.0.123,64565,6,1679355573.318475,tribuna-news,2.053722,243,243,338511,0,164828.0536508836152117959490,118.3217592254453134358009507,1393.0493827160494
65.254.227.240:443 => 192.168.0.123:64564,65.254.227.240,443,192.168.0.123,64564,6,1679355573.318477,tribuna-news,2.053720,387,387,547354,0,266518.3179790818612079543463,188.4385407942660148413610424,1414.3514211886304
