FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59368 => 65.254.227.240:443,192.168.0.123,59368,65.254.227.240,443,6,1679404113.437624,tribuna-news,3.906838,87,87,13922,0,3563.495594135206015708867376,22.26864794496214073887885804,160.02298850574712
192.168.0.123:59369 => 65.254.227.240:443,192.168.0.123,59369,65.254.227.240,443,6,1679404113.437928,tribuna-news,3.890905,87,87,14552,0,3740.003932247125026182854632,22.35983659328613780084581865,167.26436781609195
65.254.227.240:443 => 192.168.0.123:59368,65.254.227.240,443,192.168.0.123,59368,6,1679404113.547470,tribuna-news,3.796878,377,377,529179,0,139372.1367923857442878069825,99.29210261693949608072737654,1403.657824933687
65.254.227.240:443 => 192.168.0.123:59369,65.254.227.240,443,192.168.0.123,59369,6,1679404113.555020,tribuna-news,3.773662,449,449,635550,0,168417.3092343723417730575764,118.9825691861115277414882414,1415.478841870824
192.168.0.123:59375 => 65.254.227.240:443,192.168.0.123,59375,65.254.227.240,443,6,1679404115.327195,tribuna-news,2.002688,60,60,9217,0,4602.314489326345391793429631,29.95973411734628659082193532,153.61666666666667
192.168.0.123:59376 => 65.254.227.240:443,192.168.0.123,59376,65.254.227.240,443,6,1679404115.327280,tribuna-news,2.001588,52,52,8207,0,4100.244405941682304250425162,25.97937237833160470586354435,157.82692307692307
192.168.0.123:59377 => 65.254.227.240:443,192.168.0.123,59377,65.254.227.240,443,6,1679404115.327424,tribuna-news,2.010296,76,76,12020,0,5979.218980687421155889480952,37.80537791449617369780370652,158.1578947368421
192.168.0.123:59378 => 65.254.227.240:443,192.168.0.123,59378,65.254.227.240,443,6,1679404115.327554,tribuna-news,2.001341,72,72,11880,0,5936.019898657949844629176137,35.97587817368454451290409780,165.0
65.254.227.240:443 => 192.168.0.123:59377,65.254.227.240,443,192.168.0.123,59377,6,1679404115.442976,tribuna-news,1.894635,369,369,520467,0,274705.6820970793846835934098,194.7604683751751656651545021,1410.479674796748
65.254.227.240:443 => 192.168.0.123:59375,65.254.227.240,443,192.168.0.123,59375,6,1679404115.444154,tribuna-news,1.885678,271,271,379568,0,201289.9339123646773203060119,143.7148866349397935384514217,1400.619926199262
65.254.227.240:443 => 192.168.0.123:59378,65.254.227.240,443,192.168.0.123,59378,6,1679404115.445060,tribuna-news,1.883623,383,383,541212,0,287325.0114274459379610463453,203.3315583850908594766574840,1413.0861618798956
65.254.227.240:443 => 192.168.0.123:59376,65.254.227.240,443,192.168.0.123,59376,6,1679404115.448394,tribuna-news,1.880288,230,230,320486,0,170445.1658469340866931023333,122.3216868905188992324580064,1393.4173913043478
