FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57169 => 173.231.244.176:443,192.168.0.123,57169,173.231.244.176,443,6,1679525477.842506,bulevardionline,3.778512,69,69,6983,0,1848.081996299072227374162104,18.26115677282485803935517474,101.20289855072464
192.168.0.123:57170 => 173.231.244.176:443,192.168.0.123,57170,173.231.244.176,443,6,1679525477.842864,bulevardionline,3.785989,13,13,1662,0,438.9870123764226467641612271,3.433713093197048380225087817,127.84615384615384
173.231.244.176:443 => 192.168.0.123:57169,173.231.244.176,443,192.168.0.123,57169,6,1679525477.948217,bulevardionline,3.672658,213,213,295650,0,80500.28072311660927862055220,57.99614339260557340215179306,1388.0281690140846
173.231.244.176:443 => 192.168.0.123:57170,173.231.244.176,443,192.168.0.123,57170,6,1679525477.957971,bulevardionline,3.670775,10,10,6573,0,1790.630044064264358343946442,2.724220362185097152508666426,657.3
192.168.0.123:57180 => 173.231.244.176:443,192.168.0.123,57180,173.231.244.176,443,6,1679525479.013391,bulevardionline,0.515910,10,10,1412,0,2736.911476807970382431044174,19.38322575643038514469578027,141.2
192.168.0.123:57181 => 173.231.244.176:443,192.168.0.123,57181,173.231.244.176,443,6,1679525479.013439,bulevardionline,0.506069,10,10,1412,0,2790.133361261013814321762447,19.76015128371822814675469155,141.2
192.168.0.123:57182 => 173.231.244.176:443,192.168.0.123,57182,173.231.244.176,443,6,1679525479.013479,bulevardionline,0.529789,10,10,1412,0,2665.211999494138232390630987,18.87543908990182884129342059,141.2
192.168.0.123:57183 => 173.231.244.176:443,192.168.0.123,57183,173.231.244.176,443,6,1679525479.013519,bulevardionline,2.600898,94,94,7367,0,2832.483242326304222618495612,36.14136348292012989359828798,78.37234042553192
192.168.0.123:57184 => 173.231.244.176:443,192.168.0.123,57184,173.231.244.176,443,6,1679525479.013555,bulevardionline,0.521815,10,10,1412,0,2705.939844580933855868459128,19.16387991912842674127803915,141.2
192.168.0.123:57185 => 173.231.244.176:443,192.168.0.123,57185,173.231.244.176,443,6,1679525479.013591,bulevardionline,0.724478,10,10,1412,0,1948.989479321663321729576329,13.80304163825540596125762273,141.2
173.231.244.176:443 => 192.168.0.123:57183,173.231.244.176,443,192.168.0.123,57183,6,1679525479.117415,bulevardionline,2.496841,674,674,973524,0,389902.2805216671786469382712,269.9410975708905773335186341,1444.3976261127596
173.231.244.176:443 => 192.168.0.123:57181,173.231.244.176,443,192.168.0.123,57181,6,1679525479.117421,bulevardionline,0.401913,8,8,5640,0,14032.88771450537802957356443,19.90480526880195465187739635,705.0
173.231.244.176:443 => 192.168.0.123:57182,173.231.244.176,443,192.168.0.123,57182,6,1679525479.132811,bulevardionline,0.410415,8,8,5640,0,13742.18778553415445341910018,19.49246494402007723889234068,705.0
173.231.244.176:443 => 192.168.0.123:57180,173.231.244.176,443,192.168.0.123,57180,6,1679525479.132817,bulevardionline,0.396378,8,8,5640,0,14228.84216581142243010459713,20.18275484512258500724056330,705.0
173.231.244.176:443 => 192.168.0.123:57184,173.231.244.176,443,192.168.0.123,57184,6,1679525479.132817,bulevardionline,0.402507,8,8,5640,0,14012.17867018461790726620903,19.87543073785052185427831069,705.0
173.231.244.176:443 => 192.168.0.123:57185,173.231.244.176,443,192.168.0.123,57185,6,1679525479.132818,bulevardionline,0.605163,9,9,5692,0,9405.730356945153619768558223,14.87202621442487395957783275,632.4444444444445
