FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63410 => 173.231.244.176:443,192.168.0.123,63410,173.231.244.176,443,6,1679524010.168575,bulevardionline,3.698429,73,73,7191,0,1944.339069372428130971285375,19.73811042472357857890471873,98.5068493150685
192.168.0.123:63411 => 173.231.244.176:443,192.168.0.123,63411,173.231.244.176,443,6,1679524010.168782,bulevardionline,3.721718,13,13,1662,0,446.5679559816192414363474073,3.493010486017479024472031465,127.84615384615384
192.168.0.123:63412 => 173.231.244.176:443,192.168.0.123,63412,173.231.244.176,443,6,1679524010.228417,bulevardionline,3.662131,13,13,1662,0,453.8341200792653239329778208,3.549845704591124675769381270,127.84615384615384
173.231.244.176:443 => 192.168.0.123:63410,173.231.244.176,443,192.168.0.123,63410,6,1679524010.272238,bulevardionline,3.594606,212,212,295576,0,82227.64887167049740639168799,58.97725647817869329767991262,1394.2264150943397
173.231.244.176:443 => 192.168.0.123:63411,173.231.244.176,443,192.168.0.123,63411,6,1679524010.280198,bulevardionline,3.610200,10,10,6573,0,1820.674754861226524846268905,2.769929643787047808985651764,657.3
173.231.244.176:443 => 192.168.0.123:63412,173.231.244.176,443,192.168.0.123,63412,6,1679524010.336139,bulevardionline,3.554267,10,10,6573,0,1849.326457466476210144032511,2.813519637100983128166792197,657.3
192.168.0.123:63420 => 173.231.244.176:443,192.168.0.123,63420,173.231.244.176,443,6,1679524011.223323,bulevardionline,0.505298,10,10,1412,0,2794.390636812336482630051969,19.79030196042731219992954653,141.2
192.168.0.123:63421 => 173.231.244.176:443,192.168.0.123,63421,173.231.244.176,443,6,1679524011.223371,bulevardionline,2.653562,95,95,7414,0,2793.980317776633822763515607,35.80093474356355721102427605,78.0421052631579
192.168.0.123:63422 => 173.231.244.176:443,192.168.0.123,63422,173.231.244.176,443,6,1679524011.223409,bulevardionline,0.512226,10,10,1412,0,2756.595721419842022857098234,19.52263258795922112505027078,141.2
192.168.0.123:63423 => 173.231.244.176:443,192.168.0.123,63423,173.231.244.176,443,6,1679524011.223445,bulevardionline,0.512178,10,10,1412,0,2756.854062454849681165532295,19.52446219868873711873606442,141.2
192.168.0.123:63424 => 173.231.244.176:443,192.168.0.123,63424,173.231.244.176,443,6,1679524011.223479,bulevardionline,0.513261,10,10,1412,0,2751.036996771623014411771009,19.48326484965738678761877485,141.2
192.168.0.123:63425 => 173.231.244.176:443,192.168.0.123,63425,173.231.244.176,443,6,1679524011.223513,bulevardionline,0.512136,10,10,1412,0,2757.080150585000859146789134,19.52606338941218738772513551,141.2
173.231.244.176:443 => 192.168.0.123:63421,173.231.244.176,443,192.168.0.123,63421,6,1679524011.330725,bulevardionline,2.546071,718,718,1033540,0,405935.2626065808848221436087,282.0031334554299546242033313,1439.4707520891366
173.231.244.176:443 => 192.168.0.123:63420,173.231.244.176,443,192.168.0.123,63420,6,1679524011.330733,bulevardionline,0.397805,8,8,5640,0,14177.80068123829514460602557,20.11035557622453212000854690,705.0
173.231.244.176:443 => 192.168.0.123:63423,173.231.244.176,443,192.168.0.123,63423,6,1679524011.334814,bulevardionline,0.400764,8,8,5640,0,14073.12034015031290235649909,19.96187282290824525156950225,705.0
173.231.244.176:443 => 192.168.0.123:63422,173.231.244.176,443,192.168.0.123,63422,6,1679524011.336380,bulevardionline,0.399201,8,8,5640,0,14128.22112169057692741250648,20.04002995984478996796100210,705.0
173.231.244.176:443 => 192.168.0.123:63425,173.231.244.176,443,192.168.0.123,63425,6,1679524011.345453,bulevardionline,0.390129,8,8,5640,0,14456.75661127473220396330445,20.50603774648898184959333964,705.0
173.231.244.176:443 => 192.168.0.123:63424,173.231.244.176,443,192.168.0.123,63424,6,1679524011.345462,bulevardionline,0.391255,8,8,5640,0,14415.15124407355816539085762,20.44702304123908959629908883,705.0
