FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52049 => 173.231.244.176:443,192.168.0.123,52049,173.231.244.176,443,6,1679524729.507096,bulevardionline,3.717731,76,76,7347,0,1976.205379033609478469528860,20.44257639942212064294054626,96.67105263157895
192.168.0.123:52050 => 173.231.244.176:443,192.168.0.123,52050,173.231.244.176,443,6,1679524729.507506,bulevardionline,3.738522,13,13,1662,0,444.5607114255312660992766660,3.477310017167212069368590047,127.84615384615384
173.231.244.176:443 => 192.168.0.123:52049,173.231.244.176,443,192.168.0.123,52049,6,1679524729.616326,bulevardionline,3.608438,212,212,295576,0,81912.45076124350757862543294,58.75118264467894418582223111,1394.2264150943397
173.231.244.176:443 => 192.168.0.123:52050,173.231.244.176,443,192.168.0.123,52050,6,1679524729.619985,bulevardionline,3.625873,10,10,6573,0,1812.804805904674543206560186,2.757956497648979983579127013,657.3
192.168.0.123:52059 => 173.231.244.176:443,192.168.0.123,52059,173.231.244.176,443,6,1679524730.566501,bulevardionline,0.510943,10,10,1412,0,2763.517652654014244250337122,19.57165476383862779214119775,141.2
192.168.0.123:52060 => 173.231.244.176:443,192.168.0.123,52060,173.231.244.176,443,6,1679524730.566546,bulevardionline,2.658300,100,100,7739,0,2911.259075348907196328480608,37.61802655832675017868562615,77.39
192.168.0.123:52061 => 173.231.244.176:443,192.168.0.123,52061,173.231.244.176,443,6,1679524730.566580,bulevardionline,0.510841,10,10,1412,0,2764.069446266059302209493756,19.57556265060948514312672632,141.2
192.168.0.123:52062 => 173.231.244.176:443,192.168.0.123,52062,173.231.244.176,443,6,1679524730.566611,bulevardionline,0.510850,10,10,1412,0,2764.020749730840755603406088,19.57521777429773906234706861,141.2
192.168.0.123:52063 => 173.231.244.176:443,192.168.0.123,52063,173.231.244.176,443,6,1679524730.566639,bulevardionline,0.504724,10,10,1412,0,2797.568572130510932707776924,19.81280858449370348943184790,141.2
192.168.0.123:52064 => 173.231.244.176:443,192.168.0.123,52064,173.231.244.176,443,6,1679524730.566683,bulevardionline,0.511937,10,10,1412,0,2758.151881969851759103170898,19.53365355502727874718959559,141.2
173.231.244.176:443 => 192.168.0.123:52063,173.231.244.176,443,192.168.0.123,52063,6,1679524730.669843,bulevardionline,0.401434,8,8,5640,0,14049.63206903251842145906924,19.92855612628726017228236771,705.0
173.231.244.176:443 => 192.168.0.123:52060,173.231.244.176,443,192.168.0.123,52060,6,1679524730.669851,bulevardionline,2.554922,721,721,1037723,0,406166.2156418082430696514414,282.2003959416373572265611240,1439.2829403606102
173.231.244.176:443 => 192.168.0.123:52059,173.231.244.176,443,192.168.0.123,52059,6,1679524730.680050,bulevardionline,0.397340,8,8,5640,0,14194.39271153168570997130921,20.13389037096693008506568682,705.0
173.231.244.176:443 => 192.168.0.123:52064,173.231.244.176,443,192.168.0.123,52064,6,1679524730.681970,bulevardionline,0.396620,8,8,5640,0,14220.16035499974786949725178,20.17044021985779839645000252,705.0
173.231.244.176:443 => 192.168.0.123:52061,173.231.244.176,443,192.168.0.123,52061,6,1679524730.681982,bulevardionline,0.395402,8,8,5640,0,14263.96426927531980111380317,20.23257343159619829945220307,705.0
173.231.244.176:443 => 192.168.0.123:52062,173.231.244.176,443,192.168.0.123,52062,6,1679524730.681982,bulevardionline,0.395409,8,8,5640,0,14263.71175162932558439489238,20.23221525053805047431899628,705.0
