FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63157 => 144.91.119.216:443,192.168.0.123,63157,144.91.119.216,443,6,1679523964.189660,gazetaolle,1.159161,81,81,17246,0,14878.00227923472235522071567,69.87812736970964344038489908,212.91358024691357
192.168.0.123:63158 => 144.91.119.216:443,192.168.0.123,63158,144.91.119.216,443,6,1679523964.189835,gazetaolle,1.159024,97,97,16839,0,14528.60337663413354684631207,83.69110561990088212150913182,173.5979381443299
144.91.119.216:443 => 192.168.0.123:63157,144.91.119.216,443,192.168.0.123,63157,6,1679523964.224899,gazetaolle,1.123701,161,161,211911,0,188583.0839342494133225831427,143.2765477649303506893737747,1316.2173913043478
144.91.119.216:443 => 192.168.0.123:63158,144.91.119.216,443,192.168.0.123,63158,6,1679523964.233103,gazetaolle,1.116979,227,227,309834,0,277385.6983882418559346236590,203.2267392672556959441493529,1364.907488986784
192.168.0.123:63160 => 144.91.119.216:443,192.168.0.123,63160,144.91.119.216,443,6,1679523964.324306,gazetaolle,1.025824,93,93,14745,0,14373.81071216894905948778738,90.65882646535858002932276882,158.5483870967742
192.168.0.123:63161 => 144.91.119.216:443,192.168.0.123,63161,144.91.119.216,443,6,1679523964.325192,gazetaolle,1.009758,93,93,13962,0,13827.07539826374240164475052,92.10127575121959915147985953,150.1290322580645
192.168.0.123:63162 => 144.91.119.216:443,192.168.0.123,63162,144.91.119.216,443,6,1679523964.325672,gazetaolle,1.024469,79,79,14217,0,13877.43308972745881036907901,77.11311908901099008364333133,179.9620253164557
192.168.0.123:63163 => 144.91.119.216:443,192.168.0.123,63163,144.91.119.216,443,6,1679523964.325820,gazetaolle,1.022971,110,110,14849,0,14515.56300227474679145352117,107.5299299784646876597674812,134.9909090909091
144.91.119.216:443 => 192.168.0.123:63160,144.91.119.216,443,192.168.0.123,63160,6,1679523964.368415,gazetaolle,0.981666,407,407,571932,0,582613.6384472926636962062453,414.6013002385740160095185124,1405.2383292383292
144.91.119.216:443 => 192.168.0.123:63161,144.91.119.216,443,192.168.0.123,63161,6,1679523964.368419,gazetaolle,0.966478,328,328,457866,0,473746.9450934216816109626913,339.3765817742359370828927301,1395.9329268292684
144.91.119.216:443 => 192.168.0.123:63162,144.91.119.216,443,192.168.0.123,63162,6,1679523964.368419,gazetaolle,0.981663,330,330,461398,0,470016.6961574389581760746814,336.1642437374129411009684586,1398.1757575757576
144.91.119.216:443 => 192.168.0.123:63163,144.91.119.216,443,192.168.0.123,63163,6,1679523964.369640,gazetaolle,0.978960,661,661,941850,0,962092.4246138759499877420937,675.2063414235515240663561330,1424.8865355521937
