FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51793 => 144.91.119.216:443,192.168.0.123,51793,144.91.119.216,443,6,1679524683.914881,gazetaolle,1.850919,104,104,17771,0,9601.176496648421675935035515,56.18830429640627169530379233,170.875
192.168.0.123:51794 => 144.91.119.216:443,192.168.0.123,51794,144.91.119.216,443,6,1679524683.915080,gazetaolle,1.850744,86,86,14946,0,8075.671189532425878457528432,46.46779889601154994964187375,173.7906976744186
144.91.119.216:443 => 192.168.0.123:51794,144.91.119.216,443,192.168.0.123,51794,6,1679524683.953804,gazetaolle,1.811793,300,300,420371,0,232019.3311266794827002864014,165.5818297123346872407609479,1401.2366666666667
144.91.119.216:443 => 192.168.0.123:51793,144.91.119.216,443,192.168.0.123,51793,6,1679524683.953813,gazetaolle,1.811775,407,407,568199,0,313614.5492679830552910819500,224.6415807702391301348125457,1396.066339066339
192.168.0.123:51795 => 144.91.119.216:443,192.168.0.123,51795,144.91.119.216,443,6,1679524684.774321,gazetaolle,0.991492,74,74,13390,0,13504.89968653302295933804811,74.63499453349094092539324573,180.94594594594594
192.168.0.123:51796 => 144.91.119.216:443,192.168.0.123,51796,144.91.119.216,443,6,1679524684.774870,gazetaolle,0.993270,84,84,13019,0,13107.21153362127115487229052,84.56915038207134011900087589,154.98809523809524
192.168.0.123:51797 => 144.91.119.216:443,192.168.0.123,51797,144.91.119.216,443,6,1679524684.775274,gazetaolle,0.993576,91,91,14668,0,14762.83646142821485221060090,91.58836364807523531164198813,161.1868131868132
192.168.0.123:51798 => 144.91.119.216:443,192.168.0.123,51798,144.91.119.216,443,6,1679524684.775961,gazetaolle,0.992911,99,99,13368,0,13463.44234276788151203884336,99.70682165873879934858209850,135.03030303030303
144.91.119.216:443 => 192.168.0.123:51797,144.91.119.216,443,192.168.0.123,51797,6,1679524684.811885,gazetaolle,0.956924,297,297,412975,0,431565.0981687155928788493130,310.3694755278371114111465487,1390.4882154882155
144.91.119.216:443 => 192.168.0.123:51796,144.91.119.216,443,192.168.0.123,51796,6,1679524684.813088,gazetaolle,0.955006,469,469,664842,0,696165.2596947034887738925200,491.0963910174386338933996226,1417.5735607675906
144.91.119.216:443 => 192.168.0.123:51795,144.91.119.216,443,192.168.0.123,51795,6,1679524684.817184,gazetaolle,0.948412,173,173,236327,0,249181.7901924480078278216640,182.4101761681632033335723293,1366.0520231213873
144.91.119.216:443 => 192.168.0.123:51798,144.91.119.216,443,192.168.0.123,51798,6,1679524684.827767,gazetaolle,0.941046,382,382,539701,0,573511.8155754341445582893929,405.9312722226118595690327572,1412.8298429319373
