FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56890 => 144.91.119.216:443,192.168.0.123,56890,144.91.119.216,443,6,1679525431.954717,gazetaolle,1.114196,110,110,18930,0,16989.82943754958732574879106,98.72589741840753332447791950,172.0909090909091
192.168.0.123:56891 => 144.91.119.216:443,192.168.0.123,56891,144.91.119.216,443,6,1679525431.955064,gazetaolle,1.126720,82,82,15427,0,13691.95541039477421187162738,72.77761999431979551263845498,188.1341463414634
144.91.119.216:443 => 192.168.0.123:56890,144.91.119.216,443,192.168.0.123,56890,6,1679525431.984851,gazetaolle,1.084010,376,376,525566,0,484835.0107471333290283299970,346.8602688167083329489580354,1397.781914893617
144.91.119.216:443 => 192.168.0.123:56891,144.91.119.216,443,192.168.0.123,56891,6,1679525431.994880,gazetaolle,1.086792,234,234,319169,0,293679.9313944158587843856046,215.3125897135790473246030519,1363.9700854700855
192.168.0.123:56893 => 144.91.119.216:443,192.168.0.123,56893,144.91.119.216,443,6,1679525432.092903,gazetaolle,0.988851,75,75,14680,0,14845.51262020263922471636273,75.84560262365108595733836544,195.73333333333332
192.168.0.123:56894 => 144.91.119.216:443,192.168.0.123,56894,144.91.119.216,443,6,1679525432.092982,gazetaolle,0.988790,115,115,14640,0,14805.97497952042395250761031,116.3037652079814723045338242,127.30434782608695
192.168.0.123:56895 => 144.91.119.216:443,192.168.0.123,56895,144.91.119.216,443,6,1679525432.093211,gazetaolle,0.988585,83,83,12900,0,13048.95380771506749546068370,83.95838496436826373048346880,155.42168674698794
192.168.0.123:56896 => 144.91.119.216:443,192.168.0.123,56896,144.91.119.216,443,6,1679525432.093415,gazetaolle,0.986088,93,93,15015,0,15226.83573879816000194708789,94.31206951103755445761433057,161.4516129032258
144.91.119.216:443 => 192.168.0.123:56893,144.91.119.216,443,192.168.0.123,56893,6,1679525432.131907,gazetaolle,0.949756,152,152,203271,0,214024.4441730297044714642498,160.0411052944124596212079734,1337.3092105263158
144.91.119.216:443 => 192.168.0.123:56894,144.91.119.216,443,192.168.0.123,56894,6,1679525432.133273,gazetaolle,0.948399,668,668,953994,0,1005899.415752230864857512503,704.3449012493686728897858391,1428.1347305389222
144.91.119.216:443 => 192.168.0.123:56895,144.91.119.216,443,192.168.0.123,56895,6,1679525432.133939,gazetaolle,0.947734,356,356,498142,0,525613.7270584362278867277105,375.6328252442140938280150338,1399.2752808988764
144.91.119.216:443 => 192.168.0.123:56896,144.91.119.216,443,192.168.0.123,56896,6,1679525432.144434,gazetaolle,0.934957,322,322,447617,0,478756.7770496397160511125111,344.4008654943489379725484701,1390.1149068322982
