FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61953 => 144.91.119.216:443,192.168.0.123,61953,144.91.119.216,443,6,1679526304.464458,gazetaolle,1.145692,94,94,14422,0,12588.02540298788854247040217,82.04648369718912238193161862,153.4255319148936
192.168.0.123:61954 => 144.91.119.216:443,192.168.0.123,61954,144.91.119.216,443,6,1679526304.464660,gazetaolle,1.145516,91,91,16318,0,14245.10875448269600773799755,79.44018241561008314157113475,179.3186813186813
144.91.119.216:443 => 192.168.0.123:61953,144.91.119.216,443,192.168.0.123,61953,6,1679526304.499899,gazetaolle,1.110177,298,298,416682,0,375329.3393756130779146028066,268.4256654569496575771250891,1398.2617449664428
144.91.119.216:443 => 192.168.0.123:61954,144.91.119.216,443,192.168.0.123,61954,6,1679526304.503999,gazetaolle,1.106082,236,236,321429,0,290601.4201478733041492402914,213.3657359942572069701884670,1361.9872881355932
192.168.0.123:61956 => 144.91.119.216:443,192.168.0.123,61956,144.91.119.216,443,6,1679526304.623137,gazetaolle,0.967767,103,103,13751,0,14208.99865360153838682244797,106.4305767813946952107273755,133.50485436893203
192.168.0.123:61957 => 144.91.119.216:443,192.168.0.123,61957,144.91.119.216,443,6,1679526304.623308,gazetaolle,0.968411,75,75,13031,0,13456.06359283403430981267251,77.44645610179975237786435718,173.74666666666667
192.168.0.123:61958 => 144.91.119.216:443,192.168.0.123,61958,144.91.119.216,443,6,1679526304.623475,gazetaolle,0.986714,101,101,12860,0,13033.15854442117979475308955,102.3599543535411476881852290,127.32673267326733
192.168.0.123:61959 => 144.91.119.216:443,192.168.0.123,61959,144.91.119.216,443,6,1679526304.623812,gazetaolle,0.986390,79,79,12488,0,12660.30677521061649043481787,80.09002524356491854134774278,158.0759493670886
144.91.119.216:443 => 192.168.0.123:61956,144.91.119.216,443,192.168.0.123,61956,6,1679526304.661802,gazetaolle,0.928985,662,662,948432,0,1020933.599573728316388316281,712.6056933104409651393725410,1432.6767371601209
144.91.119.216:443 => 192.168.0.123:61958,144.91.119.216,443,192.168.0.123,61958,6,1679526304.663195,gazetaolle,0.946886,506,506,720138,0,760532.9469439826969666887038,534.3832309274822945951254956,1423.197628458498
144.91.119.216:443 => 192.168.0.123:61957,144.91.119.216,443,192.168.0.123,61957,6,1679526304.663198,gazetaolle,0.928474,219,219,299248,0,322300.8937245415595913294287,235.8709021469637275788013450,1366.4292237442921
144.91.119.216:443 => 192.168.0.123:61959,144.91.119.216,443,192.168.0.123,61959,6,1679526304.677079,gazetaolle,0.933002,213,213,292916,0,313950.0236869803065802645653,228.2953305566333191139997556,1375.1924882629107
