FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63451 => 95.217.115.180:443,192.168.0.123,63451,95.217.115.180,443,6,1679524079.648329,kohajone,2.371064,167,167,30308,0,12782.44703643596292634867722,70.43251468539018769632536279,181.48502994011977
192.168.0.123:63452 => 95.217.115.180:443,192.168.0.123,63452,95.217.115.180,443,6,1679524079.648849,kohajone,2.369220,199,199,28724,0,12123.82134204506124378487435,83.99388828390778399642076295,144.34170854271358
95.217.115.180:443 => 192.168.0.123:63451,95.217.115.180,443,192.168.0.123,63451,6,1679524079.703617,kohajone,2.315646,569,569,804338,0,347349.2925948093966003439213,245.7197689111375400212294971,1413.5992970123023
95.217.115.180:443 => 192.168.0.123:63452,95.217.115.180,443,192.168.0.123,63452,6,1679524079.711580,kohajone,2.306424,1226,1226,1763043,0,764405.4172173026295251870428,531.5588113894062843605512256,1438.0448613376834
192.168.0.123:63454 => 95.217.115.180:443,192.168.0.123,63454,95.217.115.180,443,6,1679524079.888802,kohajone,2.128251,213,213,25035,0,11763.18018880291845275768695,100.0821801563819305147748080,117.53521126760563
192.168.0.123:63455 => 95.217.115.180:443,192.168.0.123,63455,95.217.115.180,443,6,1679524079.889099,kohajone,2.127896,177,177,28380,0,13337.11797945012350227642704,83.18075695428723960193543293,160.33898305084745
192.168.0.123:63456 => 95.217.115.180:443,192.168.0.123,63456,95.217.115.180,443,6,1679524079.889173,kohajone,2.123674,174,174,27109,0,12765.14191914578226224929062,81.93347943234225215357912749,155.79885057471265
192.168.0.123:63457 => 95.217.115.180:443,192.168.0.123,63457,95.217.115.180,443,6,1679524079.889938,kohajone,2.129423,151,151,25405,0,11930.46191386117272143674601,70.91122806506739149525481785,168.24503311258277
95.217.115.180:443 => 192.168.0.123:63455,95.217.115.180,443,192.168.0.123,63455,6,1679524079.956201,kohajone,2.060669,890,890,1274215,0,618350.1571576997567294893066,431.8985727450648308874448055,1431.7022471910113
95.217.115.180:443 => 192.168.0.123:63454,95.217.115.180,443,192.168.0.123,63454,6,1679524079.956202,kohajone,2.060674,1616,1616,2333415,0,1132355.239111086955044805729,784.2094382711675888568497492,1443.9449257425742
95.217.115.180:443 => 192.168.0.123:63457,95.217.115.180,443,192.168.0.123,63457,6,1679524079.956202,kohajone,2.063055,807,807,1149841,0,557348.6892012088868207585353,391.1674676632469808124359263,1424.8339529120199
95.217.115.180:443 => 192.168.0.123:63456,95.217.115.180,443,192.168.0.123,63456,6,1679524079.956203,kohajone,2.056571,928,928,1329939,0,646677.8924724699511954607937,451.2365486044488617217689056,1433.123922413793
192.168.0.123:63463 => 95.217.115.180:443,192.168.0.123,63463,95.217.115.180,443,6,1679524080.281185,kohajone,0.242047,11,11,1848,0,7634.880828929918569534016121,45.44571921982094386627390548,168.0
95.217.115.180:443 => 192.168.0.123:63463,95.217.115.180,443,192.168.0.123,63463,6,1679524080.342682,kohajone,0.180481,11,11,6119,0,33903.84583418753220560613029,60.94824385946443115895856073,556.2727272727273
