FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57919 => 95.217.115.180:443,192.168.0.123,57919,95.217.115.180,443,6,1679523248.595692,kohajone,2.307357,184,184,26883,0,11650.99288926681046756093660,79.74492027024860045497944185,146.10326086956522
192.168.0.123:57920 => 95.217.115.180:443,192.168.0.123,57920,95.217.115.180,443,6,1679523248.597468,kohajone,2.304367,194,194,29441,0,12776.17671143528786864245148,84.18797873776182352897780605,151.7577319587629
95.217.115.180:443 => 192.168.0.123:57919,95.217.115.180,443,192.168.0.123,57919,6,1679523248.647137,kohajone,2.255835,1198,1198,1722553,0,763598.8447736647405506165123,531.0672101461321417568217534,1437.857262103506
95.217.115.180:443 => 192.168.0.123:57920,95.217.115.180,443,192.168.0.123,57920,6,1679523248.653498,kohajone,2.248163,1071,1071,1536997,0,683667.9546812219576605432969,476.3889451076278721783073558,1435.1045751633987
192.168.0.123:57924 => 95.217.115.180:443,192.168.0.123,57924,95.217.115.180,443,6,1679523248.822979,kohajone,2.078838,159,159,27296,0,13130.41227839783571399021954,76.48503635203897562003388431,171.67295597484278
192.168.0.123:57925 => 95.217.115.180:443,192.168.0.123,57925,95.217.115.180,443,6,1679523248.823100,kohajone,2.078664,147,147,25344,0,12192.44668691043862788791262,70.71849995958942859452032652,172.40816326530611
192.168.0.123:57926 => 95.217.115.180:443,192.168.0.123,57926,95.217.115.180,443,6,1679523248.823446,kohajone,2.067553,162,162,27288,0,13198.21063837299454959558473,78.35349323572358241844344498,168.44444444444446
192.168.0.123:57927 => 95.217.115.180:443,192.168.0.123,57927,95.217.115.180,443,6,1679523248.823914,kohajone,2.077884,198,198,26682,0,12840.94781036862500505321760,95.28924617543616486772120099,134.75757575757575
95.217.115.180:443 => 192.168.0.123:57924,95.217.115.180,443,192.168.0.123,57924,6,1679523248.883889,kohajone,2.017772,983,983,1406237,0,696925.6189500102092803349437,487.1709985072644481140584764,1430.5564598168871
95.217.115.180:443 => 192.168.0.123:57926,95.217.115.180,443,192.168.0.123,57926,6,1679523248.883904,kohajone,2.007029,1035,1035,1477111,0,735968.9371703149281848941894,515.6876158740107890817721119,1427.16038647343
95.217.115.180:443 => 192.168.0.123:57925,95.217.115.180,443,192.168.0.123,57925,6,1679523248.883916,kohajone,2.017739,850,850,1207579,0,598481.2703724317168870701315,421.2636024778229493507336677,1420.6811764705883
95.217.115.180:443 => 192.168.0.123:57927,95.217.115.180,443,192.168.0.123,57927,6,1679523248.894490,kohajone,2.007170,944,944,1352995,0,674080.9199021507894199295526,470.3139245803793400658638780,1433.2574152542372
192.168.0.123:57934 => 95.217.115.180:443,192.168.0.123,57934,95.217.115.180,443,6,1679523249.187785,kohajone,0.235976,11,11,1848,0,7831.304878462216496592873852,46.61490999084652676543377293,168.0
95.217.115.180:443 => 192.168.0.123:57934,95.217.115.180,443,192.168.0.123,57934,6,1679523249.247793,kohajone,0.175835,11,11,6119,0,34799.67014530667955753973896,62.55864873318736315295589615,556.2727272727273
