FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52091 => 95.217.115.180:443,192.168.0.123,52091,95.217.115.180,443,6,1679524761.410648,kohajone,2.369115,131,131,26993,0,11393.70608856049621905226213,55.29490970256825861133798908,206.05343511450383
192.168.0.123:52092 => 95.217.115.180:443,192.168.0.123,52092,95.217.115.180,443,6,1679524761.410806,kohajone,2.364990,201,201,30718,0,12988.63842976080237125738375,84.98978854033209442746058123,152.82587064676616
95.217.115.180:443 => 192.168.0.123:52092,95.217.115.180,443,192.168.0.123,52092,6,1679524761.481058,kohajone,2.294667,1280,1280,1842843,0,803098.2273244876053911090367,557.8151426764754973161683155,1439.72109375
95.217.115.180:443 => 192.168.0.123:52091,95.217.115.180,443,192.168.0.123,52091,6,1679524761.481063,kohajone,2.298573,597,597,845960,0,368037.0386322296485689164538,259.7263606594178214048455281,1417.0184254606365
192.168.0.123:52094 => 95.217.115.180:443,192.168.0.123,52094,95.217.115.180,443,6,1679524761.657836,kohajone,2.121873,140,140,25001,0,11782.51478764280425831329208,65.97944363305438167128758413,178.57857142857142
192.168.0.123:52095 => 95.217.115.180:443,192.168.0.123,52095,95.217.115.180,443,6,1679524761.658203,kohajone,2.131833,171,171,27321,0,12815.73181388973714169918563,80.21266206124025662422900856,159.7719298245614
192.168.0.123:52096 => 95.217.115.180:443,192.168.0.123,52096,95.217.115.180,443,6,1679524761.658682,kohajone,2.121067,175,175,24846,0,11713.91568488878474843086051,82.50564456474029344664737135,141.97714285714287
192.168.0.123:52097 => 95.217.115.180:443,192.168.0.123,52097,95.217.115.180,443,6,1679524761.659564,kohajone,2.120222,169,169,26041,0,12282.20441067020340322852984,79.70863428452303579530822716,154.0887573964497
95.217.115.180:443 => 192.168.0.123:52096,95.217.115.180,443,192.168.0.123,52096,6,1679524761.722261,kohajone,2.057375,1369,1369,1974394,0,959666.5654049456224557992588,665.4110213257184519108086761,1442.2162162162163
95.217.115.180:443 => 192.168.0.123:52097,95.217.115.180,443,192.168.0.123,52097,6,1679524761.722273,kohajone,2.057363,1129,1129,1622584,0,788671.7122841229282338605292,548.7607194257892263057127012,1437.1868910540302
95.217.115.180:443 => 192.168.0.123:52095,95.217.115.180,443,192.168.0.123,52095,6,1679524761.722274,kohajone,2.067637,819,819,1168479,0,565127.7279329011813969279907,396.1043452017931580833579589,1426.7142857142858
95.217.115.180:443 => 192.168.0.123:52094,95.217.115.180,443,192.168.0.123,52094,6,1679524761.722275,kohajone,2.057357,873,873,1244724,0,605011.1866827196252279016233,424.3308283394666069136275328,1425.8006872852234
192.168.0.123:52103 => 95.217.115.180:443,192.168.0.123,52103,95.217.115.180,443,6,1679524762.038788,kohajone,0.246586,11,11,1848,0,7494.342744519153561029417729,44.60918300309019976803224838,168.0
95.217.115.180:443 => 192.168.0.123:52103,95.217.115.180,443,192.168.0.123,52103,6,1679524762.102426,kohajone,0.182794,11,11,6119,0,33474.84053087081632876352616,60.17702988063065527314900927,556.2727272727273
