FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60897 => 5.9.72.90:443,192.168.0.123,60897,5.9.72.90,443,6,1679526136.220116,rtv21,4.024403,47,47,5425,0,1348.026030196280044518404345,11.67875086068666582347742013,115.42553191489361
192.168.0.123:60898 => 5.9.72.90:443,192.168.0.123,60898,5.9.72.90,443,6,1679526136.220655,rtv21,3.655208,21,21,2362,0,646.2012558519241586251726304,5.745227084204236804034134309,112.47619047619048
5.9.72.90:443 => 192.168.0.123:60897,5.9.72.90,443,192.168.0.123,60897,6,1679526136.261805,rtv21,3.982541,119,119,165325,0,41512.44142872603194794479203,29.88042056566398186484458038,1389.2857142857142
5.9.72.90:443 => 192.168.0.123:60898,5.9.72.90,443,192.168.0.123,60898,6,1679526136.265965,rtv21,3.609856,55,55,59570,0,16502.04329480178710729735480,15.23606481809800723352953691,1083.090909090909
192.168.0.123:60900 => 5.9.72.90:443,192.168.0.123,60900,5.9.72.90,443,6,1679526139.893587,rtv21,0.344974,22,22,3563,0,10328.31459762184976259080394,63.77292201731144955851745349,161.95454545454547
192.168.0.123:60901 => 5.9.72.90:443,192.168.0.123,60901,5.9.72.90,443,6,1679526139.894326,rtv21,0.508120,38,38,5074,0,9985.830118869558372038101236,74.78548374399748091002125482,133.52631578947367
192.168.0.123:60902 => 5.9.72.90:443,192.168.0.123,60902,5.9.72.90,443,6,1679526139.894684,rtv21,0.503424,42,42,5319,0,10565.64645308924485125858124,83.42868039664378337147215866,126.64285714285714
192.168.0.123:60903 => 5.9.72.90:443,192.168.0.123,60903,5.9.72.90,443,6,1679526139.894761,rtv21,0.446838,33,33,4793,0,10726.48252834360551251236466,73.85226860741476776818444268,145.24242424242425
5.9.72.90:443 => 192.168.0.123:60903,5.9.72.90,443,192.168.0.123,60903,6,1679526139.948967,rtv21,0.392553,131,131,183772,0,468145.7026184999223034851345,333.7128999141517196404052446,1402.8396946564885
5.9.72.90:443 => 192.168.0.123:60902,5.9.72.90,443,192.168.0.123,60902,6,1679526139.948983,rtv21,0.448932,178,178,249080,0,554827.9026667735870911407518,396.4965740913991428545971328,1399.3258426966293
5.9.72.90:443 => 192.168.0.123:60900,5.9.72.90,443,192.168.0.123,60900,6,1679526139.950617,rtv21,0.287834,45,45,56718,0,197051.0780519327112154922629,156.3401127038501358421868160,1260.4
5.9.72.90:443 => 192.168.0.123:60901,5.9.72.90,443,192.168.0.123,60901,6,1679526139.950623,rtv21,0.451692,83,83,111374,0,246570.6720508665196638417329,183.7535311672555635255882327,1341.855421686747
