FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62107 => 5.9.72.90:443,192.168.0.123,62107,5.9.72.90,443,6,1679523796.739712,rtv21,2.097932,93,93,6082,0,2899.045345607007281456214977,44.32936815873917743759092287,65.39784946236558
192.168.0.123:62108 => 5.9.72.90:443,192.168.0.123,62108,5.9.72.90,443,6,1679523796.739932,rtv21,2.097647,59,59,7190,0,3427.650124162931131882533143,28.12675345279734864827113428,121.86440677966101
5.9.72.90:443 => 192.168.0.123:62107,5.9.72.90,443,192.168.0.123,62107,6,1679523796.779094,rtv21,2.058355,604,604,355764,0,172838.9903588059396945619196,293.4382067233300378214642275,589.0132450331126
5.9.72.90:443 => 192.168.0.123:62108,5.9.72.90,443,192.168.0.123,62108,6,1679523796.787782,rtv21,2.049668,161,161,221908,0,108265.3385816629815170066567,78.54930652183670721307060461,1378.3105590062112
192.168.0.123:62110 => 5.9.72.90:443,192.168.0.123,62110,5.9.72.90,443,6,1679523797.512269,rtv21,1.417343,56,56,7219,0,5093.333088744220700282147652,39.51054896380057614846935428,128.91071428571428
192.168.0.123:62111 => 5.9.72.90:443,192.168.0.123,62111,5.9.72.90,443,6,1679523797.513046,rtv21,1.324581,19,19,2842,0,2145.584150761637076177296821,14.34415864337477285269832498,149.57894736842104
192.168.0.123:62112 => 5.9.72.90:443,192.168.0.123,62112,5.9.72.90,443,6,1679523797.513198,rtv21,1.317084,62,62,8750,0,6643.463894482052777195683798,47.07368702375854539270084520,141.1290322580645
192.168.0.123:62113 => 5.9.72.90:443,192.168.0.123,62113,5.9.72.90,443,6,1679523797.513416,rtv21,1.315974,49,49,5514,0,4190.052387053239653670969183,37.23477819470597443414535546,112.53061224489795
5.9.72.90:443 => 192.168.0.123:62110,5.9.72.90,443,192.168.0.123,62110,6,1679523797.561896,rtv21,1.367565,182,182,246870,0,180517.9278498645402595123449,133.0832538124330470580923027,1356.4285714285713
5.9.72.90:443 => 192.168.0.123:62111,5.9.72.90,443,192.168.0.123,62111,6,1679523797.561901,rtv21,1.275548,43,43,53034,0,41577.42397777269063963096646,33.71100107561612734291457476,1233.3488372093022
5.9.72.90:443 => 192.168.0.123:62113,5.9.72.90,443,192.168.0.123,62113,6,1679523797.561901,rtv21,1.267457,144,144,198091,0,156290.1147731244531372661952,113.6133217931653697127397616,1375.6319444444443
5.9.72.90:443 => 192.168.0.123:62112,5.9.72.90,443,192.168.0.123,62112,6,1679523797.564413,rtv21,1.273036,282,282,396995,0,311848.9972003933902890413154,221.5176947077694582085659793,1407.7836879432625
