FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50737 => 5.9.72.90:443,192.168.0.123,50737,5.9.72.90,443,6,1679524512.604625,rtv21,1.998161,91,91,5978,0,2991.750914966311523445808421,45.54187575475649860046312584,65.6923076923077
192.168.0.123:50738 => 5.9.72.90:443,192.168.0.123,50738,5.9.72.90,443,6,1679524512.605054,rtv21,2.013857,59,59,8404,0,4173.086768325655694520514614,29.29701562722675939751432202,142.4406779661017
5.9.72.90:443 => 192.168.0.123:50737,5.9.72.90,443,192.168.0.123,50737,6,1679524512.649815,rtv21,1.952813,630,630,357472,0,183054.9059228917464191399791,322.6115352570881082827695227,567.415873015873
5.9.72.90:443 => 192.168.0.123:50738,5.9.72.90,443,192.168.0.123,50738,6,1679524512.658055,rtv21,1.960759,156,156,211257,0,107742.4609551709312567225243,79.56102713286028522628227130,1354.2115384615386
192.168.0.123:50740 => 5.9.72.90:443,192.168.0.123,50740,5.9.72.90,443,6,1679524513.287710,rtv21,1.312066,56,56,7220,0,5502.771964215214783402664195,42.68077977784654125630875276,128.92857142857142
192.168.0.123:50741 => 5.9.72.90:443,192.168.0.123,50741,5.9.72.90,443,6,1679524513.288319,rtv21,1.318316,19,19,2854,0,2164.883078108738724251241736,14.41232602805397188534463664,150.21052631578948
192.168.0.123:50742 => 5.9.72.90:443,192.168.0.123,50742,5.9.72.90,443,6,1679524513.288620,rtv21,1.315585,66,66,8955,0,6806.857785699897764112543089,50.16779607551013427486631423,135.6818181818182
192.168.0.123:50743 => 5.9.72.90:443,192.168.0.123,50743,5.9.72.90,443,6,1679524513.288705,rtv21,1.317955,44,44,4042,0,3066.872541171739551046887033,33.38505487668395354924864658,91.86363636363636
5.9.72.90:443 => 192.168.0.123:50740,5.9.72.90,443,192.168.0.123,50740,6,1679524513.328294,rtv21,1.274333,208,208,287942,0,225955.0682592383623432807594,163.2226427472254112543581623,1384.3365384615386
5.9.72.90:443 => 192.168.0.123:50741,5.9.72.90,443,192.168.0.123,50741,6,1679524513.328302,rtv21,1.278272,41,41,48310,0,37793.20833124718369799228959,32.07455064336854753917789015,1178.2926829268292
5.9.72.90:443 => 192.168.0.123:50742,5.9.72.90,443,192.168.0.123,50742,6,1679524513.335063,rtv21,1.269050,277,277,390675,0,307848.3905283479768330641031,218.2735116819668255781884087,1410.379061371841
5.9.72.90:443 => 192.168.0.123:50743,5.9.72.90,443,192.168.0.123,50743,6,1679524513.335066,rtv21,1.271514,129,129,178662,0,140511.2330654636913160216875,101.4538573700328899249241455,1384.9767441860465
