FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55177 => 138.201.56.69:443,192.168.0.123,55177,138.201.56.69,443,6,1679525074.588012,telesport,2.001582,57,57,6788,0,3391.317467882904622443647075,28.47747431781460864456215134,119.08771929824562
192.168.0.123:55178 => 138.201.56.69:443,192.168.0.123,55178,138.201.56.69,443,6,1679525074.588602,telesport,1.998158,61,61,6872,0,3439.167473242856670993985461,30.52811639519997918082554032,112.65573770491804
138.201.56.69:443 => 192.168.0.123:55177,138.201.56.69,443,192.168.0.123,55177,6,1679525074.623914,telesport,1.965542,271,271,386242,0,196506.6124254785702874830454,137.8754562354811039397784428,1425.2472324723246
138.201.56.69:443 => 192.168.0.123:55178,138.201.56.69,443,192.168.0.123,55178,6,1679525074.629050,telesport,1.957659,284,284,403017,0,205866.8031562187285936927728,145.0712304849823181667491632,1419.0739436619717
192.168.0.123:55180 => 138.201.56.69:443,192.168.0.123,55180,138.201.56.69,443,6,1679525075.267584,telesport,1.321965,65,65,6549,0,4953.988948270188696372445564,49.16922913995453737428751896,100.75384615384615
192.168.0.123:55181 => 138.201.56.69:443,192.168.0.123,55181,138.201.56.69,443,6,1679525075.268165,telesport,1.317833,49,49,6370,0,4833.692888249118059723804154,37.18225298653167738249080119,130.0
192.168.0.123:55182 => 138.201.56.69:443,192.168.0.123,55182,138.201.56.69,443,6,1679525075.268250,telesport,1.312876,31,31,6098,0,4644.764623620204802281403575,23.61228326209025071674704999,196.70967741935485
138.201.56.69:443 => 192.168.0.123:55181,138.201.56.69,443,192.168.0.123,55181,6,1679525075.311984,telesport,1.273938,159,159,222718,0,174826.4044247051269371036895,124.8098416092462898508404648,1400.74213836478
138.201.56.69:443 => 192.168.0.123:55180,138.201.56.69,443,192.168.0.123,55180,6,1679525075.315087,telesport,1.274364,518,518,745091,0,584676.7485584966304760649234,406.4772702304835980928525916,1438.399613899614
138.201.56.69:443 => 192.168.0.123:55182,138.201.56.69,443,192.168.0.123,55182,6,1679525075.324596,telesport,1.256387,56,56,69468,0,55291.88060685123294016891292,44.57225361293932522383628611,1240.5
192.168.0.123:55190 => 138.201.56.69:443,192.168.0.123,55190,138.201.56.69,443,6,1679525075.514363,telesport,1.073555,8,8,1121,0,1044.194289067630442781226858,7.451877174434472383808933869,140.125
138.201.56.69:443 => 192.168.0.123:55190,138.201.56.69,443,192.168.0.123,55190,6,1679525075.566085,telesport,1.021766,5,5,815,0,797.6385982700540045372423823,4.893488332945116592253020750,163.0
