FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61399 => 138.201.56.69:443,192.168.0.123,61399,138.201.56.69,443,6,1679523572.971695,telesport,2.250772,53,53,6583,0,2924.774255233315502414282744,23.54747615484820319428178421,124.20754716981132
192.168.0.123:61400 => 138.201.56.69:443,192.168.0.123,61400,138.201.56.69,443,6,1679523572.971895,telesport,2.252098,59,59,6783,0,3011.858276149616934964641858,26.19779423453153459574139314,114.96610169491525
138.201.56.69:443 => 192.168.0.123:61399,138.201.56.69,443,192.168.0.123,61399,6,1679523573.009271,telesport,2.212950,293,293,416006,0,187987.0760749226146094579634,132.4024492193678121963894349,1419.8156996587031
138.201.56.69:443 => 192.168.0.123:61400,138.201.56.69,443,192.168.0.123,61400,6,1679523573.019224,telesport,2.204663,320,320,455883,0,206781.2631681123146712218602,145.1469000024039955312898162,1424.634375
192.168.0.123:61401 => 138.201.56.69:443,192.168.0.123,61401,138.201.56.69,443,6,1679523573.629385,telesport,1.594584,66,66,6602,0,4140.264796335595992434390412,41.39010550714167456841408167,100.03030303030303
192.168.0.123:61402 => 138.201.56.69:443,192.168.0.123,61402,138.201.56.69,443,6,1679523573.629608,telesport,1.592892,49,49,6362,0,3993.993315303234619798454635,30.76165866863541282145933309,129.83673469387756
192.168.0.123:61403 => 138.201.56.69:443,192.168.0.123,61403,138.201.56.69,443,6,1679523573.629802,telesport,1.662714,43,43,6566,0,3948.965366262628449631145224,25.86133273671840136066695776,152.69767441860466
138.201.56.69:443 => 192.168.0.123:61402,138.201.56.69,443,192.168.0.123,61402,6,1679523573.680645,telesport,1.541576,139,139,192884,0,125121.3044313092575390379715,90.16746498388661992662054936,1387.6546762589928
138.201.56.69:443 => 192.168.0.123:61401,138.201.56.69,443,192.168.0.123,61401,6,1679523573.680652,telesport,1.543229,520,520,746297,0,483594.4632974108184851373322,336.9558244434234970960239861,1435.1865384615385
138.201.56.69:443 => 192.168.0.123:61403,138.201.56.69,443,192.168.0.123,61403,6,1679523573.683565,telesport,1.608866,67,67,87010,0,54081.57049748083432678669324,41.64423886140921618083793181,1298.6567164179105
192.168.0.123:61411 => 138.201.56.69:443,192.168.0.123,61411,138.201.56.69,443,6,1679523573.928296,telesport,1.294131,8,8,1121,0,866.2183349289986871499098623,6.181754397352354591613986528,140.125
138.201.56.69:443 => 192.168.0.123:61411,138.201.56.69,443,192.168.0.123,61411,6,1679523573.966324,telesport,1.255896,5,5,815,0,648.9390841279851197869887316,3.981221375018313618325084243,163.0
