FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60720 => 51.178.75.191:443,192.168.0.123,60720,51.178.75.191,443,6,1679526110.957780,balkanweb,1.662922,40,40,8261,0,4967.761566688034676310734959,24.05404462746899734323077090,206.525
192.168.0.123:60721 => 51.178.75.191:443,192.168.0.123,60721,51.178.75.191,443,6,1679526110.958040,balkanweb,1.665756,69,69,12003,0,7205.737214814174464927636461,41.42263332684979072565249652,173.95652173913044
51.178.75.191:443 => 192.168.0.123:60720,51.178.75.191,443,192.168.0.123,60720,6,1679526110.980246,balkanweb,1.640377,79,79,99496,0,60654.34957939546823687481597,48.15966085844900288165464402,1259.4430379746836
51.178.75.191:443 => 192.168.0.123:60721,51.178.75.191,443,192.168.0.123,60721,6,1679526110.990147,balkanweb,1.633402,279,279,389643,0,238546.9100686787453425427421,170.8091455746962474638821307,1396.5698924731182
192.168.0.123:60723 => 51.178.75.191:443,192.168.0.123,60723,51.178.75.191,443,6,1679526111.069565,balkanweb,1.549852,27,27,8577,0,5534.076802172078366192384821,17.42101826496981647279869304,317.6666666666667
192.168.0.123:60724 => 51.178.75.191:443,192.168.0.123,60724,51.178.75.191,443,6,1679526111.069698,balkanweb,1.543652,24,24,4407,0,2854.918077390499931331673201,15.54754569034989751576132444,183.625
192.168.0.123:60725 => 51.178.75.191:443,192.168.0.123,60725,51.178.75.191,443,6,1679526111.070184,balkanweb,1.553576,13,13,3487,0,2244.499142623212511006864164,8.367791469487170244648475517,268.2307692307692
192.168.0.123:60726 => 51.178.75.191:443,192.168.0.123,60726,51.178.75.191,443,6,1679526111.070339,balkanweb,1.551133,21,21,4325,0,2788.284434668078108066813097,13.53849089665425208541111562,205.95238095238096
51.178.75.191:443 => 192.168.0.123:60723,51.178.75.191,443,192.168.0.123,60723,6,1679526111.093056,balkanweb,1.526203,43,43,45204,0,29618.60250569550708523047065,28.17449579118898337901314570,1051.2558139534883
51.178.75.191:443 => 192.168.0.123:60726,51.178.75.191,443,192.168.0.123,60726,6,1679526111.111529,balkanweb,1.509844,38,38,47215,0,31271.44261261428332993342359,25.16816306850244131181764474,1242.5
51.178.75.191:443 => 192.168.0.123:60724,51.178.75.191,443,192.168.0.123,60724,6,1679526111.111541,balkanweb,1.501701,40,40,49715,0,33105.79136592437509197902911,26.63646091998340548484685034,1242.875
51.178.75.191:443 => 192.168.0.123:60725,51.178.75.191,443,192.168.0.123,60725,6,1679526111.111542,balkanweb,1.512001,12,12,7284,0,4817.457131311421090329966713,7.936502687498222554085612377,607.0
192.168.0.123:60739 => 51.178.75.191:443,192.168.0.123,60739,51.178.75.191,443,6,1679526111.380154,balkanweb,1.201636,11,11,1842,0,1532.910132519331977404139024,9.154186459127389658765216754,167.45454545454547
192.168.0.123:60740 => 51.178.75.191:443,192.168.0.123,60740,51.178.75.191,443,6,1679526111.380189,balkanweb,1.201578,12,12,1891,0,1573.763833891765661488475987,9.986867269540554171264786805,157.58333333333334
192.168.0.123:60741 => 51.178.75.191:443,192.168.0.123,60741,51.178.75.191,443,6,1679526111.380219,balkanweb,1.203783,12,12,1897,0,1575.865417604335665148951264,9.968574070243557185971225711,158.08333333333334
51.178.75.191:443 => 192.168.0.123:60739,51.178.75.191,443,192.168.0.123,60739,6,1679526111.430430,balkanweb,1.151286,13,13,10457,0,9082.886441770333348968023584,11.29172073663711710209279015,804.3846153846154
51.178.75.191:443 => 192.168.0.123:60740,51.178.75.191,443,192.168.0.123,60740,6,1679526111.430431,balkanweb,1.151279,12,12,9101,0,7905.121173929169210938443244,10.42319020845511817726198428,758.4166666666666
51.178.75.191:443 => 192.168.0.123:60741,51.178.75.191,443,192.168.0.123,60741,6,1679526111.430432,balkanweb,1.153463,11,11,8762,0,7596.255796674882505984153805,9.536500087128932614223429794,796.5454545454545
