FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50559 => 51.178.75.191:443,192.168.0.123,50559,51.178.75.191,443,6,1679524487.450408,balkanweb,2.085213,50,50,9645,0,4625.426754964600738629578849,23.97836575927734960409320295,192.9
192.168.0.123:50560 => 51.178.75.191:443,192.168.0.123,50560,51.178.75.191,443,6,1679524487.452395,balkanweb,2.083192,32,32,6968,0,3344.866915771565943033575398,15.36104209309559560520585717,217.75
51.178.75.191:443 => 192.168.0.123:50560,51.178.75.191,443,192.168.0.123,50560,6,1679524487.469839,balkanweb,2.150416,44,44,49206,0,22882.08421068295622800425592,20.46115728305592964338062961,1118.3181818181818
51.178.75.191:443 => 192.168.0.123:50559,51.178.75.191,443,192.168.0.123,50559,6,1679524487.469844,balkanweb,2.150420,176,176,239451,0,111350.8058890821327926637587,81.84447689288604086643539402,1360.5170454545455
192.168.0.123:50562 => 51.178.75.191:443,192.168.0.123,50562,51.178.75.191,443,6,1679524487.569250,balkanweb,1.968030,22,22,5174,0,2629.024964050344761004659482,11.17869138173706701625483351,235.1818181818182
192.168.0.123:50563 => 51.178.75.191:443,192.168.0.123,50563,51.178.75.191,443,6,1679524487.569503,balkanweb,1.973606,27,27,4537,0,2298.837761944379982630778382,13.68054211428218195526361391,168.03703703703704
192.168.0.123:50564 => 51.178.75.191:443,192.168.0.123,50564,51.178.75.191,443,6,1679524487.569633,balkanweb,1.966017,46,46,8039,0,4088.977867434513536759855078,23.39755963453011850863954890,174.7608695652174
192.168.0.123:50565 => 51.178.75.191:443,192.168.0.123,50565,51.178.75.191,443,6,1679524487.570136,balkanweb,1.895074,47,47,8809,0,4648.367293308862872901005449,24.80114233006204507053550415,187.4255319148936
51.178.75.191:443 => 192.168.0.123:50562,51.178.75.191,443,192.168.0.123,50562,6,1679524487.591204,balkanweb,2.035830,35,35,37807,0,18570.80404552442983942667119,17.19200522636958881635500017,1080.2
51.178.75.191:443 => 192.168.0.123:50563,51.178.75.191,443,192.168.0.123,50563,6,1679524487.611507,balkanweb,2.015535,59,59,73734,0,36582.84276879339728657651690,29.27262488619646892760482949,1249.7288135593221
51.178.75.191:443 => 192.168.0.123:50564,51.178.75.191,443,192.168.0.123,50564,6,1679524487.611513,balkanweb,2.011361,131,131,175274,0,87141.98992622408409032490935,65.13002887099829418985453133,1337.969465648855
51.178.75.191:443 => 192.168.0.123:50565,51.178.75.191,443,192.168.0.123,50565,6,1679524487.611513,balkanweb,1.853633,155,155,208684,0,112581.0772682618403966696752,83.61957302227571477201797767,1346.348387096774
192.168.0.123:50578 => 51.178.75.191:443,192.168.0.123,50578,51.178.75.191,443,6,1679524487.856722,balkanweb,1.473545,12,12,1894,0,1285.335704033470304605560061,8.143626424710477114713157725,157.83333333333334
192.168.0.123:50579 => 51.178.75.191:443,192.168.0.123,50579,51.178.75.191,443,6,1679524487.856752,balkanweb,1.472309,12,12,1891,0,1284.377124638917509843382062,8.150462980257541046071171201,157.58333333333334
192.168.0.123:50580 => 51.178.75.191:443,192.168.0.123,50580,51.178.75.191,443,6,1679524487.856780,balkanweb,1.473468,11,11,1845,0,1252.147993712791862463249965,7.465380992325588339889295187,167.72727272727272
51.178.75.191:443 => 192.168.0.123:50578,51.178.75.191,443,192.168.0.123,50578,6,1679524487.922275,balkanweb,1.407861,13,13,10457,0,7427.579853408823740411873047,9.233866127408884825987792829,804.3846153846154
51.178.75.191:443 => 192.168.0.123:50580,51.178.75.191,443,192.168.0.123,50580,6,1679524487.923717,balkanweb,1.406415,12,12,8814,0,6266.998005567346764646281503,8.532332206354454410682479922,734.5
51.178.75.191:443 => 192.168.0.123:50579,51.178.75.191,443,192.168.0.123,50579,6,1679524487.923723,balkanweb,1.405225,12,12,9101,0,6476.542902382180789553274387,8.539557722072977637033215321,758.4166666666666
