FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61912 => 51.178.75.191:443,192.168.0.123,61912,51.178.75.191,443,6,1679523764.949091,balkanweb,2.796801,56,56,12659,0,4526.242660811405602329232577,20.02287613598536327754459470,226.05357142857142
192.168.0.123:61913 => 51.178.75.191:443,192.168.0.123,61913,51.178.75.191,443,6,1679523764.949508,balkanweb,2.794796,38,38,5867,0,2099.258765219357691938874966,13.59669900772721873081255305,154.39473684210526
51.178.75.191:443 => 192.168.0.123:61912,51.178.75.191,443,192.168.0.123,61912,6,1679523764.973692,balkanweb,2.909214,133,133,176271,0,60590.59251055439716706986836,45.71681560723961867363487182,1325.345864661654
51.178.75.191:443 => 192.168.0.123:61913,51.178.75.191,443,192.168.0.123,61913,6,1679523764.980288,balkanweb,2.763693,122,122,166410,0,60212.91076830892577431719080,44.14383218396544044508561552,1364.016393442623
192.168.0.123:61915 => 51.178.75.191:443,192.168.0.123,61915,51.178.75.191,443,6,1679523765.067053,balkanweb,2.717154,52,52,13049,0,4802.451388474852731939374802,19.13767125455531780679343166,250.94230769230768
192.168.0.123:61916 => 51.178.75.191:443,192.168.0.123,61916,51.178.75.191,443,6,1679523765.067275,balkanweb,2.645830,21,21,4265,0,1611.970534766028051688884017,7.937017873408344451457576639,203.0952380952381
192.168.0.123:61917 => 51.178.75.191:443,192.168.0.123,61917,51.178.75.191,443,6,1679523765.067342,balkanweb,2.633841,17,17,3379,0,1282.917230007430213137391361,6.454451882251054638453877816,198.76470588235293
192.168.0.123:61918 => 51.178.75.191:443,192.168.0.123,61918,51.178.75.191,443,6,1679523765.067525,balkanweb,2.676698,35,35,3725,0,1391.639998236633344516265937,13.07581206396836699545484773,106.42857142857143
51.178.75.191:443 => 192.168.0.123:61917,51.178.75.191,443,192.168.0.123,61917,6,1679523765.103105,balkanweb,2.597952,28,28,30760,0,11840.09558298228758652969724,10.77772029660286256251077772,1098.5714285714287
51.178.75.191:443 => 192.168.0.123:61915,51.178.75.191,443,192.168.0.123,61915,6,1679523765.103112,balkanweb,2.680889,151,151,199381,0,74371.22536591406805727503078,56.32459978760776742341812735,1320.4039735099338
51.178.75.191:443 => 192.168.0.123:61916,51.178.75.191,443,192.168.0.123,61916,6,1679523765.103502,balkanweb,2.609412,38,38,46280,0,17735.79641697056654909228592,14.56266775810029232639383892,1217.8947368421052
51.178.75.191:443 => 192.168.0.123:61918,51.178.75.191,443,192.168.0.123,61918,6,1679523765.105844,balkanweb,2.638125,111,111,151184,0,57307.36792229329542762378583,42.07533759772565742714996446,1362.018018018018
192.168.0.123:61933 => 51.178.75.191:443,192.168.0.123,61933,51.178.75.191,443,6,1679523765.302920,balkanweb,2.355847,13,13,1943,0,824.7564464075977769354291684,5.518185179258245548204106633,149.46153846153845
192.168.0.123:61934 => 51.178.75.191:443,192.168.0.123,61934,51.178.75.191,443,6,1679523765.302954,balkanweb,2.357438,12,12,1897,0,804.6871222063952477223154967,5.090271727188583538570261445,158.08333333333334
192.168.0.123:61935 => 51.178.75.191:443,192.168.0.123,61935,51.178.75.191,443,6,1679523765.302980,balkanweb,2.354345,12,12,1894,0,804.4700330665216864987926578,5.096959026820623145715687378,157.83333333333334
51.178.75.191:443 => 192.168.0.123:61933,51.178.75.191,443,192.168.0.123,61933,6,1679523765.404016,balkanweb,2.254624,11,11,9049,0,4013.529528648679336332798728,4.878862284797819946917978341,822.6363636363636
51.178.75.191:443 => 192.168.0.123:61934,51.178.75.191,443,192.168.0.123,61934,6,1679523765.406969,balkanweb,2.253279,12,12,8814,0,3911.632780494559262301738932,5.325572199448004441527214340,734.5
51.178.75.191:443 => 192.168.0.123:61935,51.178.75.191,443,192.168.0.123,61935,6,1679523765.409278,balkanweb,2.247919,13,13,10457,0,4651.858007339232418961715258,5.783126527245866065458764306,804.3846153846154
