FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55669 => 51.178.75.191:443,192.168.0.123,55669,51.178.75.191,443,6,1679525229.458513,balkanweb,1.672353,66,66,11600,0,6936.334613565437440540364385,39.46535211166541992031586633,175.75757575757575
192.168.0.123:55670 => 51.178.75.191:443,192.168.0.123,55670,51.178.75.191,443,6,1679525229.458718,balkanweb,1.670189,42,42,8608,0,5153.907731400458271489035073,25.14685463740929918709798711,204.95238095238096
51.178.75.191:443 => 192.168.0.123:55669,51.178.75.191,443,192.168.0.123,55669,6,1679525229.481879,balkanweb,1.648895,150,150,202704,0,122933.2371072748719597063488,90.97001325129859693916228747,1351.36
51.178.75.191:443 => 192.168.0.123:55670,51.178.75.191,443,192.168.0.123,55670,6,1679525229.491896,balkanweb,1.636855,96,96,128548,0,78533.52923747063728919177325,58.64905565856474764105556082,1339.0416666666667
192.168.0.123:55672 => 51.178.75.191:443,192.168.0.123,55672,51.178.75.191,443,6,1679525229.581212,balkanweb,1.523768,42,42,11035,0,7241.916092213512818224296612,27.56325109859243664389854624,262.73809523809524
192.168.0.123:55673 => 51.178.75.191:443,192.168.0.123,55673,51.178.75.191,443,6,1679525229.581464,balkanweb,1.550759,19,19,3441,0,2218.913448188919103484164851,12.25206495657932663940689688,181.10526315789474
192.168.0.123:55674 => 51.178.75.191:443,192.168.0.123,55674,51.178.75.191,443,6,1679525229.581522,balkanweb,1.550736,36,36,4349,0,2804.474778427791706647682133,23.21478317392515553904726530,120.80555555555556
192.168.0.123:55675 => 51.178.75.191:443,192.168.0.123,55675,51.178.75.191,443,6,1679525229.581890,balkanweb,1.545938,14,14,2010,0,1300.181507925932346575347782,9.055990602469180523410382564,143.57142857142858
51.178.75.191:443 => 192.168.0.123:55672,51.178.75.191,443,192.168.0.123,55672,6,1679525229.610502,balkanweb,1.520260,102,102,130652,0,85940.56279846868298843618855,67.09378658913606883033165380,1280.9019607843138
51.178.75.191:443 => 192.168.0.123:55673,51.178.75.191,443,192.168.0.123,55673,6,1679525229.613772,balkanweb,1.518312,27,27,29966,0,19736.39146631258924384447992,17.78290628013214675244613755,1109.851851851852
51.178.75.191:443 => 192.168.0.123:55675,51.178.75.191,443,192.168.0.123,55675,6,1679525229.613779,balkanweb,1.513985,23,23,24440,0,16142.82836355710261330198120,15.19169608681724059353296103,1062.608695652174
51.178.75.191:443 => 192.168.0.123:55674,51.178.75.191,443,192.168.0.123,55674,6,1679525229.613779,balkanweb,1.518313,132,132,182153,0,119970.6516377057958405150980,86.93859566505720493732188291,1379.9469696969697
192.168.0.123:55686 => 51.178.75.191:443,192.168.0.123,55686,51.178.75.191,443,6,1679525229.904332,balkanweb,1.216324,10,10,1790,0,1471.647357118662461646732285,8.221493615188058444953811649,179.0
192.168.0.123:55687 => 51.178.75.191:443,192.168.0.123,55687,51.178.75.191,443,6,1679525229.904363,balkanweb,1.221505,11,11,1845,0,1510.431803390080269831069050,9.005284464656305131784151518,167.72727272727272
192.168.0.123:55688 => 51.178.75.191:443,192.168.0.123,55688,51.178.75.191,443,6,1679525229.904389,balkanweb,1.221506,11,11,1839,0,1505.518597534518864418185420,9.005277092376132413594366299,167.1818181818182
51.178.75.191:443 => 192.168.0.123:55687,51.178.75.191,443,192.168.0.123,55687,6,1679525229.985782,balkanweb,1.139965,12,12,8814,0,7731.816327694271315347401017,10.52663897575802765874390880,734.5
51.178.75.191:443 => 192.168.0.123:55688,51.178.75.191,443,192.168.0.123,55688,6,1679525229.985787,balkanweb,1.139966,12,12,9101,0,7983.571439849960437416554529,10.52662974158878422689799520,758.4166666666666
51.178.75.191:443 => 192.168.0.123:55686,51.178.75.191,443,192.168.0.123,55686,6,1679525229.988722,balkanweb,1.131743,11,11,7537,0,6659.639158360157738991979628,9.719521128029950262559609381,685.1818181818181
