FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62108 => 188.40.137.224:443,192.168.0.123,62108,188.40.137.224,443,6,1679526332.271571,shqiperia,1.817166,72,72,9943,0,5471.707042724770329182914494,39.62213688787925814152366927,138.09722222222223
192.168.0.123:62109 => 188.40.137.224:443,192.168.0.123,62109,188.40.137.224,443,6,1679526332.271729,shqiperia,1.818079,32,32,6580,0,3619.204666023863649489378624,17.60099533628626698839819392,205.625
188.40.137.224:443 => 192.168.0.123:62108,188.40.137.224,443,192.168.0.123,62108,6,1679526332.317157,shqiperia,1.771510,254,254,352052,0,198729.8970934400596101630812,143.3805058960999373415899430,1386.0314960629921
188.40.137.224:443 => 192.168.0.123:62109,188.40.137.224,443,192.168.0.123,62109,6,1679526332.319029,shqiperia,1.770739,37,37,38703,0,21856.97609867970378469102448,20.89523074829209725431020608,1046.027027027027
192.168.0.123:62110 => 188.40.137.224:443,192.168.0.123,62110,188.40.137.224,443,6,1679526332.494784,shqiperia,1.595047,49,49,7947,0,4982.298327259322139096841660,30.72009790307119476730152779,162.18367346938774
192.168.0.123:62111 => 188.40.137.224:443,192.168.0.123,62111,188.40.137.224,443,6,1679526332.495376,shqiperia,2.991197,47,47,6669,0,2229.542220054379567778384373,15.71277318077010641559215257,141.89361702127658
192.168.0.123:62112 => 188.40.137.224:443,192.168.0.123,62112,188.40.137.224,443,6,1679526332.510774,shqiperia,1.577139,81,81,9439,0,5984.887825359717818150461056,51.35882125798677225025822074,116.53086419753086
192.168.0.123:62113 => 188.40.137.224:443,192.168.0.123,62113,188.40.137.224,443,6,1679526332.511260,shqiperia,1.577452,46,46,8387,0,5316.802032645050372372661736,29.16095069770744212819153927,182.32608695652175
188.40.137.224:443 => 192.168.0.123:62111,188.40.137.224,443,192.168.0.123,62111,6,1679526332.545652,shqiperia,2.940573,86,86,108653,0,36949.60131919867318376384467,29.24600069442248160477566787,1263.406976744186
188.40.137.224:443 => 192.168.0.123:62110,188.40.137.224,443,192.168.0.123,62110,6,1679526332.545666,shqiperia,1.544109,128,128,172345,0,111614.5298032716602260591707,82.89570231117103779590689517,1346.4453125
188.40.137.224:443 => 192.168.0.123:62112,188.40.137.224,443,192.168.0.123,62112,6,1679526332.576280,shqiperia,1.511593,199,199,275906,0,182526.6457306960273036458888,131.6491939298475184788497962,1386.462311557789
188.40.137.224:443 => 192.168.0.123:62113,188.40.137.224,443,192.168.0.123,62113,6,1679526332.577404,shqiperia,1.511257,81,81,103020,0,68168.41874016133589455665052,53.59776662738369450067063378,1271.851851851852
