FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57048 => 188.40.137.224:443,192.168.0.123,57048,188.40.137.224,443,6,1679525459.056104,shqiperia,1.439815,73,73,11472,0,7967.690293544656778822279251,50.70095810920152936314734879,157.15068493150685
192.168.0.123:57049 => 188.40.137.224:443,192.168.0.123,57049,188.40.137.224,443,6,1679525459.056465,shqiperia,1.439433,79,79,12757,0,8862.517394001665933739187583,54.88272118257675070670187497,161.48101265822785
188.40.137.224:443 => 192.168.0.123:57048,188.40.137.224,443,192.168.0.123,57048,6,1679525459.094736,shqiperia,1.401046,236,236,323483,0,230886.7803055716942912652404,168.4455756627548274646228603,1370.6906779661017
188.40.137.224:443 => 192.168.0.123:57049,188.40.137.224,443,192.168.0.123,57049,6,1679525459.104780,shqiperia,1.390994,295,295,413554,0,297308.2558228144765541763660,212.0785567730701929699193526,1401.877966101695
192.168.0.123:57051 => 188.40.137.224:443,192.168.0.123,57051,188.40.137.224,443,6,1679525459.276679,shqiperia,1.223441,44,44,6400,0,5231.147231456196089553971136,35.96413721626134811568355156,145.45454545454547
192.168.0.123:57052 => 188.40.137.224:443,192.168.0.123,57052,188.40.137.224,443,6,1679525459.277025,shqiperia,3.015713,32,32,4106,0,1361.535398096569534302501597,10.61108931784954337498296423,128.3125
192.168.0.123:57053 => 188.40.137.224:443,192.168.0.123,57053,188.40.137.224,443,6,1679525459.288092,shqiperia,2.287650,22,22,2947,0,1288.221537385526632133412017,9.616855725307630100758420213,133.95454545454547
192.168.0.123:57054 => 188.40.137.224:443,192.168.0.123,57054,188.40.137.224,443,6,1679525459.288200,shqiperia,1.207730,37,37,8626,0,7142.324857377062754092388199,30.63598652016593112699030412,233.13513513513513
188.40.137.224:443 => 192.168.0.123:57052,188.40.137.224,443,192.168.0.123,57052,6,1679525459.330864,shqiperia,2.961524,60,60,74124,0,25029.00533644164288386654979,20.25983919090306207209531309,1235.4
188.40.137.224:443 => 192.168.0.123:57051,188.40.137.224,443,192.168.0.123,57051,6,1679525459.330881,shqiperia,1.169203,85,85,109817,0,93924.66492131819709665472976,72.69909502455946486623794157,1291.964705882353
188.40.137.224:443 => 192.168.0.123:57053,188.40.137.224,443,192.168.0.123,57053,6,1679525459.334287,shqiperia,2.241095,42,42,49637,0,22148.54791965534705132981868,18.74083874177578371287250206,1181.8333333333333
188.40.137.224:443 => 192.168.0.123:57054,188.40.137.224,443,192.168.0.123,57054,6,1679525459.337021,shqiperia,1.158761,70,70,80898,0,69814.22398579172063954516937,60.40935102234196698024873119,1155.6857142857143
