FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49770 => 65.254.227.240:443,192.168.0.123,49770,65.254.227.240,443,6,1679524355.523257,tribuna-news,3.913041,100,100,12112,0,3095.290849239760074070269133,25.55557174075099136451675308,121.12
192.168.0.123:49771 => 65.254.227.240:443,192.168.0.123,49771,65.254.227.240,443,6,1679524355.523457,tribuna-news,3.921768,82,82,14246,0,3632.545321395860234465679765,20.90893698964344652717855824,173.73170731707316
65.254.227.240:443 => 192.168.0.123:49771,65.254.227.240,443,192.168.0.123,49771,6,1679524355.638334,tribuna-news,3.806747,525,525,743511,0,195314.0043191732994076044455,137.9130265289497831087802788,1416.2114285714285
192.168.0.123:49772 => 65.254.227.240:443,192.168.0.123,49772,65.254.227.240,443,6,1679524355.645087,tribuna-news,3.784297,57,57,10524,0,2780.965658879311005452267621,15.06224273623344045142334230,184.6315789473684
65.254.227.240:443 => 192.168.0.123:49770,65.254.227.240,443,192.168.0.123,49770,6,1679524355.646632,tribuna-news,3.789466,402,402,569783,0,150359.7076738516719770015089,106.0835484471954623685764696,1417.370646766169
65.254.227.240:443 => 192.168.0.123:49772,65.254.227.240,443,192.168.0.123,49772,6,1679524355.755370,tribuna-news,3.673829,229,229,316385,0,86118.59724554409037546385529,62.33278685534901052825267589,1381.593886462882
192.168.0.123:49773 => 65.254.227.240:443,192.168.0.123,49773,65.254.227.240,443,6,1679524357.482731,tribuna-news,1.953628,55,55,8862,0,4536.175771436527322499472776,28.15274965346524517461870940,161.12727272727273
192.168.0.123:49774 => 65.254.227.240:443,192.168.0.123,49774,65.254.227.240,443,6,1679524357.482929,tribuna-news,2.549629,61,61,9461,0,3710.735954132934634803730268,23.92504948759211634320130497,155.0983606557377
192.168.0.123:49775 => 65.254.227.240:443,192.168.0.123,49775,65.254.227.240,443,6,1679524357.483266,tribuna-news,1.946064,72,72,11153,0,5731.055093768755806592177852,36.99775546950151690797424956,154.90277777777777
65.254.227.240:443 => 192.168.0.123:49775,65.254.227.240,443,192.168.0.123,49775,6,1679524357.599365,tribuna-news,1.829827,386,386,546527,0,298676.8694526859643015432606,210.9489039127742677313210484,1415.8730569948186
65.254.227.240:443 => 192.168.0.123:49773,65.254.227.240,443,192.168.0.123,49773,6,1679524357.600476,tribuna-news,1.835638,235,235,326979,0,178128.2584038900916193715754,128.0208842920009282876035471,1391.4
65.254.227.240:443 => 192.168.0.123:49774,65.254.227.240,443,192.168.0.123,49774,6,1679524357.608657,tribuna-news,2.423720,278,278,386709,0,159551.8459227963626161437790,114.6997177891835690591322430,1391.0395683453237
