FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59962 => 65.254.227.240:443,192.168.0.123,59962,65.254.227.240,443,6,1679525978.929012,tribuna-news,3.942338,76,76,13525,0,3430.705332723881108114017621,19.27790057574972008995677184,177.96052631578948
192.168.0.123:59963 => 65.254.227.240:443,192.168.0.123,59963,65.254.227.240,443,6,1679525978.929388,tribuna-news,3.941897,96,96,13013,0,3301.202441362623122826395515,24.35375657963665717292968335,135.55208333333334
65.254.227.240:443 => 192.168.0.123:59963,65.254.227.240,443,192.168.0.123,59963,6,1679525979.045534,tribuna-news,3.825598,377,377,533158,0,139365.9239679652697434492594,98.54668472745960239418778450,1414.212201591512
65.254.227.240:443 => 192.168.0.123:59962,65.254.227.240,443,192.168.0.123,59962,6,1679525979.045542,tribuna-news,3.825602,406,406,570323,0,149080.5891464924997425241831,106.1270879720368193032103183,1404.7364532019703
192.168.0.123:59964 => 65.254.227.240:443,192.168.0.123,59964,65.254.227.240,443,6,1679525980.917350,tribuna-news,1.956901,44,44,7089,0,3622.564452672874100427154976,22.48453038758731279712157130,161.11363636363637
192.168.0.123:59965 => 65.254.227.240:443,192.168.0.123,59965,65.254.227.240,443,6,1679525980.918483,tribuna-news,2.552902,80,80,13460,0,5272.431139150660699078930566,31.33688641397123743880493650,168.25
192.168.0.123:59966 => 65.254.227.240:443,192.168.0.123,59966,65.254.227.240,443,6,1679525980.918897,tribuna-news,1.952528,66,66,10829,0,5546.143256332303557234518532,33.80233215605614874665049618,164.07575757575756
192.168.0.123:59967 => 65.254.227.240:443,192.168.0.123,59967,65.254.227.240,443,6,1679525980.919044,tribuna-news,1.952345,64,64,9575,0,4904.358604652353964079094627,32.78109145668414137870099803,149.609375
65.254.227.240:443 => 192.168.0.123:59965,65.254.227.240,443,192.168.0.123,59965,6,1679525981.034853,tribuna-news,2.436171,394,394,552303,0,226709.4551244555493025735878,161.7292053800821042529444772,1401.784263959391
65.254.227.240:443 => 192.168.0.123:59967,65.254.227.240,443,192.168.0.123,59967,6,1679525981.042450,tribuna-news,1.828695,311,311,439014,0,240069.5577994143364530443841,170.0666322158697869245554890,1411.620578778135
65.254.227.240:443 => 192.168.0.123:59966,65.254.227.240,443,192.168.0.123,59966,6,1679525981.046508,tribuna-news,1.824637,347,347,490291,0,268706.0494772384863400227004,190.1748128531866886399870221,1412.9423631123918
65.254.227.240:443 => 192.168.0.123:59964,65.254.227.240,443,192.168.0.123,59964,6,1679525981.046513,tribuna-news,1.827628,202,202,279435,0,152894.8998373848507464319873,110.5257743917252307362329752,1383.3415841584158
