FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61119 => 65.254.227.240:443,192.168.0.123,61119,65.254.227.240,443,6,1679523535.205012,tribuna-news,3.980005,76,76,10674,0,2681.906178509825992680913717,19.09545339767161096531285765,140.44736842105263
192.168.0.123:61120 => 65.254.227.240:443,192.168.0.123,61120,65.254.227.240,443,6,1679523535.205188,tribuna-news,3.962144,83,83,14803,0,3736.108531138696624857652826,20.94825427849164492759475678,178.34939759036143
65.254.227.240:443 => 192.168.0.123:61119,65.254.227.240,443,192.168.0.123,61119,6,1679523535.324392,tribuna-news,3.860539,411,411,581346,0,150586.7444934502669186867430,106.4618178964129102179773343,1414.4671532846714
65.254.227.240:443 => 192.168.0.123:61120,65.254.227.240,443,192.168.0.123,61120,6,1679523535.332002,tribuna-news,3.835246,409,409,571510,0,149015.2131049742311184210869,106.6424422318672648377705107,1397.3349633251835
192.168.0.123:61122 => 65.254.227.240:443,192.168.0.123,61122,65.254.227.240,443,6,1679523537.255871,tribuna-news,1.925507,70,70,11944,0,6203.041588527073648654614083,36.35406155365833518133146231,170.62857142857143
192.168.0.123:61123 => 65.254.227.240:443,192.168.0.123,61123,65.254.227.240,443,6,1679523537.256747,tribuna-news,1.932485,49,49,7285,0,3769.757591908863458189843647,25.35595360377958949228583922,148.6734693877551
192.168.0.123:61124 => 65.254.227.240:443,192.168.0.123,61124,65.254.227.240,443,6,1679523537.256972,tribuna-news,1.924306,90,90,12716,0,6608.096633279738253687303371,46.77010828839072372065565456,141.2888888888889
192.168.0.123:61125 => 65.254.227.240:443,192.168.0.123,61125,65.254.227.240,443,6,1679523537.257501,tribuna-news,1.923839,55,55,9128,0,4744.679778297456284023767062,28.58867088150307796026590583,165.96363636363637
65.254.227.240:443 => 192.168.0.123:61122,65.254.227.240,443,192.168.0.123,61122,6,1679523537.372339,tribuna-news,1.808749,411,411,580272,0,320813.9990678640319911717989,227.2288747637179066857811670,1411.85401459854
65.254.227.240:443 => 192.168.0.123:61124,65.254.227.240,443,192.168.0.123,61124,6,1679523537.372346,tribuna-news,1.808727,385,385,546590,0,302195.9643439833650960039851,212.8568877448061537202684540,1419.7142857142858
65.254.227.240:443 => 192.168.0.123:61125,65.254.227.240,443,192.168.0.123,61125,6,1679523537.373587,tribuna-news,1.807500,230,230,319508,0,176767.9114799446749654218534,127.2475795297372060857538036,1389.1652173913044
65.254.227.240:443 => 192.168.0.123:61123,65.254.227.240,443,192.168.0.123,61123,6,1679523537.386810,tribuna-news,1.802338,206,206,284864,0,158052.4851609409555810286417,114.2959866573306449733623771,1382.8349514563106
