FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54900 => 65.254.227.240:443,192.168.0.123,54900,65.254.227.240,443,6,1679525037.368596,tribuna-news,3.998480,74,74,11933,0,2984.384065945059122466537284,18.50703267241551789680078430,161.25675675675674
192.168.0.123:54901 => 65.254.227.240:443,192.168.0.123,54901,65.254.227.240,443,6,1679525037.368835,tribuna-news,3.990397,93,93,14074,0,3526.967366906099819140802281,23.30595176369669484013746001,151.33333333333334
65.254.227.240:443 => 192.168.0.123:54901,65.254.227.240,443,192.168.0.123,54901,6,1679525037.486252,tribuna-news,3.872770,440,440,622332,0,160694.2834198777619120164637,113.6137699889226574260800409,1414.3909090909092
65.254.227.240:443 => 192.168.0.123:54900,65.254.227.240,443,192.168.0.123,54900,6,1679525037.486260,tribuna-news,3.880717,382,382,538721,0,138819.9654857594614603435396,98.43541799105680728587011112,1410.264397905759
192.168.0.123:54902 => 65.254.227.240:443,192.168.0.123,54902,65.254.227.240,443,6,1679525039.367810,tribuna-news,1.999319,48,48,7048,0,3525.200330712607642902408270,24.00817478351378644428427880,146.83333333333334
192.168.0.123:54903 => 65.254.227.240:443,192.168.0.123,54903,65.254.227.240,443,6,1679525039.368710,tribuna-news,1.994359,64,64,9476,0,4751.401327444055959834713810,32.09051128708522387393643772,148.0625
192.168.0.123:54904 => 65.254.227.240:443,192.168.0.123,54904,65.254.227.240,443,6,1679525039.369161,tribuna-news,1.993859,78,78,11112,0,5573.112241136409344893495478,39.12011832331172866285930951,142.46153846153845
192.168.0.123:54905 => 65.254.227.240:443,192.168.0.123,54905,65.254.227.240,443,6,1679525039.369326,tribuna-news,1.978506,76,76,12938,0,6539.277616545009214023106324,38.41282260453089351257969397,170.23684210526315
65.254.227.240:443 => 192.168.0.123:54904,65.254.227.240,443,192.168.0.123,54904,6,1679525039.491175,tribuna-news,1.871767,343,343,480244,0,256572.5327992212705961799733,183.2493039999102452388571868,1400.128279883382
65.254.227.240:443 => 192.168.0.123:54903,65.254.227.240,443,192.168.0.123,54903,6,1679525039.491180,tribuna-news,1.871767,327,327,459904,0,245705.7956465735318551935150,174.7012315101185136825256562,1406.434250764526
65.254.227.240:443 => 192.168.0.123:54905,65.254.227.240,443,192.168.0.123,54905,6,1679525039.492299,tribuna-news,1.855325,376,376,529170,0,285216.8757495317531968792530,202.6599113362887903736542115,1407.3670212765958
65.254.227.240:443 => 192.168.0.123:54902,65.254.227.240,443,192.168.0.123,54902,6,1679525039.492300,tribuna-news,1.874685,185,185,255827,0,136463.9926174263943009092194,98.68324545190258630116526243,1382.8486486486486
