FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56714 => 173.231.244.176:443,192.168.0.123,56714,173.231.244.176,443,6,1679572446.661887,bulevardionline,0.637164,11,11,1558,0,2445.210338311643470127000270,17.26400110489607071334852565,141.63636363636363
192.168.0.123:56715 => 173.231.244.176:443,192.168.0.123,56715,173.231.244.176,443,6,1679572446.662107,bulevardionline,2.669965,69,69,6980,0,2614.266479148603071575844627,25.84303539559507334365806293,101.15942028985508
192.168.0.123:56716 => 173.231.244.176:443,192.168.0.123,56716,173.231.244.176,443,6,1679572446.736880,bulevardionline,0.644787,11,11,1558,0,2416.301817499422289841451518,17.05989729941825750208983742,141.63636363636363
173.231.244.176:443 => 192.168.0.123:56715,173.231.244.176,443,192.168.0.123,56715,6,1679572446.768178,bulevardionline,2.563791,212,212,285022,0,111172.0885204761230537122566,82.69004766769210126722498051,1344.4433962264152
173.231.244.176:443 => 192.168.0.123:56714,173.231.244.176,443,192.168.0.123,56714,6,1679572446.768187,bulevardionline,0.530697,9,9,6521,0,12287.61421300666858866735633,16.95882961463886172335626544,724.5555555555555
173.231.244.176:443 => 192.168.0.123:56716,173.231.244.176,443,192.168.0.123,56716,6,1679572446.843735,bulevardionline,0.537791,9,9,6521,0,12125.52831862191818011086091,16.73512572728067223140588072,724.5555555555555
192.168.0.123:56726 => 173.231.244.176:443,192.168.0.123,56726,173.231.244.176,443,6,1679572449.407947,bulevardionline,1.103690,94,94,7642,0,6924.045701238572425228098470,85.16884270039594451340503221,81.29787234042553
192.168.0.123:56727 => 173.231.244.176:443,192.168.0.123,56727,173.231.244.176,443,6,1679572449.408000,bulevardionline,0.525503,10,10,1412,0,2686.949456044970247553296556,19.02938708247146067672306343,141.2
192.168.0.123:56728 => 173.231.244.176:443,192.168.0.123,56728,173.231.244.176,443,6,1679572449.408043,bulevardionline,0.507080,10,10,1412,0,2784.570481975230732823223160,19.72075412163761142226078725,141.2
192.168.0.123:56729 => 173.231.244.176:443,192.168.0.123,56729,173.231.244.176,443,6,1679572449.408089,bulevardionline,0.525394,10,10,1412,0,2687.506899583931297274045764,19.03333498288903185038276037,141.2
192.168.0.123:56730 => 173.231.244.176:443,192.168.0.123,56730,173.231.244.176,443,6,1679572449.408122,bulevardionline,0.525373,10,10,1412,0,2687.614323537753177266437369,19.03409577576312448488978307,141.2
192.168.0.123:56731 => 173.231.244.176:443,192.168.0.123,56731,173.231.244.176,443,6,1679572449.408154,bulevardionline,0.506935,9,9,1360,0,2682.789706767139771371083078,17.75375541242960142819099096,151.11111111111111
173.231.244.176:443 => 192.168.0.123:56726,173.231.244.176,443,192.168.0.123,56726,6,1679572449.508773,bulevardionline,1.002726,695,695,1000269,0,997549.6795734826861974258172,693.1105805574005261656723771,1439.2359712230216
173.231.244.176:443 => 192.168.0.123:56727,173.231.244.176,443,192.168.0.123,56727,6,1679572449.517929,bulevardionline,0.415518,8,8,5640,0,13573.41920205622861103490102,19.25307688234926044118425676,705.0
173.231.244.176:443 => 192.168.0.123:56728,173.231.244.176,443,192.168.0.123,56728,6,1679572449.517937,bulevardionline,0.397111,8,8,5640,0,14202.57812047513163825731345,20.14550088010656969965576375,705.0
173.231.244.176:443 => 192.168.0.123:56731,173.231.244.176,443,192.168.0.123,56731,6,1679572449.517937,bulevardionline,0.397103,8,8,5640,0,14202.86424428926500177535803,20.14590672948831915145440855,705.0
173.231.244.176:443 => 192.168.0.123:56729,173.231.244.176,443,192.168.0.123,56729,6,1679572449.531822,bulevardionline,0.401621,8,8,5640,0,14043.09037625024587857706644,19.91927712943297287741427864,705.0
173.231.244.176:443 => 192.168.0.123:56730,173.231.244.176,443,192.168.0.123,56730,6,1679572449.531837,bulevardionline,0.401609,8,8,5640,0,14043.50998110102114245447687,19.91987231361846970560918705,705.0
