FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:65302 => 144.91.119.216:443,192.168.0.123,65302,144.91.119.216,443,6,1679569489.124342,gazetaolle,1.154513,127,127,16811,0,14561.11797788331530264275933,110.0030922129070872307197927,132.37007874015748
192.168.0.123:65303 => 144.91.119.216:443,192.168.0.123,65303,144.91.119.216,443,6,1679569489.126120,gazetaolle,1.136544,80,80,15649,0,13768.93459470112903679927922,70.38882788523805501590787510,195.6125
144.91.119.216:443 => 192.168.0.123:65302,144.91.119.216,443,192.168.0.123,65302,6,1679569489.164586,gazetaolle,1.114024,914,914,1306296,0,1172592.331942579334017938572,820.4491106116205754992711109,1429.2078774617069
144.91.119.216:443 => 192.168.0.123:65303,144.91.119.216,443,192.168.0.123,65303,6,1679569489.167676,gazetaolle,1.094956,201,201,274595,0,250781.7665732686975549702454,183.5690201250095894264244408,1366.1442786069651
192.168.0.123:65305 => 144.91.119.216:443,192.168.0.123,65305,144.91.119.216,443,6,1679569489.273984,gazetaolle,1.004831,58,58,11781,0,11724.35961868214655001686851,57.72114912855992699269827464,203.1206896551724
192.168.0.123:65306 => 144.91.119.216:443,192.168.0.123,65306,144.91.119.216,443,6,1679569489.274306,gazetaolle,1.004531,78,78,12932,0,12873.66940393078959235703030,77.64817611402734211288651122,165.7948717948718
192.168.0.123:65307 => 144.91.119.216:443,192.168.0.123,65307,144.91.119.216,443,6,1679569489.274488,gazetaolle,1.004256,82,82,12275,0,12222.97900137016856259758468,81.65248701526304049963355957,149.6951219512195
192.168.0.123:65308 => 144.91.119.216:443,192.168.0.123,65308,144.91.119.216,443,6,1679569489.274718,gazetaolle,1.003983,86,86,12698,0,12647.62451157041503690799545,85.65882091629041527595586778,147.65116279069767
144.91.119.216:443 => 192.168.0.123:65305,144.91.119.216,443,192.168.0.123,65305,6,1679569489.313891,gazetaolle,0.964718,158,158,212611,0,220386.6829477629732211900265,163.7784305880060287047613914,1345.639240506329
144.91.119.216:443 => 192.168.0.123:65306,144.91.119.216,443,192.168.0.123,65306,6,1679569489.318149,gazetaolle,0.960460,346,346,487994,0,508083.6265955896133102888199,360.2440497261728754971576120,1410.387283236994
144.91.119.216:443 => 192.168.0.123:65307,144.91.119.216,443,192.168.0.123,65307,6,1679569489.318156,gazetaolle,0.960452,252,252,351714,0,366196.3325600862927038519364,262.3764644146714255371429285,1395.6904761904761
144.91.119.216:443 => 192.168.0.123:65308,144.91.119.216,443,192.168.0.123,65308,6,1679569489.320182,gazetaolle,0.958419,203,203,276048,0,288024.3400850776121925796546,211.8071532388235208191824244,1359.8423645320197
