FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51394 => 144.91.119.216:443,192.168.0.123,51394,144.91.119.216,443,6,1679570381.718488,gazetaolle,1.394577,112,112,19098,0,13694.47509890095706440017296,80.31109074651310038814636983,170.51785714285714
192.168.0.123:51395 => 144.91.119.216:443,192.168.0.123,51395,144.91.119.216,443,6,1679570381.718932,gazetaolle,1.396278,89,89,15977,0,11442.56373014542949183472059,63.74088827583045783146336188,179.51685393258427
144.91.119.216:443 => 192.168.0.123:51394,144.91.119.216,443,192.168.0.123,51394,6,1679570381.760378,gazetaolle,1.352625,496,496,697461,0,515635.1538674799001940670918,366.6943905369189538859624804,1406.171370967742
144.91.119.216:443 => 192.168.0.123:51395,144.91.119.216,443,192.168.0.123,51395,6,1679570381.768463,gazetaolle,1.346698,264,264,365103,0,271109.7811090534032128955415,196.0350427490053449251428308,1382.965909090909
192.168.0.123:51397 => 144.91.119.216:443,192.168.0.123,51397,144.91.119.216,443,6,1679570381.855447,gazetaolle,1.258883,112,112,16011,0,12718.41783549384652902612872,88.96775951379119425713112338,142.95535714285714
192.168.0.123:51398 => 144.91.119.216:443,192.168.0.123,51398,144.91.119.216,443,6,1679570381.856729,gazetaolle,1.257625,76,76,14373,0,11428.68502136964516449657092,60.43136865122751217572805884,189.1184210526316
192.168.0.123:51399 => 144.91.119.216:443,192.168.0.123,51399,144.91.119.216,443,6,1679570381.857060,gazetaolle,1.255983,89,89,14783,0,11770.06376678665236711006439,70.86083171507894613223268149,166.1011235955056
192.168.0.123:51400 => 144.91.119.216:443,192.168.0.123,51400,144.91.119.216,443,6,1679570381.857301,gazetaolle,1.255099,88,88,14626,0,11653.26400546889129861469095,70.11399100788065323930622206,166.20454545454547
144.91.119.216:443 => 192.168.0.123:51397,144.91.119.216,443,192.168.0.123,51397,6,1679570381.891380,gazetaolle,1.222900,633,633,900226,0,736140.3221849701529152015700,517.6220459563333060757216453,1422.1579778830965
144.91.119.216:443 => 192.168.0.123:51399,144.91.119.216,443,192.168.0.123,51399,6,1679570381.901001,gazetaolle,1.211995,385,385,541851,0,447073.6265413636194868790713,317.6580761471788249951526203,1407.4051948051947
144.91.119.216:443 => 192.168.0.123:51400,144.91.119.216,443,192.168.0.123,51400,6,1679570381.901005,gazetaolle,1.211325,247,247,338350,0,279322.2297896931046581223041,203.9089426867273440241058345,1369.838056680162
144.91.119.216:443 => 192.168.0.123:51398,144.91.119.216,443,192.168.0.123,51398,6,1679570381.901006,gazetaolle,1.213280,201,201,274557,0,226293.1887115917183172886720,165.6666227086904918897533958,1365.955223880597
