FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55405 => 5.9.72.90:443,192.168.0.123,55405,5.9.72.90,443,6,1679572229.533303,rtv21,2.335398,87,87,6360,0,2723.304550230838597960604574,37.25275092296901855700827011,73.10344827586206
192.168.0.123:55406 => 5.9.72.90:443,192.168.0.123,55406,5.9.72.90,443,6,1679572229.533465,rtv21,2.334546,52,52,8040,0,3443.924428989619394948739498,22.27413809794281200713115098,154.6153846153846
5.9.72.90:443 => 192.168.0.123:55405,5.9.72.90,443,192.168.0.123,55405,6,1679572229.571354,rtv21,2.297328,597,597,366055,0,159339.4587102930012605949172,259.8671151877311380873780322,613.1574539363484
5.9.72.90:443 => 192.168.0.123:55406,5.9.72.90,443,192.168.0.123,55406,6,1679572229.579513,rtv21,2.288409,156,156,212740,0,92964.15107614067240602532152,68.16963226416256884149642830,1363.7179487179487
192.168.0.123:55408 => 5.9.72.90:443,192.168.0.123,55408,5.9.72.90,443,6,1679572230.199854,rtv21,1.666852,81,81,9453,0,5671.169365966504524696853710,48.59459628089356463561251989,116.70370370370371
192.168.0.123:55409 => 5.9.72.90:443,192.168.0.123,55409,5.9.72.90,443,6,1679572230.200486,rtv21,1.667515,55,55,6573,0,3941.793627043834688143734839,32.98321154532343037393966471,119.50909090909092
192.168.0.123:55410 => 5.9.72.90:443,192.168.0.123,55410,5.9.72.90,443,6,1679572230.200811,rtv21,1.666002,23,23,3660,0,2196.876114194340703072385267,13.80550563564749622149313146,159.1304347826087
192.168.0.123:55411 => 5.9.72.90:443,192.168.0.123,55411,5.9.72.90,443,6,1679572230.201078,rtv21,1.669232,56,56,4763,0,2853.408034353523057310188158,33.54836236065448062342442512,85.05357142857143
5.9.72.90:443 => 192.168.0.123:55410,5.9.72.90,443,192.168.0.123,55410,6,1679572230.243463,rtv21,1.622927,42,42,50845,0,31329.19718508595888786125316,25.87916770131989916983327038,1210.595238095238
5.9.72.90:443 => 192.168.0.123:55408,5.9.72.90,443,192.168.0.123,55408,6,1679572230.247093,rtv21,1.619296,273,273,384789,0,237627.3392881844949904155880,168.5917830958638815880481394,1409.4835164835165
5.9.72.90:443 => 192.168.0.123:55409,5.9.72.90,443,192.168.0.123,55409,6,1679572230.247099,rtv21,1.620822,173,173,237101,0,146284.4161789511741573103030,106.7359648375947513052019284,1370.5260115606936
5.9.72.90:443 => 192.168.0.123:55411,5.9.72.90,443,192.168.0.123,55411,6,1679572230.281909,rtv21,1.588375,156,156,218319,0,137448.0207759502636342173605,98.21358306445266388604706068,1399.4807692307693
