FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49712 => 138.201.56.69:443,192.168.0.123,49712,138.201.56.69,443,6,1679570061.419229,telesport,2.455838,55,55,7378,0,3004.269825615533272145801148,22.39561404294582948875292263,134.14545454545456
192.168.0.123:49713 => 138.201.56.69:443,192.168.0.123,49713,138.201.56.69,443,6,1679570061.419438,telesport,2.461296,61,61,7602,0,3088.616728747781656493164577,24.78369119358256788293646924,124.62295081967213
138.201.56.69:443 => 192.168.0.123:49712,138.201.56.69,443,192.168.0.123,49712,6,1679570061.458552,telesport,2.416381,288,288,412003,0,170504.1547669841800610085909,119.1865024596700603091979286,1430.5659722222222
138.201.56.69:443 => 192.168.0.123:49713,138.201.56.69,443,192.168.0.123,49713,6,1679570061.466849,telesport,2.413840,309,309,442005,0,183112.7995227521293872004772,128.0117986279123719882013721,1430.4368932038835
192.168.0.123:49715 => 138.201.56.69:443,192.168.0.123,49715,138.201.56.69,443,6,1679570061.934556,telesport,1.947802,93,93,8500,0,4363.893249929921008398184210,47.74612614629207691541542724,91.39784946236558
192.168.0.123:49716 => 138.201.56.69:443,192.168.0.123,49716,138.201.56.69,443,6,1679570061.935028,telesport,1.944326,34,34,6261,0,3220.139009610528275608102756,17.48677948039577725134571054,184.14705882352942
192.168.0.123:49717 => 138.201.56.69:443,192.168.0.123,49717,138.201.56.69,443,6,1679570061.935136,telesport,1.940432,57,57,7471,0,3850.173569596873273580316136,29.37490208365972113426288579,131.0701754385965
138.201.56.69:443 => 192.168.0.123:49715,138.201.56.69,443,192.168.0.123,49715,6,1679570061.982523,telesport,1.899785,546,546,783425,0,412375.6109243940761717773327,287.4009427382572238437507402,1434.8443223443223
138.201.56.69:443 => 192.168.0.123:49717,138.201.56.69,443,192.168.0.123,49717,6,1679570061.983864,telesport,1.891572,201,201,280782,0,148438.4416770812847726652752,106.2608243302396102289524269,1396.9253731343283
138.201.56.69:443 => 192.168.0.123:49716,138.201.56.69,443,192.168.0.123,49716,6,1679570061.984837,telesport,1.894440,82,82,108463,0,57253.33079960304892210890817,43.28455902535841726314900446,1322.719512195122
192.168.0.123:49725 => 138.201.56.69:443,192.168.0.123,49725,138.201.56.69,443,6,1679570062.191866,telesport,1.694642,17,17,2287,0,1349.547574059889935455394119,10.03161729734067726398850023,134.52941176470588
138.201.56.69:443 => 192.168.0.123:49725,138.201.56.69,443,192.168.0.123,49725,6,1679570062.237197,telesport,1.649267,16,16,15909,0,9646.103390172725216717487223,9.701279416856094252780174465,994.3125
