FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54716 => 138.201.56.69:443,192.168.0.123,54716,138.201.56.69,443,6,1679572094.922894,telesport,2.726544,60,60,6822,0,2502.068552717286058834920691,22.00587997112828547787968945,113.7
192.168.0.123:54717 => 138.201.56.69:443,192.168.0.123,54717,138.201.56.69,443,6,1679572094.923253,telesport,2.705186,52,52,6531,0,2414.251737218808614269037323,19.22233813127821894686723944,125.59615384615384
138.201.56.69:443 => 192.168.0.123:54716,138.201.56.69,443,192.168.0.123,54716,6,1679572094.964632,telesport,2.684668,288,288,410635,0,152955.5982341205690983019129,107.2758344793471669495073506,1425.8159722222222
138.201.56.69:443 => 192.168.0.123:54717,138.201.56.69,443,192.168.0.123,54717,6,1679572094.966997,telesport,2.661229,293,293,416497,0,156505.5092966445202573698092,110.0995066565109579070421974,1421.4914675767918
192.168.0.123:54719 => 138.201.56.69:443,192.168.0.123,54719,138.201.56.69,443,6,1679572095.598123,telesport,2.031428,60,60,6942,0,3417.300539325046223641694414,29.53587328716548162179511162,115.7
192.168.0.123:54720 => 138.201.56.69:443,192.168.0.123,54720,138.201.56.69,443,6,1679572095.598355,telesport,2.023970,37,37,6396,0,3160.125891194039437343438885,18.28090337307371156687105046,172.86486486486487
192.168.0.123:54721 => 138.201.56.69:443,192.168.0.123,54721,138.201.56.69,443,6,1679572095.598480,telesport,2.031825,64,64,6402,0,3150.861909859362888043999852,31.49877573117763586923086388,100.03125
138.201.56.69:443 => 192.168.0.123:54719,138.201.56.69,443,192.168.0.123,54719,6,1679572095.638926,telesport,1.990517,200,200,280032,0,140683.0486752939060555624494,100.4764088927650454630631138,1400.16
138.201.56.69:443 => 192.168.0.123:54720,138.201.56.69,443,192.168.0.123,54720,6,1679572095.647999,telesport,1.974269,63,63,81360,0,41210.18969552781307917006244,31.91054511821843933121575631,1291.4285714285713
138.201.56.69:443 => 192.168.0.123:54721,138.201.56.69,443,192.168.0.123,54721,6,1679572095.648006,telesport,1.982212,524,524,751726,0,379235.9243108204369663789746,264.3511390305376014270925612,1434.5916030534352
192.168.0.123:54729 => 138.201.56.69:443,192.168.0.123,54729,138.201.56.69,443,6,1679572095.855890,telesport,1.772529,8,8,1121,0,632.4297091895252489522033208,4.513325310897593212861397472,140.125
138.201.56.69:443 => 192.168.0.123:54729,138.201.56.69,443,192.168.0.123,54729,6,1679572095.902652,telesport,1.725568,5,5,815,0,472.3082486462428603219345746,2.897596617461612640011868556,163.0
