FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63498 => 138.201.56.69:443,192.168.0.123,63498,138.201.56.69,443,6,1679569176.197003,telesport,2.226752,55,55,6684,0,3001.681372689908889719196390,24.69965222889661713563073032,121.52727272727273
192.168.0.123:63499 => 138.201.56.69:443,192.168.0.123,63499,138.201.56.69,443,6,1679569176.197295,telesport,2.223313,71,71,7402,0,3329.265829867409582006672025,31.93432503655580658233905887,104.25352112676056
138.201.56.69:443 => 192.168.0.123:63498,138.201.56.69,443,192.168.0.123,63498,6,1679569176.237070,telesport,2.186526,271,271,386172,0,176614.4102562695344121222432,123.9408998566676088004441749,1424.9889298892988
138.201.56.69:443 => 192.168.0.123:63499,138.201.56.69,443,192.168.0.123,63499,6,1679569176.244354,telesport,2.176034,321,321,456303,0,209694.7933717947421777417081,147.5160774142315791021647640,1421.5046728971963
192.168.0.123:63501 => 138.201.56.69:443,192.168.0.123,63501,138.201.56.69,443,6,1679569176.879243,telesport,1.541384,73,73,6882,0,4464.818630529446263877138987,47.36003487774623325530821651,94.27397260273973
192.168.0.123:63502 => 138.201.56.69:443,192.168.0.123,63502,138.201.56.69,443,6,1679569176.879322,telesport,1.525119,32,32,6223,0,4080.337337611032319445236732,20.98196927584011477137193885,194.46875
192.168.0.123:63503 => 138.201.56.69:443,192.168.0.123,63503,138.201.56.69,443,6,1679569176.879449,telesport,1.541138,49,49,6365,0,4130.064926048154026440201981,31.79468678340291395060014093,129.89795918367346
138.201.56.69:443 => 192.168.0.123:63503,138.201.56.69,443,192.168.0.123,63503,6,1679569176.930949,telesport,1.489438,189,189,264670,0,177697.8967906015557545866293,126.8934994273007671349864848,1400.3703703703704
138.201.56.69:443 => 192.168.0.123:63502,138.201.56.69,443,192.168.0.123,63502,6,1679569176.933627,telesport,1.470690,52,52,63221,0,42987.30527847472954871522891,35.35755325731459383010695660,1215.7884615384614
138.201.56.69:443 => 192.168.0.123:63501,138.201.56.69,443,192.168.0.123,63501,6,1679569176.933627,telesport,1.486761,526,526,755096,0,507879.8811644911320649384804,353.7892102362114690928804293,1435.5437262357414
192.168.0.123:63512 => 138.201.56.69:443,192.168.0.123,63512,138.201.56.69,443,6,1679569177.170400,telesport,1.250162,8,8,1121,0,896.6837897808444025654275206,6.399170667481494398325976953,140.125
138.201.56.69:443 => 192.168.0.123:63512,138.201.56.69,443,192.168.0.123,63512,6,1679569177.216668,telesport,1.203714,5,5,815,0,677.0711315146288902513387732,4.153810622789134296020483271,163.0
