FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64094 => 51.178.75.191:443,192.168.0.123,64094,51.178.75.191,443,6,1679569295.376663,balkanweb,2.084376,44,44,8880,0,4260.267821160865410079563380,21.10943514989617995985369242,201.8181818181818
192.168.0.123:64095 => 51.178.75.191:443,192.168.0.123,64095,51.178.75.191,443,6,1679569295.376851,balkanweb,2.084186,39,39,7285,0,3495.369415205744592853037109,18.71234141290652561719539427,186.7948717948718
51.178.75.191:443 => 192.168.0.123:64094,51.178.75.191,443,192.168.0.123,64094,6,1679569295.394928,balkanweb,2.065985,72,72,89725,0,43429.64735949196146148205335,34.85020462394451072974876391,1246.1805555555557
51.178.75.191:443 => 192.168.0.123:64095,51.178.75.191,443,192.168.0.123,64095,6,1679569295.405621,balkanweb,2.055281,70,70,90629,0,44095.67353563819253912238764,34.05860317883540012290290233,1294.7
192.168.0.123:64097 => 51.178.75.191:443,192.168.0.123,64097,51.178.75.191,443,6,1679569295.473497,balkanweb,1.987545,31,31,6542,0,3291.497802565476504934479471,15.59713113413784341989741113,211.03225806451613
192.168.0.123:64098 => 51.178.75.191:443,192.168.0.123,64098,51.178.75.191,443,6,1679569295.473745,balkanweb,2.091345,25,25,6668,0,3188.378770599781480339207543,11.95402958383241406845833662,266.72
192.168.0.123:64099 => 51.178.75.191:443,192.168.0.123,64099,51.178.75.191,443,6,1679569295.473918,balkanweb,1.985178,20,20,5089,0,2563.498084302767812256633914,10.07466332993817179114416944,254.45
192.168.0.123:64100 => 51.178.75.191:443,192.168.0.123,64100,51.178.75.191,443,6,1679569295.473968,balkanweb,1.985130,25,25,6936,0,3493.977724380771032627586103,12.59363366630900747054349085,277.44
51.178.75.191:443 => 192.168.0.123:64097,51.178.75.191,443,192.168.0.123,64097,6,1679569295.507081,balkanweb,1.953832,45,45,54606,0,27948.15521498265971690503585,23.03166290653444103689570035,1213.4666666666667
51.178.75.191:443 => 192.168.0.123:64100,51.178.75.191,443,192.168.0.123,64100,6,1679569295.507094,balkanweb,1.951867,34,34,37829,0,19380.93118024947396518307856,17.41921964969949284454319890,1112.6176470588234
51.178.75.191:443 => 192.168.0.123:64099,51.178.75.191,443,192.168.0.123,64099,6,1679569295.507095,balkanweb,1.951859,26,26,27848,0,14267.42403011692955280068898,13.32063432860672825239937926,1071.076923076923
51.178.75.191:443 => 192.168.0.123:64098,51.178.75.191,443,192.168.0.123,64098,6,1679569295.507095,balkanweb,2.057760,46,46,50632,0,24605.39615893009874815333178,22.35440478967420884845657414,1100.695652173913
192.168.0.123:64113 => 51.178.75.191:443,192.168.0.123,64113,51.178.75.191,443,6,1679569295.760060,balkanweb,1.691147,12,12,1891,0,1118.176007171464100991812066,7.095775825519602967689976093,157.58333333333334
192.168.0.123:64114 => 51.178.75.191:443,192.168.0.123,64114,51.178.75.191,443,6,1679569295.760089,balkanweb,1.690990,12,12,1897,0,1121.828041561452167073726042,7.096434632966487087445815765,158.08333333333334
192.168.0.123:64115 => 51.178.75.191:443,192.168.0.123,64115,51.178.75.191,443,6,1679569295.760116,balkanweb,1.691065,12,12,1894,0,1120.004257671940463554032518,7.096119900772590054196615742,157.83333333333334
51.178.75.191:443 => 192.168.0.123:64113,51.178.75.191,443,192.168.0.123,64113,6,1679569295.807472,balkanweb,1.643235,12,12,9101,0,5538.465283419596101592285948,7.302668212398104957598882692,758.4166666666666
51.178.75.191:443 => 192.168.0.123:64114,51.178.75.191,443,192.168.0.123,64114,6,1679569295.821713,balkanweb,1.628993,12,12,8814,0,5410.704650050675478654604409,7.366514159361028561817024383,734.5
51.178.75.191:443 => 192.168.0.123:64115,51.178.75.191,443,192.168.0.123,64115,6,1679569295.827756,balkanweb,1.622950,13,13,10457,0,6443.205274346098154595027573,8.010105055608613943744416033,804.3846153846154
