FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55207 => 51.178.75.191:443,192.168.0.123,55207,51.178.75.191,443,6,1679572195.637826,balkanweb,0.208827,26,26,4559,0,21831.46815306449836467506596,124.5049730159414251988488079,175.34615384615384
192.168.0.123:55208 => 51.178.75.191:443,192.168.0.123,55208,51.178.75.191,443,6,1679572195.637979,balkanweb,4.802364,380,380,112673,0,23461.98663824732985671223589,79.12769627625061323964614094,296.5078947368421
51.178.75.191:443 => 192.168.0.123:55208,51.178.75.191,443,192.168.0.123,55208,6,1679572195.659538,balkanweb,4.780696,1966,1966,2749609,0,575148.2629307531790350191688,411.2371922414644227535070207,1398.5803662258393
51.178.75.191:443 => 192.168.0.123:55207,51.178.75.191,443,192.168.0.123,55207,6,1679572195.659543,balkanweb,0.187059,76,76,101182,0,540909.5526010510052977937442,406.2889248846620584949133696,1331.342105263158
192.168.0.123:55210 => 51.178.75.191:443,192.168.0.123,55210,51.178.75.191,443,6,1679572195.754737,balkanweb,0.100318,7,7,1557,0,15520.64435096393468769313583,69.77810562411531330369425228,222.42857142857142
192.168.0.123:55211 => 51.178.75.191:443,192.168.0.123,55211,51.178.75.191,443,6,1679572195.754870,balkanweb,0.100183,7,7,1559,0,15561.52241398241218570016869,69.87213399478953515067426609,222.71428571428572
192.168.0.123:55212 => 51.178.75.191:443,192.168.0.123,55212,51.178.75.191,443,6,1679572195.755007,balkanweb,4.674437,238,238,81350,0,17403.16534376225414953715282,50.91522251770641041905153498,341.8067226890756
192.168.0.123:55213 => 51.178.75.191:443,192.168.0.123,55213,51.178.75.191,443,6,1679572195.755209,balkanweb,4.690576,366,366,110005,0,23452.34359276984319196618923,78.02879646337677931239148454,300.5601092896175
51.178.75.191:443 => 192.168.0.123:55210,51.178.75.191,443,192.168.0.123,55210,6,1679572195.788594,balkanweb,0.066266,6,6,2247,0,33908.79183895210213382428395,90.54417046449159448284187970,374.5
51.178.75.191:443 => 192.168.0.123:55213,51.178.75.191,443,192.168.0.123,55213,6,1679572195.788599,balkanweb,4.657075,1451,1451,2020720,0,433903.2547253372556808726508,311.5689569096482234020280970,1392.6395589248793
51.178.75.191:443 => 192.168.0.123:55212,51.178.75.191,443,192.168.0.123,55212,6,1679572195.789375,balkanweb,4.638301,812,812,1120630,0,241603.5526801731927272507757,175.0641021356742479627777499,1380.0862068965516
51.178.75.191:443 => 192.168.0.123:55211,51.178.75.191,443,192.168.0.123,55211,6,1679572195.790609,balkanweb,0.064246,6,6,2693,0,41917.00650624163372038726146,93.39102823522086978177629736,448.8333333333333
192.168.0.123:55244 => 51.178.75.191:443,192.168.0.123,55244,51.178.75.191,443,6,1679572197.019878,balkanweb,0.093392,10,10,2011,0,21532.89360973102621209525441,107.0755525098509508309062875,201.1
192.168.0.123:55245 => 51.178.75.191:443,192.168.0.123,55245,51.178.75.191,443,6,1679572197.019927,balkanweb,0.744809,14,14,3097,0,4158.113019579516359227667764,18.79676534520930869524938608,221.21428571428572
51.178.75.191:443 => 192.168.0.123:55244,51.178.75.191,443,192.168.0.123,55244,6,1679572197.042881,balkanweb,0.066409,11,11,9049,0,136261.6512822057251276182445,165.6401993705672423918444789,822.6363636363636
51.178.75.191:443 => 192.168.0.123:55245,51.178.75.191,443,192.168.0.123,55245,6,1679572197.045066,balkanweb,0.717313,14,14,13992,0,19506.12912354857642340233622,19.51728185603774084674333241,999.4285714285714
