FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50230 => 51.178.75.191:443,192.168.0.123,50230,51.178.75.191,443,6,1679570186.231429,balkanweb,2.565661,32,32,5531,0,2155.779738632656457731555338,12.47241938822003374568970725,172.84375
192.168.0.123:50231 => 51.178.75.191:443,192.168.0.123,50231,51.178.75.191,443,6,1679570186.231863,balkanweb,2.538505,24,24,4466,0,1759.303211929856352459420013,9.454383584038636914246771230,186.08333333333334
51.178.75.191:443 => 192.168.0.123:50230,51.178.75.191,443,192.168.0.123,50230,6,1679570186.254219,balkanweb,2.542718,77,77,101410,0,39882.51941426457829771134668,30.28255591064364982668152740,1317.012987012987
51.178.75.191:443 => 192.168.0.123:50231,51.178.75.191,443,192.168.0.123,50231,6,1679570186.262673,balkanweb,2.507611,33,33,38409,0,15316.96901951698249848162255,13.15993589117291318310535406,1163.909090909091
192.168.0.123:50233 => 51.178.75.191:443,192.168.0.123,50233,51.178.75.191,443,6,1679570186.341503,balkanweb,2.459976,27,27,6821,0,2772.791279264513149721785904,10.97571683626181718846037522,252.62962962962962
192.168.0.123:50234 => 51.178.75.191:443,192.168.0.123,50234,51.178.75.191,443,6,1679570186.341737,balkanweb,2.459795,43,43,10197,0,4145.467406836748590837854374,17.48113155771111007218081182,237.13953488372093
192.168.0.123:50235 => 51.178.75.191:443,192.168.0.123,50235,51.178.75.191,443,6,1679570186.341864,balkanweb,2.480731,49,49,10542,0,4249.553861341677110496865642,19.75224238339424951758171281,215.14285714285714
192.168.0.123:50236 => 51.178.75.191:443,192.168.0.123,50236,51.178.75.191,443,6,1679570186.342173,balkanweb,2.429084,27,27,5192,0,2137.431229220562154293552631,11.11530107645515758203503872,192.2962962962963
51.178.75.191:443 => 192.168.0.123:50235,51.178.75.191,443,192.168.0.123,50235,6,1679570186.368269,balkanweb,2.454222,159,159,209834,0,85499.19281955748094508157779,64.78631517442187381581617311,1319.7106918238994
51.178.75.191:443 => 192.168.0.123:50236,51.178.75.191,443,192.168.0.123,50236,6,1679570186.369368,balkanweb,2.401776,58,58,74499,0,31018.29646061914183504206887,24.14879655721432806389938112,1284.4655172413793
51.178.75.191:443 => 192.168.0.123:50233,51.178.75.191,443,192.168.0.123,50233,6,1679570186.369374,balkanweb,2.431984,53,53,66702,0,27426.98965124770557701037507,21.79290653227981763037914723,1258.5283018867924
51.178.75.191:443 => 192.168.0.123:50234,51.178.75.191,443,192.168.0.123,50234,6,1679570186.370454,balkanweb,2.430909,89,89,116966,0,48116.15737158404530979974981,36.61181887104782614240187518,1314.2247191011236
192.168.0.123:50249 => 51.178.75.191:443,192.168.0.123,50249,51.178.75.191,443,6,1679570186.616482,balkanweb,2.147181,12,12,1897,0,883.4839727065394114422584775,5.588723074580112249502952942,158.08333333333334
192.168.0.123:50250 => 51.178.75.191:443,192.168.0.123,50250,51.178.75.191,443,6,1679570186.616514,balkanweb,2.147181,13,13,1946,0,906.3045919277415364610622020,6.054449997461788270294865687,149.69230769230768
192.168.0.123:50251 => 51.178.75.191:443,192.168.0.123,50251,51.178.75.191,443,6,1679570186.616542,balkanweb,2.146248,11,11,1839,0,856.8441298489270578236997775,5.125223180173027534562641410,167.1818181818182
51.178.75.191:443 => 192.168.0.123:50249,51.178.75.191,443,192.168.0.123,50249,6,1679570186.680684,balkanweb,2.082887,12,12,8814,0,4231.626583679287450543404419,5.761234286833611232870530182,734.5
51.178.75.191:443 => 192.168.0.123:50251,51.178.75.191,443,192.168.0.123,50251,6,1679570186.680684,balkanweb,2.081983,12,12,9101,0,4371.313310435291738693351483,5.763735823011042837525570574,758.4166666666666
51.178.75.191:443 => 192.168.0.123:50250,51.178.75.191,443,192.168.0.123,50250,6,1679570186.681827,balkanweb,2.081749,12,12,10405,0,4998.201031920755095835280814,5.764383698515046722731703006,867.0833333333334
