FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51555 => 188.40.137.224:443,192.168.0.123,51555,188.40.137.224,443,6,1679570412.079044,shqiperia,1.416047,71,71,10462,0,7388.172850194944094369749027,50.13957870042449155995528397,147.35211267605635
192.168.0.123:51556 => 188.40.137.224:443,192.168.0.123,51556,188.40.137.224,443,6,1679570412.079346,shqiperia,1.416166,60,60,6893,0,4867.367243670586640266748390,42.36791449589949200870519417,114.88333333333334
188.40.137.224:443 => 192.168.0.123:51555,188.40.137.224,443,192.168.0.123,51555,6,1679570412.118467,shqiperia,1.376588,221,221,305827,0,222163.0582280246522561579790,160.5418614719872612575440146,1383.8325791855204
188.40.137.224:443 => 192.168.0.123:51556,188.40.137.224,443,192.168.0.123,51556,6,1679570412.127479,shqiperia,1.367989,161,161,222854,0,162906.2806791575078454578217,117.6910048253311978385791114,1384.1863354037266
192.168.0.123:51558 => 188.40.137.224:443,192.168.0.123,51558,188.40.137.224,443,6,1679570412.344893,shqiperia,4.281315,43,43,4652,0,1086.582043133943659833485740,10.04364313300936744901975211,108.18604651162791
192.168.0.123:51559 => 188.40.137.224:443,192.168.0.123,51559,188.40.137.224,443,6,1679570412.345514,shqiperia,1.150908,45,45,7816,0,6791.159675664779461086377017,39.09956312754798819714521056,173.6888888888889
192.168.0.123:51560 => 188.40.137.224:443,192.168.0.123,51560,188.40.137.224,443,6,1679570412.371101,shqiperia,1.124430,55,55,7704,0,6851.471412182172300632320376,48.91367181594229965404693934,140.07272727272726
192.168.0.123:51561 => 188.40.137.224:443,192.168.0.123,51561,188.40.137.224,443,6,1679570412.372119,shqiperia,1.123425,39,39,7121,0,6338.651890424371898435587600,34.71526804192536217370986047,182.5897435897436
188.40.137.224:443 => 192.168.0.123:51558,188.40.137.224,443,192.168.0.123,51558,6,1679570412.406477,shqiperia,4.219430,101,101,135078,0,32013.32881455552053239418594,23.93688246990707275627276670,1337.4059405940593
188.40.137.224:443 => 192.168.0.123:51559,188.40.137.224,443,192.168.0.123,51559,6,1679570412.406478,shqiperia,1.089907,83,83,105201,0,96522.91434039785045880061326,76.15328647306605058963746448,1267.4819277108434
188.40.137.224:443 => 192.168.0.123:51560,188.40.137.224,443,192.168.0.123,51560,6,1679570412.419805,shqiperia,1.075668,152,152,208668,0,193989.2234406898782895837749,141.3075409884834354094386000,1372.8157894736842
188.40.137.224:443 => 192.168.0.123:51561,188.40.137.224,443,192.168.0.123,51561,6,1679570412.419806,shqiperia,1.075668,60,60,72770,0,67650.98524823644470226872976,55.77929249545398766162050001,1212.8333333333333
