FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54097 => 188.40.137.224:443,192.168.0.123,54097,188.40.137.224,443,6,1679571831.424037,shqiperia,1.897206,76,76,11209,0,5908.161791603020441638915331,40.05890767792216554238179723,147.48684210526315
192.168.0.123:54098 => 188.40.137.224:443,192.168.0.123,54098,188.40.137.224,443,6,1679571831.424262,shqiperia,1.896895,73,73,10414,0,5490.024487385964958524325279,38.48394349713610927331243954,142.65753424657535
188.40.137.224:443 => 192.168.0.123:54097,188.40.137.224,443,192.168.0.123,54097,6,1679571831.468303,shqiperia,1.852765,187,187,259660,0,140147.2933696394307966741600,100.9302313029445180581455284,1388.5561497326203
188.40.137.224:443 => 192.168.0.123:54098,188.40.137.224,443,192.168.0.123,54098,6,1679571831.472526,shqiperia,1.848534,273,273,381002,0,206110.3555574309155254920927,147.6845976325022964143478021,1395.6117216117216
192.168.0.123:54100 => 188.40.137.224:443,192.168.0.123,54100,188.40.137.224,443,6,1679571832.185606,shqiperia,1.135595,52,52,8097,0,7130.182855683584376472245827,45.79097301414676887446668927,155.71153846153845
192.168.0.123:54101 => 188.40.137.224:443,192.168.0.123,54101,188.40.137.224,443,6,1679571832.185821,shqiperia,1.135413,52,52,6879,0,6058.588372689056757320904376,45.79831303675402694878427497,132.28846153846155
192.168.0.123:54102 => 188.40.137.224:443,192.168.0.123,54102,188.40.137.224,443,6,1679571832.196746,shqiperia,1.124507,25,25,3130,0,2783.441988355786135613206498,22.23196476322512887869973242,125.2
192.168.0.123:54103 => 188.40.137.224:443,192.168.0.123,54103,188.40.137.224,443,6,1679571832.197222,shqiperia,2.644638,28,28,3949,0,1493.210034794932236472439706,10.58746036319526528772557908,141.03571428571428
188.40.137.224:443 => 192.168.0.123:54100,188.40.137.224,443,192.168.0.123,54100,6,1679571832.237083,shqiperia,1.083984,104,104,138407,0,127683.6189464051129905976472,95.94237553321820248269347149,1330.8365384615386
188.40.137.224:443 => 192.168.0.123:54101,188.40.137.224,443,192.168.0.123,54101,6,1679571832.243093,shqiperia,1.077975,128,128,174047,0,161457.3621837241123402676314,118.7411581901250028989540574,1359.7421875
188.40.137.224:443 => 192.168.0.123:54103,188.40.137.224,443,192.168.0.123,54103,6,1679571832.247535,shqiperia,2.594037,44,44,51449,0,19833.56444029132969190493428,16.96197856854007864961062622,1169.2954545454545
188.40.137.224:443 => 192.168.0.123:54102,188.40.137.224,443,192.168.0.123,54102,6,1679571832.251667,shqiperia,1.069402,41,41,46777,0,43741.26848462972764217759084,38.33918395514502497657569371,1140.9024390243903
