FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51934 => 65.254.227.240:443,192.168.0.123,51934,65.254.227.240,443,6,1679571416.330359,tribuna-news,3.889371,71,71,12020,0,3090.474012378865374375445284,18.25487977361892192850720592,169.29577464788733
192.168.0.123:51935 => 65.254.227.240:443,192.168.0.123,51935,65.254.227.240,443,6,1679571416.330569,tribuna-news,3.896972,76,76,10700,0,2745.721549962381048670608873,19.50232128945242614009030601,140.78947368421052
65.254.227.240:443 => 192.168.0.123:51934,65.254.227.240,443,192.168.0.123,51934,6,1679571416.441807,tribuna-news,3.777709,338,338,472106,0,124971.5105107354748605570201,89.47221715595351574194836077,1396.7633136094676
65.254.227.240:443 => 192.168.0.123:51935,65.254.227.240,443,192.168.0.123,51935,6,1679571416.455791,tribuna-news,3.771668,433,433,616181,0,163370.9541773029863710167491,114.8033177893706444999931065,1423.0508083140878
192.168.0.123:51936 => 65.254.227.240:443,192.168.0.123,51936,65.254.227.240,443,6,1679571418.207911,tribuna-news,1.993568,55,55,10357,0,5195.207788247002359588436411,27.58872534069567729819098220,188.3090909090909
192.168.0.123:51937 => 65.254.227.240:443,192.168.0.123,51937,65.254.227.240,443,6,1679571418.208390,tribuna-news,2.011271,94,94,11618,0,5776.446833867738360469573717,46.73661580164980253779823803,123.59574468085107
192.168.0.123:51938 => 65.254.227.240:443,192.168.0.123,51938,65.254.227.240,443,6,1679571418.208586,tribuna-news,2.014938,64,64,11125,0,5521.261696389665587725279885,31.76276391630908742601509327,173.828125
192.168.0.123:51939 => 65.254.227.240:443,192.168.0.123,51939,65.254.227.240,443,6,1679571418.209111,tribuna-news,2.018485,45,45,7631,0,3780.558190920418036299501854,22.29394818391020988513662475,169.57777777777778
65.254.227.240:443 => 192.168.0.123:51937,65.254.227.240,443,192.168.0.123,51937,6,1679571418.324458,tribuna-news,1.895045,402,402,568723,0,300110.5514644770968499428773,212.1321657269352442817980576,1414.733830845771
65.254.227.240:443 => 192.168.0.123:51936,65.254.227.240,443,192.168.0.123,51936,6,1679571418.326893,tribuna-news,1.874371,258,258,358707,0,191374.5997990792644572499254,137.6461757037427489008312655,1390.3372093023256
65.254.227.240:443 => 192.168.0.123:51938,65.254.227.240,443,192.168.0.123,51938,6,1679571418.332515,tribuna-news,1.890921,380,380,536378,0,283659.6557973601223953829906,200.9602727982818954361393205,1411.5210526315789
65.254.227.240:443 => 192.168.0.123:51939,65.254.227.240,443,192.168.0.123,51939,6,1679571418.332521,tribuna-news,1.894945,202,202,278398,0,146916.1374076820171561707596,106.5993999825852465374984498,1378.2079207920792
