FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49426 => 65.254.227.240:443,192.168.0.123,49426,65.254.227.240,443,6,1679570023.999204,tribuna-news,3.982803,81,81,14384,0,3611.526856839266215276025452,20.33743572052145185187417003,177.58024691358025
192.168.0.123:49427 => 65.254.227.240:443,192.168.0.123,49427,65.254.227.240,443,6,1679570023.999588,tribuna-news,4.000690,75,75,10221,0,2554.809295396544096143415261,18.74676618283346122793818066,136.28
65.254.227.240:443 => 192.168.0.123:49426,65.254.227.240,443,192.168.0.123,49426,6,1679570024.108635,tribuna-news,3.873198,424,424,593927,0,153342.7932163550636967178027,109.4702620418579168945145588,1400.7712264150944
65.254.227.240:443 => 192.168.0.123:49427,65.254.227.240,443,192.168.0.123,49427,6,1679570024.122659,tribuna-news,3.877555,380,380,536886,0,138459.9315805965357035554621,97.99989942115585723477810115,1412.8578947368421
192.168.0.123:49429 => 65.254.227.240:443,192.168.0.123,49429,65.254.227.240,443,6,1679570026.056242,tribuna-news,1.942698,48,48,7044,0,3625.885237952579350985073336,24.70790622114193765577562750,146.75
192.168.0.123:49430 => 65.254.227.240:443,192.168.0.123,49430,65.254.227.240,443,6,1679570026.056713,tribuna-news,1.937324,50,50,9369,0,4836.052203967947540008795638,25.80879605063479314766141337,187.38
192.168.0.123:49431 => 65.254.227.240:443,192.168.0.123,49431,65.254.227.240,443,6,1679570026.057223,tribuna-news,1.941660,84,84,11168,0,5751.779405251176828074946180,43.26195111399524118537746052,132.95238095238096
192.168.0.123:49432 => 65.254.227.240:443,192.168.0.123,49432,65.254.227.240,443,6,1679570026.057495,tribuna-news,1.936590,71,71,11526,0,5951.698604247672455191857853,36.66238078271601113297084050,162.33802816901408
65.254.227.240:443 => 192.168.0.123:49430,65.254.227.240,443,192.168.0.123,49430,6,1679570026.172562,tribuna-news,1.821395,211,211,290865,0,159693.5316062688214253360748,115.8452724422763870549770917,1378.5071090047393
65.254.227.240:443 => 192.168.0.123:49432,65.254.227.240,443,192.168.0.123,49432,6,1679570026.173841,tribuna-news,1.820123,322,322,452420,0,248565.6189169633041283473699,176.9111208418332167661196524,1405.0310559006211
65.254.227.240:443 => 192.168.0.123:49431,65.254.227.240,443,192.168.0.123,49431,6,1679570026.176200,tribuna-news,1.822557,444,444,630221,0,345789.4595340502382092850868,243.6137799805438183826349464,1419.4166666666667
65.254.227.240:443 => 192.168.0.123:49429,65.254.227.240,443,192.168.0.123,49429,6,1679570026.177129,tribuna-news,1.821634,205,205,283611,0,155690.4405605077639086666147,112.5363272754021938545284069,1383.4682926829269
