FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:51734 => 173.231.244.176:443,192.168.178.41,51734,173.231.244.176,443,6,1679953934.181439,bulevardionline,4.511233,91,91,8151,0,1806.823101356103752566094458,20.17186875517181222960552026,89.57142857142857
192.168.178.41:51735 => 173.231.244.176:443,192.168.178.41,51735,173.231.244.176,443,6,1679953934.181677,bulevardionline,0.683855,13,13,1638,0,2395.244605947167162629504793,19.00987782497751716372622851,126.0
173.231.244.176:443 => 192.168.178.41:51734,173.231.244.176,443,192.168.178.41,51734,6,1679953934.316019,bulevardionline,4.376379,210,210,297761,0,68038.21149859278641086615213,47.98487516734725214612354186,1417.9095238095238
173.231.244.176:443 => 192.168.178.41:51735,173.231.244.176,443,192.168.178.41,51735,6,1679953934.317408,bulevardionline,0.547940,9,9,6459,0,11787.78698397634777530386539,16.42515603898237033251815892,717.6666666666666
192.168.178.41:51748 => 173.231.244.176:443,192.168.178.41,51748,173.231.244.176,443,6,1679953935.428815,bulevardionline,3.263755,207,207,13451,0,4121.326508883172909731275785,63.42387832420019272279935228,64.98067632850241
192.168.178.41:51749 => 173.231.244.176:443,192.168.178.41,51749,173.231.244.176,443,6,1679953935.428853,bulevardionline,0.674620,10,10,1412,0,2093.030150306839405887759035,14.82315970472265868192463906,141.2
192.168.178.41:51750 => 173.231.244.176:443,192.168.178.41,51750,173.231.244.176,443,6,1679953935.428884,bulevardionline,0.674552,10,10,1412,0,2093.241143751704835209146219,14.82465399257581328051803271,141.2
192.168.178.41:51752 => 173.231.244.176:443,192.168.178.41,51752,173.231.244.176,443,6,1679953935.485984,bulevardionline,0.623285,11,11,1464,0,2348.845231314727612568889032,17.64842728446858178842744491,133.0909090909091
192.168.178.41:51753 => 173.231.244.176:443,192.168.178.41,51753,173.231.244.176,443,6,1679953935.486269,bulevardionline,0.622946,10,10,1412,0,2266.649115653684267978283832,16.05275577658416620381220844,141.2
192.168.178.41:51754 => 173.231.244.176:443,192.168.178.41,51754,173.231.244.176,443,6,1679953935.486346,bulevardionline,0.622901,10,10,1412,0,2266.812864323544190810417707,16.05391546971348577061202342,141.2
173.231.244.176:443 => 192.168.178.41:51748,173.231.244.176,443,192.168.178.41,51748,6,1679953935.565188,bulevardionline,3.127211,727,727,1075150,0,343804.7512623868360657467629,232.4755189208531180019512594,1478.8858321870703
173.231.244.176:443 => 192.168.178.41:51750,173.231.244.176,443,192.168.178.41,51750,6,1679953935.565196,bulevardionline,0.538180,8,8,5640,0,10479.76513434167007320970679,14.86491508417258166412724367,705.0
173.231.244.176:443 => 192.168.178.41:51749,173.231.244.176,443,192.168.178.41,51749,6,1679953935.565197,bulevardionline,0.538186,8,8,5640,0,10479.64830003010111745753327,14.86474936174482428008160747,705.0
173.231.244.176:443 => 192.168.178.41:51752,173.231.244.176,443,192.168.178.41,51752,6,1679953935.629627,bulevardionline,0.479513,8,8,5640,0,11761.93346165797381927080183,16.68359356263542385712170473,705.0
173.231.244.176:443 => 192.168.178.41:51753,173.231.244.176,443,192.168.178.41,51753,6,1679953935.629635,bulevardionline,0.479497,8,8,5640,0,11762.32593738855509002141828,16.68415026579936892201619614,705.0
173.231.244.176:443 => 192.168.178.41:51754,173.231.244.176,443,192.168.178.41,51754,6,1679953935.629635,bulevardionline,0.479505,8,8,5640,0,11762.12969624925704632902681,16.68387190957341425011209476,705.0
