FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:53978 => 173.231.244.176:443,192.168.178.41,53978,173.231.244.176,443,6,1679951530.018189,bulevardionline,1.334255,104,104,8839,0,6624.670696381126546274887484,77.94611974472645783602085059,84.99038461538461
192.168.178.41:53979 => 173.231.244.176:443,192.168.178.41,53979,173.231.244.176,443,6,1679951530.018459,bulevardionline,0.809492,11,11,1558,0,1924.663863262391722215908249,13.58876925281534592065147030,141.63636363636363
173.231.244.176:443 => 192.168.178.41:53979,173.231.244.176,443,192.168.178.41,53979,6,1679951530.156474,bulevardionline,0.671451,9,9,6521,0,9711.803244019295525660100290,13.40380757493845418355174093,724.5555555555555
173.231.244.176:443 => 192.168.178.41:53978,173.231.244.176,443,192.168.178.41,53978,6,1679951530.156493,bulevardionline,1.195837,213,213,305135,0,255164.3744088868298940407430,178.1179207534137177558479960,1432.5586854460093
192.168.178.41:53998 => 173.231.244.176:443,192.168.178.41,53998,173.231.244.176,443,6,1679951531.593950,bulevardionline,2.902346,199,199,13044,0,4494.295304557072106495917441,68.56522275428222548242008362,65.54773869346734
192.168.178.41:53999 => 173.231.244.176:443,192.168.178.41,53999,173.231.244.176,443,6,1679951531.594097,bulevardionline,0.682521,12,12,1590,0,2329.598649711876997191295213,17.58187660159907167691543557,132.5
192.168.178.41:54000 => 173.231.244.176:443,192.168.178.41,54000,173.231.244.176,443,6,1679951531.594189,bulevardionline,0.681049,10,10,1412,0,2073.272260879907319443975397,14.68323130934778554847008071,141.2
192.168.178.41:54001 => 173.231.244.176:443,192.168.178.41,54001,173.231.244.176,443,6,1679951531.594284,bulevardionline,0.682322,10,10,1412,0,2069.404181603407188981155525,14.65583698019410190496569069,141.2
192.168.178.41:54002 => 173.231.244.176:443,192.168.178.41,54002,173.231.244.176,443,6,1679951531.594373,bulevardionline,0.688374,10,10,1412,0,2051.210533808656340884461063,14.52698678334742451051318034,141.2
192.168.178.41:54003 => 173.231.244.176:443,192.168.178.41,54003,173.231.244.176,443,6,1679951531.594459,bulevardionline,0.682171,10,10,1412,0,2069.862248615083314887322973,14.65908108084336625274308055,141.2
173.231.244.176:443 => 192.168.178.41:53998,173.231.244.176,443,192.168.178.41,53998,6,1679951531.724341,bulevardionline,1.369969,727,727,1078851,0,787500.3011017037611799975036,530.6689421439463228729993160,1483.9766162310866
173.231.244.176:443 => 192.168.178.41:53999,173.231.244.176,443,192.168.178.41,53999,6,1679951531.724349,bulevardionline,0.552235,9,9,6360,0,11516.83612954629822448776336,16.29740961728249748748268400,706.6666666666666
173.231.244.176:443 => 192.168.178.41:54000,173.231.244.176,443,192.168.178.41,54000,6,1679951531.728513,bulevardionline,0.546666,8,8,5640,0,10317.08575254360066292763772,14.63416418800510732330161378,705.0
173.231.244.176:443 => 192.168.178.41:54001,173.231.244.176,443,192.168.178.41,54001,6,1679951531.728518,bulevardionline,0.548062,8,8,5640,0,10290.80651459141483992686959,14.59688867317931182968350296,705.0
173.231.244.176:443 => 192.168.178.41:54002,173.231.244.176,443,192.168.178.41,54002,6,1679951531.728518,bulevardionline,0.554193,8,8,5640,0,10176.96001212573958891577483,14.43540427251877955874577990,705.0
173.231.244.176:443 => 192.168.178.41:54003,173.231.244.176,443,192.168.178.41,54003,6,1679951531.728518,bulevardionline,0.548066,8,8,5640,0,10290.73140826104885178062496,14.59678213937737425784485810,705.0
