FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:58715 => 173.231.244.176:443,192.168.178.41,58715,173.231.244.176,443,6,1679952467.759791,bulevardionline,0.669888,12,12,1586,0,2367.559950320053501480844559,17.91344224706219547148179994,132.16666666666666
192.168.178.41:58716 => 173.231.244.176:443,192.168.178.41,58716,173.231.244.176,443,6,1679952467.760020,bulevardionline,4.619341,85,85,7815,0,1691.799761048166827259559318,18.40089311440744469828055560,91.94117647058823
173.231.244.176:443 => 192.168.178.41:58715,173.231.244.176,443,192.168.178.41,58715,6,1679952467.889419,bulevardionline,0.540064,9,9,6459,0,11959.69366593588907981276293,16.66469159210760206197783966,717.6666666666666
173.231.244.176:443 => 192.168.178.41:58716,173.231.244.176,443,192.168.178.41,58716,6,1679952467.892655,bulevardionline,4.486605,209,209,296239,0,66027.43054046433773421105714,46.58310682576246404575397210,1417.4114832535886
192.168.178.41:58739 => 173.231.244.176:443,192.168.178.41,58739,173.231.244.176,443,6,1679952469.339463,bulevardionline,0.693216,10,10,1412,0,2036.883164843281170659650095,14.42551816461247288002585053,141.2
192.168.178.41:58740 => 173.231.244.176:443,192.168.178.41,58740,173.231.244.176,443,6,1679952469.339543,bulevardionline,0.696215,10,10,1412,0,2028.109132954618903643271116,14.36337912857378826942826569,141.2
192.168.178.41:58741 => 173.231.244.176:443,192.168.178.41,58741,173.231.244.176,443,6,1679952469.339611,bulevardionline,0.693047,11,11,1464,0,2112.410846594819687553657977,15.87193942113594027533486185,133.0909090909091
192.168.178.41:58742 => 173.231.244.176:443,192.168.178.41,58742,173.231.244.176,443,6,1679952469.339666,bulevardionline,0.696108,10,10,1412,0,2028.420877220201462991374902,14.36558694915156843478310837,141.2
192.168.178.41:58743 => 173.231.244.176:443,192.168.178.41,58743,173.231.244.176,443,6,1679952469.339718,bulevardionline,3.039713,240,240,15188,0,4996.524342923164127666000047,78.95482237961281213061891040,63.28333333333333
192.168.178.41:58744 => 173.231.244.176:443,192.168.178.41,58744,173.231.244.176,443,6,1679952469.339769,bulevardionline,0.691958,10,10,1412,0,2040.586278357935019177464528,14.45174418100520551825399808,141.2
173.231.244.176:443 => 192.168.178.41:58743,173.231.244.176,443,192.168.178.41,58743,6,1679952469.474136,bulevardionline,2.905123,707,707,1044562,0,359558.6142135806298046588733,243.3631897857681068925480952,1477.4568599717115
173.231.244.176:443 => 192.168.178.41:58740,173.231.244.176,443,192.168.178.41,58740,6,1679952469.474158,bulevardionline,0.561564,8,8,5640,0,10043.37884907152167874009018,14.24592744549152011168807117,705.0
173.231.244.176:443 => 192.168.178.41:58744,173.231.244.176,443,192.168.178.41,58744,6,1679952469.476191,bulevardionline,0.555266,8,8,5640,0,10157.29398162322202331855363,14.40750919379180428839511153,705.0
173.231.244.176:443 => 192.168.178.41:58742,173.231.244.176,443,192.168.178.41,58742,6,1679952469.476204,bulevardionline,0.559528,8,8,5640,0,10079.92450779943094894268026,14.29776525928997297722365994,705.0
173.231.244.176:443 => 192.168.178.41:58739,173.231.244.176,443,192.168.178.41,58739,6,1679952469.476204,bulevardionline,0.556415,8,8,5640,0,10136.31911433013128689916699,14.37775760897890962680732906,705.0
173.231.244.176:443 => 192.168.178.41:58741,173.231.244.176,443,192.168.178.41,58741,6,1679952469.476205,bulevardionline,0.556413,8,8,5640,0,10136.35554884591122062209186,14.37780928914313648315190335,705.0
