FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:65522 => 173.231.244.176:443,192.168.178.41,65522,173.231.244.176,443,6,1679950480.528842,bulevardionline,0.683226,12,12,1586,0,2321.340230026374874492481258,17.56373440120838492680313688,132.16666666666666
192.168.178.41:65523 => 173.231.244.176:443,192.168.178.41,65523,173.231.244.176,443,6,1679950480.529094,bulevardionline,3.928865,87,87,7919,0,2015.594834640538679745931713,22.14379979968769606489405973,91.02298850574712
173.231.244.176:443 => 192.168.178.41:65523,173.231.244.176,443,192.168.178.41,65523,6,1679950480.661081,bulevardionline,3.796767,210,210,296342,0,78051.14193207010069356376096,55.31021524365335033727379110,1411.152380952381
173.231.244.176:443 => 192.168.178.41:65522,173.231.244.176,443,192.168.178.41,65522,6,1679950480.661086,bulevardionline,0.550796,9,9,6459,0,11726.66468166072375253269813,16.33998794472000522879614231,717.6666666666666
192.168.178.41:49159 => 173.231.244.176:443,192.168.178.41,49159,173.231.244.176,443,6,1679950482.126899,bulevardionline,2.331187,185,185,12157,0,5214.939856819723171071218225,79.35871296468279893462000260,65.71351351351352
192.168.178.41:49160 => 173.231.244.176:443,192.168.178.41,49160,173.231.244.176,443,6,1679950482.126959,bulevardionline,0.694141,10,10,1412,0,2034.168850420879907684461802,14.40629497465212399209958784,141.2
192.168.178.41:49161 => 173.231.244.176:443,192.168.178.41,49161,173.231.244.176,443,6,1679950482.126998,bulevardionline,0.695321,10,10,1412,0,2030.716748091888494666492167,14.38184665787456440981934962,141.2
192.168.178.41:49162 => 173.231.244.176:443,192.168.178.41,49162,173.231.244.176,443,6,1679950482.127034,bulevardionline,0.695328,10,10,1412,0,2030.696304477886695199963183,14.38170187307285194900823784,141.2
192.168.178.41:49163 => 173.231.244.176:443,192.168.178.41,49163,173.231.244.176,443,6,1679950482.127070,bulevardionline,0.694491,10,10,1412,0,2033.143698046482963782108047,14.39903468871446858202626096,141.2
192.168.178.41:49164 => 173.231.244.176:443,192.168.178.41,49164,173.231.244.176,443,6,1679950482.127105,bulevardionline,0.694443,12,12,1590,0,2289.604762377905746043951771,17.28003594247476034750152280,132.5
173.231.244.176:443 => 192.168.178.41:49159,173.231.244.176,443,192.168.178.41,49159,6,1679950482.281619,bulevardionline,2.176229,732,732,1083410,0,497838.2330168378419734320239,336.3616604686363429583927059,1480.068306010929
173.231.244.176:443 => 192.168.178.41:49164,173.231.244.176,443,192.168.178.41,49164,6,1679950482.281630,bulevardionline,0.539880,9,9,6298,0,11665.55530858709342816922279,16.67037119359857746165814625,699.7777777777778
173.231.244.176:443 => 192.168.178.41:49163,173.231.244.176,443,192.168.178.41,49163,6,1679950482.281630,bulevardionline,0.539880,8,8,5640,0,10446.76594798844187597243832,14.81810772764317996591835223,705.0
173.231.244.176:443 => 192.168.178.41:49160,173.231.244.176,443,192.168.178.41,49160,6,1679950482.281631,bulevardionline,0.539346,8,8,5640,0,10457.10916554493775795129657,14.83277895821976986943446322,705.0
173.231.244.176:443 => 192.168.178.41:49161,173.231.244.176,443,192.168.178.41,49161,6,1679950482.281631,bulevardionline,0.540635,8,8,5640,0,10432.17697707325644843563587,14.79741415187695950132714308,705.0
173.231.244.176:443 => 192.168.178.41:49162,173.231.244.176,443,192.168.178.41,49162,6,1679950482.281632,bulevardionline,0.540640,8,8,5640,0,10432.08049718851731281444214,14.79727730097662030186445694,705.0
