FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:63114 => 144.91.119.216:443,192.168.178.41,63114,144.91.119.216,443,6,1679953314.634902,gazetaolle,1.666161,160,160,18305,0,10986.33325350911466538947917,96.02913523963170425907220251,114.40625
192.168.178.41:63115 => 144.91.119.216:443,192.168.178.41,63115,144.91.119.216,443,6,1679953314.635124,gazetaolle,1.666041,120,120,16985,0,10194.82713810764561016205484,72.02703895042198841445078482,141.54166666666666
144.91.119.216:443 => 192.168.178.41:63114,144.91.119.216,443,192.168.178.41,63114,6,1679953314.690962,gazetaolle,1.609964,411,411,592918,0,368280.2845281012494689322246,255.2852113463406635179420161,1442.6228710462287
144.91.119.216:443 => 192.168.178.41:63115,144.91.119.216,443,192.168.178.41,63115,6,1679953314.690968,gazetaolle,1.609959,210,210,290632,0,180521.3673143229113287978141,130.4381043243958386517917537,1383.9619047619049
192.168.178.41:63117 => 144.91.119.216:443,192.168.178.41,63117,144.91.119.216,443,6,1679953314.830633,gazetaolle,1.470667,131,131,16152,0,10982.77176274438741061028771,89.07522913072775822126966880,123.29770992366412
192.168.178.41:63118 => 144.91.119.216:443,192.168.178.41,63118,144.91.119.216,443,6,1679953314.830836,gazetaolle,1.470377,82,82,14362,0,9767.563012751151575412292222,55.76801051703066628490516378,175.14634146341464
192.168.178.41:63119 => 144.91.119.216:443,192.168.178.41,63119,144.91.119.216,443,6,1679953314.831082,gazetaolle,1.470203,125,125,15992,0,10877.40944617852092534160249,85.02227243448693819833043464,127.936
192.168.178.41:63120 => 144.91.119.216:443,192.168.178.41,63120,144.91.119.216,443,6,1679953314.831262,gazetaolle,1.469855,117,117,15473,0,10526.88870670916518976361614,79.59968840463855278241731327,132.24786324786325
144.91.119.216:443 => 192.168.178.41:63119,144.91.119.216,443,192.168.178.41,63119,6,1679953314.889942,gazetaolle,1.410984,293,293,420810,0,298238.6759878212651596332772,207.6565007115601594348341299,1436.2116040955632
144.91.119.216:443 => 192.168.178.41:63118,144.91.119.216,443,192.168.178.41,63118,6,1679953314.889942,gazetaolle,1.410986,149,149,201148,0,142558.4662073188536243449616,105.5999138191307355282050991,1349.986577181208
144.91.119.216:443 => 192.168.178.41:63117,144.91.119.216,443,192.168.178.41,63117,6,1679953314.889942,gazetaolle,1.410985,366,366,524706,0,371872.1318795026169661619365,259.3932607362941491227759331,1433.622950819672
144.91.119.216:443 => 192.168.178.41:63120,144.91.119.216,443,192.168.178.41,63120,6,1679953314.891807,gazetaolle,1.409119,271,271,385136,0,273316.8738765143327142704058,192.3187466778888085392362178,1421.1660516605166
