FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:51317 => 144.91.119.216:443,192.168.178.41,51317,144.91.119.216,443,6,1679953880.621182,gazetaolle,1.566831,150,150,17609,0,11238.60837575973413852546956,95.73463889851553868923961806,117.39333333333333
192.168.178.41:51318 => 144.91.119.216:443,192.168.178.41,51318,144.91.119.216,443,6,1679953880.621559,gazetaolle,1.566428,121,121,17626,0,11252.35248603829860038252636,77.24581021278986330683567965,145.6694214876033
144.91.119.216:443 => 192.168.178.41:51318,144.91.119.216,443,192.168.178.41,51318,6,1679953880.675240,gazetaolle,1.512652,201,201,279045,0,184474.0231064382290176458300,132.8792081721374116452429243,1388.2835820895523
144.91.119.216:443 => 192.168.178.41:51317,144.91.119.216,443,192.168.178.41,51317,6,1679953880.675245,gazetaolle,1.512648,371,371,533937,0,352981.6586542275532708204420,245.2652566889322565461363120,1439.1832884097034
192.168.178.41:51320 => 144.91.119.216:443,192.168.178.41,51320,144.91.119.216,443,6,1679953880.802272,gazetaolle,1.385695,106,106,14802,0,10682.00433717376478950995710,76.49590999462363651452881045,139.64150943396226
192.168.178.41:51321 => 144.91.119.216:443,192.168.178.41,51321,144.91.119.216,443,6,1679953880.802604,gazetaolle,1.383616,97,97,16561,0,11969.36144132476062722605116,70.10615662149035570562930755,170.7319587628866
192.168.178.41:51322 => 144.91.119.216:443,192.168.178.41,51322,144.91.119.216,443,6,1679953880.803044,gazetaolle,1.384897,83,83,14890,0,10751.70211214263587833607842,59.93225488971381987252481592,179.3975903614458
192.168.178.41:51323 => 144.91.119.216:443,192.168.178.41,51323,144.91.119.216,443,6,1679953880.803143,gazetaolle,1.384857,135,135,15823,0,11425.72843261073164954937586,97.48298921838139244701799536,117.2074074074074
144.91.119.216:443 => 192.168.178.41:51320,144.91.119.216,443,192.168.178.41,51320,6,1679953880.856653,gazetaolle,1.331239,250,250,354103,0,265995.0617432331835230187818,187.7949789632064565416127382,1416.412
144.91.119.216:443 => 192.168.178.41:51322,144.91.119.216,443,192.168.178.41,51322,6,1679953880.856657,gazetaolle,1.331230,127,127,169170,0,127077.9654905613605462617279,95.40049427972626818806667518,1332.0472440944882
144.91.119.216:443 => 192.168.178.41:51323,144.91.119.216,443,192.168.178.41,51323,6,1679953880.856657,gazetaolle,1.331236,419,419,608963,0,457441.8059607763011216643781,314.7450940329137733655039377,1453.3723150357996
144.91.119.216:443 => 192.168.178.41:51321,144.91.119.216,443,192.168.178.41,51321,6,1679953880.856658,gazetaolle,1.329513,151,151,201370,0,151461.4749912185890623107860,113.5754219778219543547148467,1333.5761589403974
