FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:53552 => 144.91.119.216:443,192.168.178.41,53552,144.91.119.216,443,6,1679951474.177702,gazetaolle,1.728882,120,120,18641,0,10782.11237088476830691741831,69.40901692538877725605333389,155.34166666666667
192.168.178.41:53553 => 144.91.119.216:443,192.168.178.41,53553,144.91.119.216,443,6,1679951474.178110,gazetaolle,1.728523,144,144,17924,0,10369.54671705265130981768828,83.30811912829623904339138097,124.47222222222223
144.91.119.216:443 => 192.168.178.41:53552,144.91.119.216,443,192.168.178.41,53552,6,1679951474.230997,gazetaolle,1.675508,180,180,245547,0,146550.7774358582591070887158,107.4301047801621955848614271,1364.15
144.91.119.216:443 => 192.168.178.41:53553,144.91.119.216,443,192.168.178.41,53553,6,1679951474.231002,gazetaolle,1.675503,452,452,654378,0,390556.1494070735773078293504,269.7697348199316861861781208,1447.7389380530974
192.168.178.41:53555 => 144.91.119.216:443,192.168.178.41,53555,144.91.119.216,443,6,1679951474.370261,gazetaolle,1.531156,97,97,14711,0,9607.773473114431187939047360,63.35082774060905616410084929,151.659793814433
192.168.178.41:53556 => 144.91.119.216:443,192.168.178.41,53556,144.91.119.216,443,6,1679951474.370400,gazetaolle,1.532137,128,128,16512,0,10777.10413624891246670500092,83.54344291665823617600775910,129.0
192.168.178.41:53557 => 144.91.119.216:443,192.168.178.41,53557,144.91.119.216,443,6,1679951474.370768,gazetaolle,1.531754,100,100,15363,0,10029.67839483363516596006931,65.28463447786002190952333077,153.63
192.168.178.41:53558 => 144.91.119.216:443,192.168.178.41,53558,144.91.119.216,443,6,1679951474.371141,gazetaolle,1.531407,92,92,14671,0,9580.078973127326700217512392,60.07547307802563263717613933,159.4673913043478
144.91.119.216:443 => 192.168.178.41:53555,144.91.119.216,443,192.168.178.41,53555,6,1679951474.424507,gazetaolle,1.476888,178,178,246154,0,166670.7292631533332249974270,120.5236957711078971458905482,1382.887640449438
144.91.119.216:443 => 192.168.178.41:53557,144.91.119.216,443,192.168.178.41,53557,6,1679951474.424511,gazetaolle,1.477977,178,178,246387,0,166705.5711963041373444918290,120.4348917473005330935461107,1384.1966292134832
144.91.119.216:443 => 192.168.178.41:53556,144.91.119.216,443,192.168.178.41,53556,6,1679951474.426130,gazetaolle,1.476359,367,367,528654,0,358079.5727868357222057778630,248.5845244957357932589566630,1440.474114441417
144.91.119.216:443 => 192.168.178.41:53558,144.91.119.216,443,192.168.178.41,53558,6,1679951474.426133,gazetaolle,1.476359,171,171,234447,0,158800.8065788876553737945852,115.8254868903837074857808975,1371.0350877192982
