FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:57895 => 5.9.72.90:443,192.168.178.41,57895,5.9.72.90,443,6,1679948227.631939,rtv21,2.690624,129,129,7954,0,2956.191574891177659903427606,47.94426869008824718726957018,61.65891472868217
192.168.178.41:57896 => 5.9.72.90:443,192.168.178.41,57896,5.9.72.90,443,6,1679948227.632278,rtv21,2.688474,193,193,18514,0,6886.434460589910856493311819,71.78793620470199823394237772,95.92746113989638
5.9.72.90:443 => 192.168.178.41:57895,5.9.72.90,443,192.168.178.41,57895,6,1679948227.674720,rtv21,2.647690,550,550,353823,0,133634.6022381774301372139488,207.7282461315335254504870283,643.3145454545455
5.9.72.90:443 => 192.168.178.41:57896,5.9.72.90,443,192.168.178.41,57896,6,1679948227.674726,rtv21,2.647684,533,533,780184,0,294666.5840787646864202827830,201.3080110768505607164601214,1463.7598499061914
192.168.178.41:57898 => 5.9.72.90:443,192.168.178.41,57898,5.9.72.90,443,6,1679948228.350351,rtv21,2.080299,95,95,13502,0,6490.413156954841587675617784,45.66651236192489637306944819,142.1263157894737
192.168.178.41:57899 => 5.9.72.90:443,192.168.178.41,57899,5.9.72.90,443,6,1679948228.350977,rtv21,2.087417,8,8,1073,0,514.0324142229367682643190124,3.832487710888624553694829543,134.125
192.168.178.41:57900 => 5.9.72.90:443,192.168.178.41,57900,5.9.72.90,443,6,1679948228.351128,rtv21,2.079567,9,9,1049,0,504.4319322243524733754671045,4.327824013364320553269021868,116.55555555555556
192.168.178.41:57901 => 5.9.72.90:443,192.168.178.41,57901,5.9.72.90,443,6,1679948228.351330,rtv21,2.079347,9,9,1049,0,504.4853023569418668456972309,4.328281907733533652632292734,116.55555555555556
5.9.72.90:443 => 192.168.178.41:57898,5.9.72.90,443,192.168.178.41,57898,6,1679948228.397325,rtv21,2.033249,229,229,322110,0,158421.3246877288517048330037,112.6276220964574432349407279,1406.593886462882
5.9.72.90:443 => 192.168.178.41:57899,5.9.72.90,443,192.168.178.41,57899,6,1679948228.397325,rtv21,2.040937,8,8,979,0,479.6816364248381993172743696,3.919768224104908676749943776,122.375
5.9.72.90:443 => 192.168.178.41:57900,5.9.72.90,443,192.168.178.41,57900,6,1679948228.397326,rtv21,2.033254,12,12,6355,0,3125.531783043338412220017765,5.901869613929199204821434017,529.5833333333334
5.9.72.90:443 => 192.168.178.41:57901,5.9.72.90,443,192.168.178.41,57901,6,1679948228.397326,rtv21,2.033253,12,12,6355,0,3125.533320250849254864003643,5.901872516602705123267984850,529.5833333333334
