FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:51431 => 5.9.72.90:443,192.168.178.41,51431,5.9.72.90,443,6,1679950954.824571,rtv21,2.588907,74,74,8607,0,3324.569016963529396768597713,28.58349102536321312430303599,116.3108108108108
192.168.178.41:51432 => 5.9.72.90:443,192.168.178.41,51432,5.9.72.90,443,6,1679950954.824803,rtv21,2.588967,151,151,9688,0,3742.033019347098669083074446,58.32442051211931245164577223,64.15894039735099
5.9.72.90:443 => 192.168.178.41:51432,5.9.72.90,443,192.168.178.41,51432,6,1679950954.872823,rtv21,2.540891,561,561,366092,0,144080.1671539629208809035885,220.7886918407755389743204254,652.5704099821747
5.9.72.90:443 => 192.168.178.41:51431,5.9.72.90,443,192.168.178.41,51431,6,1679950954.872837,rtv21,2.540878,136,136,190080,0,74808.78656905211505629156536,53.52480520512988030121871259,1397.6470588235295
192.168.178.41:51436 => 5.9.72.90:443,192.168.178.41,51436,5.9.72.90,443,6,1679950955.395413,rtv21,2.018388,58,58,5054,0,2503.978422384596024153928779,28.73580302697003747545070621,87.13793103448276
192.168.178.41:51438 => 5.9.72.90:443,192.168.178.41,51438,5.9.72.90,443,6,1679950955.396567,rtv21,2.016874,118,118,9907,0,4912.056975299398970882662973,58.50638165795186015586496727,83.95762711864407
192.168.178.41:51439 => 5.9.72.90:443,192.168.178.41,51439,5.9.72.90,443,6,1679950955.396752,rtv21,2.017038,49,49,5529,0,2741.148158834885609492731421,24.29304752810804754298134195,112.83673469387755
192.168.178.41:51440 => 5.9.72.90:443,192.168.178.41,51440,5.9.72.90,443,6,1679950955.396897,rtv21,2.016867,81,81,9116,0,4519.881578705983091597016561,40.16129967915583922985501771,112.54320987654322
5.9.72.90:443 => 192.168.178.41:51436,5.9.72.90,443,192.168.178.41,51436,6,1679950955.438630,rtv21,1.975086,119,119,168383,0,85253.50288544397560410027715,60.25054098910123407284543559,1414.9831932773109
5.9.72.90:443 => 192.168.178.41:51438,5.9.72.90,443,192.168.178.41,51438,6,1679950955.445023,rtv21,1.968248,319,319,464582,0,236038.3447614325024082331088,162.0730720925411838345574338,1456.369905956113
5.9.72.90:443 => 192.168.178.41:51440,5.9.72.90,443,192.168.178.41,51440,6,1679950955.445023,rtv21,1.968690,133,133,186063,0,94511.07081358669978513630892,67.55761445428178128603284418,1398.96992481203
5.9.72.90:443 => 192.168.178.41:51439,5.9.72.90,443,192.168.178.41,51439,6,1679950955.445024,rtv21,1.968691,79,79,103627,0,52637.51396232318835205728070,40.12818669867439836927176484,1311.73417721519
