FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.178.41:50295 => 138.201.56.69:443,192.168.178.41,50295,138.201.56.69,443,6,1679950819.729840,telesport,2.278175,223,223,15466,0,6788.767324722639832321924347,97.88536877105577929702503100,69.3542600896861
192.168.178.41:50296 => 138.201.56.69:443,192.168.178.41,50296,138.201.56.69,443,6,1679950819.730513,telesport,2.267133,109,109,9957,0,4391.890550752867167475397341,48.07834388189841531132050921,91.34862385321101
138.201.56.69:443 => 192.168.178.41:50296,138.201.56.69,443,192.168.178.41,50296,6,1679950819.772179,telesport,2.225378,351,351,514533,0,231211.5065395631663474699579,157.7260132885289600238701021,1465.905982905983
138.201.56.69:443 => 192.168.178.41:50295,138.201.56.69,443,192.168.178.41,50295,6,1679950819.772186,telesport,2.235722,751,751,1111441,0,497128.4444130352521467338068,335.9093840826363921811387999,1479.948069241012
192.168.178.41:50304 => 138.201.56.69:443,192.168.178.41,50304,138.201.56.69,443,6,1679950820.293086,telesport,1.704583,85,85,8854,0,5194.232255044195559852468316,49.86556829441570167014454562,104.16470588235295
192.168.178.41:50305 => 138.201.56.69:443,192.168.178.41,50305,138.201.56.69,443,6,1679950820.294593,telesport,1.697063,46,46,7454,0,4392.294216537630011378481530,27.10565253028320103614303064,162.04347826086956
192.168.178.41:50306 => 138.201.56.69:443,192.168.178.41,50306,138.201.56.69,443,6,1679950820.294741,telesport,1.713320,90,90,7836,0,4573.576448065743702285620900,52.52959166997408540144281278,87.06666666666666
138.201.56.69:443 => 192.168.178.41:50304,138.201.56.69,443,192.168.178.41,50304,6,1679950820.335117,telesport,1.662447,232,232,335425,0,201765.8307302428287939404986,139.5533210983568197963604253,1445.7974137931035
138.201.56.69:443 => 192.168.178.41:50306,138.201.56.69,443,192.168.178.41,50306,6,1679950820.339951,telesport,1.667962,260,260,379047,0,227251.5800719680664187793247,155.8788509570361914719879709,1457.873076923077
138.201.56.69:443 => 192.168.178.41:50305,138.201.56.69,443,192.168.178.41,50305,6,1679950820.339956,telesport,1.651567,61,61,77840,0,47130.99741033818186001536722,36.93462027274703357478079908,1276.0655737704917
192.168.178.41:50321 => 138.201.56.69:443,192.168.178.41,50321,138.201.56.69,443,6,1679950820.807654,telesport,1.190040,25,25,2645,0,2222.614365903667103626768848,21.00769722026150381499781520,105.8
138.201.56.69:443 => 192.168.178.41:50321,138.201.56.69,443,192.168.178.41,50321,6,1679950820.891406,telesport,1.106158,34,34,43783,0,39581.14482741163558912922024,30.73701948546229381336120156,1287.735294117647
